Universidad,Sede,Direccion
Universidad Austral,Facultad de Ciencias Biomédicas,Dirección: Juan Domingo Perón 1500 -ex - Pilar - Buenos Aires 
Universidad Católica de La Plata,Facultad de Derecho y Ciencias Políticas,Dirección: 57 936 - La Plata - Buenos Aires 
Universidad de Morón,"Facultad de Derecho, Ciencias Políticas y Sociales",Dirección: Machado 854 - Moron - Buenos Aires 
Universidad de Morón,Facultad de Medicina,Dirección: Machado 854 - Moron - Buenos Aires 
Universidad de San Andrés,Departamento de Ciencias Sociales,Dirección: Vito Dumas 284 - Victoria - Buenos Aires 
Universidad de San Andrés,Departamento de Derecho,Dirección: Vito Dumas 284 - Victoria - Buenos Aires 
Universidad de San Andrés,Departamento de Humanidades,Dirección: Vito Dumas 284 - Victoria - Buenos Aires 
Universidad de San Andrés,Escuela de Administración y Negocios,Dirección: Vito Dumas 284 - Victoria - Buenos Aires 
Universidad de San Andrés,Escuela de Educación,Dirección: Vito Dumas 284 - Victoria - Buenos Aires 
Universidad Nacional Arturo Jauretche,Instituto de Ciencias de la Salud,Dirección: Av San Martín 2002 - Florencio Varela - Buenos Aires 
Universidad Nacional de Avellaneda,Departamento de Ambiente y Turismo,Dirección: España 350 - Avellaneda - Buenos Aires 
Universidad Nacional de Avellaneda,Departamento de Humanidades y Artes,Dirección: España 350 - Avellaneda - Buenos Aires 
Universidad Nacional de Avellaneda,Departamento de Salud y Actividad Física,Dirección: España 350 - Avellaneda - Buenos Aires 
Universidad Nacional de General Sarmiento,Instituto de Ciencias,Dirección: Juan María Gutierrez 1150 1150 - Los Polvorines - Buenos Aires 
Universidad Nacional de General Sarmiento,Instituto de Industria,Dirección: Juan María Gutierrez 1150 - Los Polvorines - Buenos Aires 
Universidad Nacional de General Sarmiento,Instituto del Conurbano,Dirección: Juan María Gutierrez 1150 - Los Polvorines - Buenos Aires 
Universidad Nacional de General Sarmiento,Instituto del Desarrollo Humano,Dirección: Juan María Gutierrez 1150 - Los Polvorines - Buenos Aires 
Universidad Nacional de La Plata,Facultad de Ciencias Naturales y Museo,Dirección: 60 y 122 - - La Plata - Buenos Aires 
Universidad Nacional de La Plata,Facultad de Psicología,Dirección: 51 entre 123 y 124 - - Ensenada - Buenos Aires 
Universidad Nacional de La Plata,Facultad de Informática,Dirección: calle 50 esq 120 - - La Plata - Buenos Aires 
Universidad Nacional de La Plata,Facultad de Ingeniería,Dirección: 1 y 47 - - La Plata - Buenos Aires 
Universidad Nacional de La Plata,Facultad de Ciencias Exactas,Dirección: 115 y 47 - - La Plata - Buenos Aires 
Universidad Nacional de La Plata,Facultad de Odontología,Dirección: 1 y 50 - - La Plata - Buenos Aires 
Universidad Nacional de La Plata,Facultad de Ciencias Jurídicas y Sociales,Dirección: 48 e/ 6 y 7 - - La Plata - Buenos Aires 
Universidad Nacional de La Plata,Facultad de Ciencias Económicas,Dirección: 6 Nro 777 - La Plata - Buenos Aires 
Universidad Nacional de La Plata,Facultad de Ciencias Médicas,Dirección: 60 y 118 - - La Plata - Buenos Aires 
Universidad Nacional de La Plata,Facultad de Ciencias Veterinarias,Dirección: 60 y 118 - - La Plata - Buenos Aires 
Universidad Nacional de La Plata,Facultad de Trabajo Social,Dirección: Calle 9 esq. 63 - - La Plata - Buenos Aires 
Universidad Nacional de Lanús,Departamento de Desarrollo Productivo y Tecnológico,Dirección: 29 de Septiembre 3901 - Remedios de Escalada - Buenos Aires 
Universidad Nacional de Lanús,Departamento de Humanidades y Artes,Dirección: 29 de Septiembre 3901 - Remedios de Escalada - Buenos Aires 
Universidad Nacional de Lanús,Departamento de Planificación y Políticas Públicas,Dirección: 29 de Septiembre 3901 - Remedios de Escalada - Buenos Aires 
Universidad Nacional de Lanús,Departamento de Salud Comunitaria,Dirección: 29 de Septiembre 3901 - Remedios de Escalada - Buenos Aires 
Universidad Nacional de Quilmes,Secretaria de Posgrado,Dirección: Roque Saenz Peña 352 - Bernal - Buenos Aires 
Universidad Nacional de San Martín,Escuela de Economía y Negocios - San Martín,Dirección: Caseros 2253 - Barrio Gral. San Martin - Buenos Aires 
Universidad Nacional de San Martín,Instituto de Investigación e Ingeniería Ambiental,Dirección: Peatonal Belgrano 3563 - Barrio Gral. San Martin - Buenos Aires 
Universidad Nacional de San Martín,Escuela de Ciencia y Tecnología,Dirección: Martín de Irigoyen 3100 - Barrio Gral. San Martin - Buenos Aires 
Universidad Nacional de San Martín,Escuela de Humanidades - Migueletes,Dirección: Martín de Irigoyen 3100 - Barrio Gral. San Martin - Buenos Aires 
Universidad Nacional de San Martín,Escuela de Política y Gobierno,Dirección: Martín de Irigoyen 3100 - Barrio Gral. San Martin - Buenos Aires 
Universidad Nacional de San Martín,Instituto de Altos Estudios Sociales,Dirección: Martín de Irigoyen 3100 - Barrio Gral. San Martin - Buenos Aires 
Universidad Nacional de San Martín,Instituto de Investigaciones Biotecnológicas,Dirección: Avda. Gral Paz 5445 - Barrio Gral. San Martin - Buenos Aires 
Universidad Nacional de San Martín,Instituto de la Calidad Industrial,Dirección: Avda. Gral Paz 5445 - Barrio Gral. San Martin - Buenos Aires 
