,Rama,Rama,Rama,Rama,Ciencias Aplicadas,Ciencias Aplicadas,Ciencias Aplicadas,Ciencias Aplicadas,Ciencias Aplicadas,Ciencias Aplicadas,Ciencias Aplicadas,Ciencias Aplicadas,Ciencias Aplicadas,Ciencias Aplicadas,Ciencias Aplicadas,Ciencias Aplicadas,Ciencias Aplicadas,Ciencias Aplicadas,Ciencias Aplicadas,Ciencias Aplicadas,Ciencias Aplicadas,Ciencias Aplicadas,Ciencias Aplicadas,Ciencias Aplicadas,Ciencias Aplicadas,Ciencias Aplicadas,Ciencias Aplicadas,Ciencias Aplicadas,Ciencias Aplicadas,Ciencias Aplicadas,Ciencias Aplicadas,Ciencias Aplicadas,Ciencias Aplicadas,Ciencias Aplicadas,Ciencias Aplicadas,Ciencias Aplicadas,Ciencias Aplicadas,Ciencias Aplicadas,Ciencias Aplicadas,Ciencias Aplicadas,Ciencias Aplicadas,Ciencias Aplicadas,Ciencias Aplicadas,Ciencias Aplicadas,Ciencias Aplicadas,Ciencias Aplicadas,Ciencias Aplicadas,Ciencias Aplicadas
,Total Ciencias Aplicadas,Total Ciencias Aplicadas,Total Ciencias Aplicadas,Total Ciencias Aplicadas,Arquitectura y Diseño,Arquitectura y Diseño,Arquitectura y Diseño,Arquitectura y Diseño,Astronomía,Astronomía,Astronomía,Astronomía,Bioquímica y Farmacia,Bioquímica y Farmacia,Bioquímica y Farmacia,Bioquímica y Farmacia,Ciencias Agropecuarias,Ciencias Agropecuarias,Ciencias Agropecuarias,Ciencias Agropecuarias,Ciencias del Suelo,Ciencias del Suelo,Ciencias del Suelo,Ciencias del Suelo,Estadística,Estadística,Estadística,Estadística,Industrias,Industrias,Industrias,Industrias,Informática,Informática,Informática,Informática,Ingeniería (2),Ingeniería (2),Ingeniería (2),Ingeniería (2),Meteorología,Meteorología,Meteorología,Meteorología,Otras Ciencias Aplicadas,Otras Ciencias Aplicadas,Otras Ciencias Aplicadas,Otras Ciencias Aplicadas
Institución,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE
Total de las instituciones,382151,77001,305150,18180,94904,15645,79259,4499,569,176,393,17,26422,4276,22146,1294,34559,6090,28469,1860,6416,1444,4972,236,621,89,532,14,50809,12687,38122,3180,64695,14458,50237,2624,100892,21356,79536,4303,490,168,322,10,1774,612,1162,143
Total Universidades Nacionales,376786,75666,301120,17332,94840,15624,79216,4499,569,176,393,17,26422,4276,22146,1294,34135,5969,28166,1819,6374,1424,4950,228,621,89,532,14,49598,12290,37308,2781,62795,14010,48785,2473,100062,21232,78830,4169,490,168,322,10,880,408,472,28
Arturo Jauretche,2044,1054,990,,,,,,,,,,534,283,251,,,,,,,,,,,,,,256,132,124,,791,364,427,,463,275,188,0,,,,,,,,
Avellaneda,557,148,409,0,83,15,68,0,,,,,,,,,,,,,,,,,,,,,62,62,0,0,412,71,341,0,,,,,,,,,,,,
Buenos Aires,77120,11975,65145,3055,42990,6584,36406,1820,,,,,8626,1149,7477,376,4432,507,3925,251,736,137,599,19,,,,,4193,614,3579,173,7827,1410,6417,149,7922,1502,6420,257,394,72,322,10,,,,
Catamarca,2358,531,1827,78,,,,,,,,,,,,,461,91,370,24,152,22,130,1,,,,,154,18,136,6,953,249,704,33,638,151,487,14,,,,,,,,
Centro de la PBA,3300,608,2692,199,,,,,,,,,,,,,270,44,226,14,,,,,,,,,718,156,562,50,1390,167,1223,117,850,196,654,18,,,,,72,45,27,0
Chaco Austral,1524,523,1001,6,,,,,,,,,661,200,461,6,100,49,51,0,,,,,,,,,370,133,237,0,213,82,131,0,180,59,121,0,,,,,,,,
Chilecito,755,132,623,8,,,,,,,,,,,,,224,26,198,3,,,,,,,,,162,43,119,0,369,63,306,5,,,,,,,,,,,,
Comahue,6174,2032,4142,168,,,,,,,,,,,,,826,169,657,45,400,174,226,0,,,,,421,98,323,12,1451,710,741,36,3076,881,2195,75,,,,,,,,
Córdoba,21884,3654,18230,1433,9805,1504,8301,637,172,41,131,8,1788,110,1678,248,2894,351,2543,204,547,84,463,23,,,,,632,135,497,26,1397,359,1038,77,4649,1070,3579,210,,,,,,,,
Cuyo,6757,1455,5302,547,1631,294,1337,85,,,,,,,,,880,126,754,73,,,,,34,0,34,0,2331,535,1796,202,144,35,109,26,1630,428,1202,137,,,,,107,37,70,24
Entre Ríos,3573,728,2845,353,,,,,,,,,85,85,0,0,1340,332,1008,77,,,,,,,,,1072,100,972,230,249,45,204,10,827,166,661,36,,,,,,,,
Formosa,1269,405,864,44,,,,,,,,,,,,,631,207,424,7,,,,,,,,,200,60,140,30,,,,,438,138,300,7,,,,,,,,
Gral. Sarmiento,2261,636,1625,35,86,28,58,3,,,,,,,,,,,,,,,,,,,,,1054,256,798,7,594,234,360,14,527,118,409,11,,,,,,,,
José C. Paz (1),236,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236,236,,,,,,,,,,,,,,
Jujuy,4662,1222,3440,73,,,,,,,,,122,46,76,0,569,164,405,7,98,36,62,2,,,,,1137,333,804,6,1900,370,1530,55,836,273,563,3,,,,,,,,
La Matanza,5845,910,4935,252,,,,,,,,,289,77,212,28,,,,,,,,,,,,,868,161,707,23,3555,449,3106,171,1133,223,910,30,,,,,,,,
La Pampa,1709,424,1285,85,,,,,,,,,,,,,754,101,653,54,159,32,127,5,,,,,147,81,66,3,336,109,227,16,313,101,212,7,,,,,,,,
La Plata,29541,5019,24522,1300,12377,1772,10605,624,325,125,200,6,2558,427,2131,105,1778,304,1474,69,973,212,761,45,,,,,1485,256,1229,95,4776,967,3809,195,5173,860,4313,161,96,96,0,0,,,,
La Rioja,3716,1019,2697,109,1063,226,837,21,,,,,598,145,453,21,230,49,181,0,99,31,68,39,,,,,307,82,225,3,1121,392,729,25,298,94,204,0,,,,,,,,
Lanús,3372,911,2461,69,1246,255,991,16,,,,,,,,,24,0,24,0,,,,,,,,,616,117,499,33,937,339,598,17,80,42,38,0,,,,,469,158,311,3
Litoral,13929,2850,11079,596,5007,950,4057,156,,,,,703,113,590,35,1621,320,1301,146,370,67,303,6,201,1,200,4,2463,745,1718,111,1487,314,1173,30,2077,340,1737,108,,,,,,,,
Lomas de Zamora,4002,1392,2610,387,,,,,,,,,,,,,727,254,473,36,,,,,,,,,2191,764,1427,269,144,33,111,66,940,341,599,16,,,,,,,,
Luján,2317,544,1773,91,,,,,,,,,,,,,556,126,430,22,,,,,,,,,1309,303,1006,50,452,115,337,19,,,,,,,,,,,,
Mar del Plata,6085,1130,4955,369,3240,672,2568,170,,,,,399,102,297,8,775,78,697,54,,,,,,,,,516,73,443,46,,,,,1155,205,950,91,,,,,,,,
Misiones,4792,939,3853,254,523,81,442,52,,,,,924,140,784,50,880,203,677,48,,,,,,,,,478,119,359,25,550,142,408,12,1437,254,1183,67,,,,,,,,
Moreno,461,156,305,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,461,156,305,0,,,,,,,,
Nordeste,10833,2119,8714,614,3743,817,2926,220,,,,,1290,115,1175,87,1783,326,1457,127,,,,,,,,,49,0,49,10,1313,210,1103,81,2655,651,2004,89,,,,,,,,
Noroeste de la PBA,2556,445,2111,49,424,77,347,2,,,,,,,,,892,132,760,25,,,,,,,,,481,104,377,11,621,112,509,8,138,20,118,3,,,,,,,,
Oeste,396,192,204,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,254,122,132,0,142,70,72,0,,,,,,,,
Patagonia Austral,1676,947,729,16,,,,,,,,,,,,,85,58,27,0,,,,,,,,,518,259,259,9,382,149,233,5,691,481,210,2,,,,,,,,
Patagonia S. J. Bosco,2657,601,2056,85,,,,,,,,,267,68,199,9,84,22,62,1,327,95,232,9,,,,,311,63,248,14,760,174,586,31,908,179,729,21,,,,,,,,
Quilmes,2844,729,2115,57,252,72,180,7,,,,,,,,,,,,,,,,,,,,,1066,228,838,18,585,232,353,0,941,197,744,32,,,,,,,,
Río Cuarto,3234,578,2656,187,,,,,,,,,,,,,1406,211,1195,75,171,30,141,12,,,,,,,,,534,117,417,30,1123,220,903,70,,,,,,,,
Río Negro,1993,1030,963,28,760,396,364,12,,,,,,,,,380,191,189,5,131,62,69,0,,,,,344,191,153,11,117,51,66,0,261,139,122,0,,,,,,,,
Rosario,16515,2775,13740,1331,5089,764,4325,407,,,,,2608,439,2169,77,1946,284,1662,118,,,,,244,48,196,8,1656,278,1378,80,499,116,383,15,4473,846,3627,626,,,,,,,,
Salta,7936,1838,6098,140,,,,,,,,,,,,,1822,338,1484,10,605,106,499,7,52,8,44,0,1228,333,895,20,1309,317,992,57,2920,736,2184,46,,,,,,,,
San Juan,7186,1367,5819,311,1729,310,1419,96,72,10,62,3,,,,,398,68,330,15,694,109,585,30,,,,,689,165,524,19,805,166,639,14,2799,539,2260,134,,,,,,,,
San Luis,4636,1160,3476,165,,,,,,,,,1030,203,827,61,334,61,273,13,170,29,141,6,,,,,1151,277,874,23,747,223,524,35,1204,367,837,27,,,,,,,,
San Martín,1922,534,1388,56,,,,,,,,,,,,,18,8,10,0,,,,,,,,,295,98,197,0,289,94,195,9,1320,334,986,47,,,,,,,,
Santiago del Estero,2861,667,2194,63,,,,,,,,,,,,,743,172,571,17,58,15,43,0,,,,,235,68,167,11,841,176,665,22,984,236,748,13,,,,,,,,
Sur,7083,1210,5873,472,,,,,,,,,1997,349,1648,123,941,128,813,76,436,83,353,17,,,,,856,128,728,51,893,193,700,49,1960,329,1631,156,,,,,,,,
Tecnológica Nacional,74503,15059,59444,3625,78,27,51,1,,,,,,,,,1115,197,918,95,,,,,,,,,14671,3605,11066,1002,20224,3859,16365,1010,38415,7371,31044,1517,,,,,,,,
Tierra del Fuego,133,133,,,,,,,,,,,,,,,,,,,21,21,,,,,,,91,91,,,21,21,,,,,,,,,,,,,,
Tres de Febrero,1759,842,917,57,,,,,,,,,,,,,,,,,,,,,90,32,58,2,1068,528,540,52,439,184,255,2,2,2,0,0,,,,,160,96,64,1
Tucumán,14126,2092,12034,493,4477,702,3775,164,,,,,1921,217,1704,60,1931,173,1758,74,227,79,148,7,,,,,812,174,638,18,763,133,630,32,3995,614,3381,138,,,,,,,,
Villa María,1466,487,979,72,237,78,159,6,,,,,22,8,14,0,255,69,186,34,,,,,,,,,935,324,611,32,17,8,9,0,,,,,,,,,,,,
Villa Mercedes,228,228,,,,,,,,,,,,,,,30,30,,,,,,,,,,,,,,,98,98,,,28,28,,,,,,,72,72,,
Total Institutos Universitarios,3622,771,2851,739,64,21,43,0,,,,,,,,,,,,,42,20,22,8,,,,,1000,291,709,391,792,111,681,91,830,124,706,134,,,,,894,204,690,115
Aeronáutico,1767,313,1454,244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750,104,646,88,435,65,370,88,,,,,582,144,438,68
Instituto Univ. del Ejército,275,66,209,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,7,35,3,233,59,174,41,,,,,,,,
Gendarmería,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IUNA,64,21,43,0,64,21,43,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naval,377,80,297,55,,,,,,,,,,,,,,,,,42,20,22,8,,,,,,,,,,,,,23,0,23,0,,,,,312,60,252,47
Policía Federal Argentina,293,0,293,53,,,,,,,,,,,,,,,,,,,,,,,,,154,0,154,48,,,,,139,0,139,5,,,,,,,,
Seguridad Marítima,846,291,555,343,,,,,,,,,,,,,,,,,,,,,,,,,846,291,555,343,,,,,,,,,,,,,,,,
Total Universidad Provincial,1743,564,1179,109,,,,,,,,,,,,,424,121,303,41,,,,,0,0,0,0,211,106,105,8,1108,337,771,60,,,,,,,,,,,,
Autónoma de Entre Ríos,1743,564,1179,109,,,,,,,,,,,,,424,121,303,41,,,,,0,0,0,0,211,106,105,8,1108,337,771,60,,,,,,,,,,,,
