,Rama,Rama,Rama,Rama,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina
,Total Ciencias Humanas,Total Ciencias Humanas,Total Ciencias Humanas,Total Ciencias Humanas,Arqueología,Arqueología,Arqueología,Arqueología,Artes,Artes,Artes,Artes,Educación,Educación,Educación,Educación,Filosofía,Filosofía,Filosofía,Filosofía,Historia,Historia,Historia,Historia,Letras e Idiomas,Letras e Idiomas,Psicología,Psicología,Psicología,Psicología,Teología,Teología,Teología,Teología
Institución,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE
Total de las instituciones,265098,65735,199363,10282,480,78,402,13,52875,14511,38364,1186,72761,20628,52133,3836,8748,1688,7060,184,21061,4938,16123,559,37280,1159,71841,15496,56345,3345,52,16,36,0
Total Universidades Nacionales,239905,58825,181080,9837,480,78,402,13,37281,10391,26890,1029,70296,19859,50437,3718,8594,1652,6942,183,20408,4762,15646,544,36205,1143,66589,13990,52599,3207,52,16,36,0
Arturo Jauretche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avellaneda,1079,335,744,3,,,,,625,217,408,0,317,67,250,3,,,,,137,51,86,0,,,,,,,,,,
Buenos Aires,46103,8181,37922,2436,243,31,212,3,3557,608,2949,104,2834,351,2483,246,3569,347,3222,43,3669,415,3254,77,6568,290,25663,5476,20187,1673,,,,
Catamarca,2391,558,1833,93,56,17,39,2,,,,,1106,235,871,42,178,21,157,12,279,61,218,4,772,33,,,,,,,,
Centro de la PBA,2136,622,1514,60,,,,,584,142,442,12,1056,375,681,33,,,,,496,105,391,15,,,,,,,,,,
Chaco Austral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chilecito,604,170,434,53,,,,,,,,,604,170,434,53,,,,,,,,,,,,,,,,,,
Comahue,8407,2185,6222,284,,,,,,,,,3645,980,2665,156,219,69,150,4,849,212,637,24,1451,49,2243,495,1748,51,,,,
Córdoba,28743,6576,22167,1044,,,,,4928,1240,3688,158,1337,360,977,63,778,187,591,9,1790,330,1460,50,7746,215,12164,2669,9495,549,,,,
Cuyo,8176,2060,6116,318,,,,,2260,423,1837,72,3055,998,2057,144,249,77,172,7,1034,182,852,33,1578,62,,,,,,,,
Entre Ríos,756,440,316,18,,,,,4,0,4,0,660,413,247,11,,,,,,,,,92,7,,,,,,,,
Formosa,2435,711,1724,25,,,,,,,,,1257,404,853,12,,,,,729,204,525,13,449,0,,,,,,,,
Gral. Sarmiento,1933,323,1610,102,,,,,83,35,48,0,994,56,938,3,246,37,209,46,545,158,387,53,65,0,,,,,,,,
José C. Paz,770,770,,,,,,,,,,,770,770,,,,,,,,,,,,,,,,,,,,
Jujuy,3400,928,2472,24,,,,,,,,,2363,675,1688,17,15,3,12,0,23,0,23,0,999,7,,,,,,,,
La Matanza,4027,620,3407,139,,,,,,,,,3797,580,3217,135,,,,,83,19,64,2,147,2,,,,,,,,
La Pampa,2498,816,1682,67,,,,,,,,,1501,571,930,44,,,,,410,118,292,13,587,10,,,,,,,,
La Plata,26141,5820,20321,858,,,,,9291,2496,6795,255,4263,955,3308,178,470,123,347,7,897,225,672,31,2570,94,8650,1566,7084,293,,,,
La Rioja,4115,1560,2555,97,,,,,469,248,221,0,3016,1094,1922,26,,,,,88,64,24,0,211,8,279,67,212,63,52,16,36,0
Lanús,2142,466,1676,69,,,,,1054,166,888,41,739,211,528,22,,,,,,,,,349,6,,,,,,,,
Litoral,4068,1081,2987,85,,,,,1554,451,1103,21,738,192,546,32,276,60,216,1,454,111,343,13,1046,18,,,,,,,,
Lomas de Zamora,3694,738,2956,230,,,,,,,,,3168,643,2525,212,,,,,,,,,526,18,,,,,,,,
Luján,3101,818,2283,58,,,,,,,,,2496,710,1786,37,,,,,605,108,497,21,,,,,,,,,,
Mar del Plata,5214,1072,4142,180,,,,,,,,,,,,,256,83,173,9,669,171,498,38,1116,28,3173,488,2685,105,,,,
Misiones,3334,1161,2173,132,,,,,536,178,358,30,1116,510,606,54,,,,,512,164,348,4,1170,44,,,,,,,,
Moreno,356,109,247,5,,,,,,,,,356,109,247,5,,,,,,,,,,0,,,,,,,,
Nordeste,4711,1244,3467,203,,,,,298,220,78,0,2872,562,2310,162,223,69,154,5,770,261,509,32,548,4,,,,,,,,
