,-,Nuevos Inscriptos,Nuevos Inscriptos,Nuevos Inscriptos,Nuevos Inscriptos,Nuevos Inscriptos,Nuevos Inscriptos,Nuevos Inscriptos,Nuevos Inscriptos,Nuevos Inscriptos,Nuevos Inscriptos,Nuevos Inscriptos
0,Institución,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
1,Total de las instituciones,302226,299008,283866,272617,272608,271428,290137,314614,307894,315138,315593
2,Total Universidades Nacionales,291712,289537,270582,257577,256900,256164,276104,298483,292662,302135,301841
3,Arturo Jauretche,-,-,-,-,-,-,-,-,3049,3882,3982
4,Avellaneda,-,-,-,-,-,-,-,-,641,3367,1957
5,Buenos Aires,70512,68596,61053,54412,51236,47566,53315,59763,56908,54682,51697
6,Catamarca,4337,4218,3686,3611,3268,3549,3604,3647,3884,3121,2821
7,Centro de la PBA,2827,2445,2316,2118,2100,2979,2564,2946,2727,2551,2666
8,Chaco Austral,-,-,-,-,-,-,1949,1672,1110,1226,1098
9,Chilecito,-,243,317,346,264,274,1416,1556,892,926,595
10,Comahue,8825,9423,7807,7162,6462,6142,7507,7505,8460,8328,8911
11,Córdoba,17409,16288,17965,18429,16456,16936,19697,20228,21311,21066,22318
12,Cuyo,7047,7266,6997,5782,5945,5672,6460,6377,6688,6549,6816
13,Entre Ríos,3873,3283,3883,2733,3828,2683,2519,3634,2752,3714,4351
14,Formosa,2983,5705,4886,4251,3447,2624,3326,4717,3873,3868,3505
15,Gral. Sarmiento,1179,853,827,705,640,872,786,1153,1258,1348,1746
16,José C. Paz(1),-,-,-,-,-,-,-,-,-,3090,3090
17,Jujuy,3058,4005,3445,3460,3261,2955,3095,3592,3717,3694,3837
18,La Matanza,3369,3383,4087,3615,5291,11341,8057,6336,5668,5463,6237
19,La Pampa,4365,2828,2307,2470,1836,1818,2266,2775,2112,2529,2281
20,La Plata,19780,20079,18181,20533,20623,18732,19177,23151,19393,21672,21374
21,La Rioja(2),5311,3878,4170,4065,3728,4287,4497,4755,5083,5018,4878
22,Lanús,1504,2113,2315,1992,1626,2235,2328,2316,2546,2693,3262
23,Litoral,9077,9924,8894,10144,9658,10093,9176,9602,9532,9859,9937
24,Lomas de Zamora,9237,8410,7542,6387,8737,8878,8470,9560,7366,7136,7512
25,Luján,4407,3789,3604,2654,2851,3061,4110,3503,3975,3768,5519
26,Mar del Plata,4684,6349,5192,3993,5353,4075,3945,4832,4969,4852,4932
27,Misiones,6246,4706,3930,3698,4017,3892,4551,4423,5481,5503,5866
28,Moreno,-,-,-,-,-,-,-,-,1007,1206,1474
29,Nordeste,13373,13201,13784,12858,13416,10939,12323,11385,10525,11683,11540
30,Noroeste de la PBA,-,-,1634,2095,1898,1987,1805,1955,1533,1460,1298
31,Oeste,-,-,-,-,-,-,-,-,-,1078,738
32,Patagonia Austral,2499,3162,3032,3057,1763,2832,2712,3041,4949,2665,3076
33,Patagonia S. J. Bosco,4882,4630,4302,3516,3207,3925,3885,3538,3418,3497,3331
34,Quilmes,3454,3050,3095,3574,3353,3889,3819,5064,4300,6433,5654
35,Río Cuarto,5735,4577,3785,3353,3256,2871,3101,2968,2922,3099,3101
36,Río Negro,-,-,-,-,-,-,1622,1982,2652,3257,3343
37,Rosario,16336,16685,15268,13849,13595,13042,13690,14962,14651,15339,15143
38,Salta,5429,5016,4463,4165,3901,4256,4567,5042,5793,5521,5956
39,San Juan,5132,4192,3798,4628,3803,3606,3865,3946,4024,3966,3904
40,San Luis,3709,3207,3036,2452,3003,2917,3065,3670,3688,3132,3508
41,San Martín,1736,2117,2513,2517,2945,2772,3729,3807,3661,3839,3803
42,Santiago del Estero,2975,3028,2940,3424,4095,3546,4172,4143,3832,4155,3776
43,Sur,6299,5701,5459,4857,4802,4900,4732,4337,4271,4210,3513
44,Tecnológica Nacional,12788,13325,13429,12627,16144,17377,18082,20797,18436,18329,16616
45,Tierra del Fuego,-,-,-,-,-,-,-,-,-,-,571
46,Tres de Febrero,2160,2299,2326,2416,3379,3457,4352,5160,5533,5960,5703
47,Tucumán,14308,16889,13638,14560,12601,12147,12224,13074,12279,11238,11399
48,Villa María,867,674,676,1069,1112,1037,1544,1569,1793,2163,2327
49,Villa Mercedes,-,-,-,-,-,-,-,-,-,-,879
50,Total Institutos Universitarios,10514,9471,9689,10059,10847,10167,8872,9761,8505,6946,7955
51,Aeronáutico,2371,1504,1481,1422,2097,1704,1655,1387,1112,1070,889
52,Instituto Univ. del Ejército,974,544,641,598,567,522,488,652,525,671,985
53,Gendarmería,-,-,-,-,-,-,...,407,670,358,451
54,IUNA,5471,5575,5440,5566,5738,5645,3770,4482,3537,3400,3865
55,Naval,230,...,317,373,256,221,327,314,293,243,259
56,Policía Federal Argentina,1468,1848,1810,2100,2189,2075,2501,1910,1841,639,837
57,Seguridad Marítima,-,-,-,-,-,-,131,609,527,565,669
58,Total Universidad Provincial,-,-,3595,4981,4861,5097,5161,6370,6727,6057,5797
59,Autónoma de Entre Ríos,-,-,3595,4981,4861,5097,5161,6370,6727,6057,5797
