,Egresados,Egresados,Egresados,Egresados,Egresados,Egresados,Egresados,Egresados,Egresados,Egresados,Egresados
Institución,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Total de las instituciones,59758,63499,64215,62636,62388,65581,69452,70857,73442,73483,80343
Total Universidades Nacionales,57627,62109,62567,60060,60018,62468,66653,68342,70398,70299,76923
Arturo Jauretche,,,,,,,,,,,
Avellaneda,,,,,,,,,,,54
Buenos Aires,14420,15631,16911,15610,16364,16815,16420,17232,18124,16676,17129
Catamarca,246,280,237,431,395,458,316,426,377,418,390
Centro de la PBA,786,422,503,462,417,598,519,662,823,629,655
Chaco Austral,,,,,,,0,0,7,5,25
Chilecito,,32,24,35,29,41,26,43,60,75,103
Comahue,766,655,809,861,863,515,1283,1084,1054,1081,1059
Córdoba,7401,7634,6826,6429,7072,7031,7241,7052,6513,6802,6910
Cuyo,2294,2595,2330,2436,2320,2327,2223,2310,2348,2231,2361
Entre Ríos,941,1260,1073,733,744,748,1126,997,762,794,1237
Formosa,414,675,800,1062,736,601,452,307,393,432,286
Gral. Sarmiento,94,127,149,125,80,94,280,322,274,227,210
José C. Paz,,,,,,,,,,,
Jujuy,185,136,92,167,129,173,272,221,252,154,199
La Matanza,953,843,920,978,777,813,801,1501,1838,2160,1983
La Pampa,264,344,397,324,380,393,513,421,380,410,469
La Plata,4030,4097,4184,3939,4178,4005,4734,5569,5870,6007,6094
La Rioja,428,445,567,397,452,377,624,665,905,805,633
Lanús,336,401,406,399,462,406,548,588,532,415,491
Litoral,1050,1692,1298,1329,1370,1660,1596,1849,1833,1890,2155
Lomas de Zamora,2365,2654,3082,3095,2765,2732,2329,2538,2711,2521,2515
Luján,939,994,1024,957,851,789,860,824,937,926,888
Mar del Plata,1239,1136,1132,1136,1050,1293,1055,1168,1332,1188,1158
Misiones,591,836,598,605,684,639,697,747,688,698,820
Moreno,,,,,,,,,,,5
Nordeste,2621,3103,3088,2825,2877,2606,3032,2919,2919,2858,3087
Noroeste de la PBA,,,,,,7,31,58,102,167,179
Oeste,,,,,,,,,,,21
Patagonia Austral,165,174,165,109,92,132,173,98,103,147,161
Patagonia S. J. Bosco,417,351,453,369,412,380,517,420,422,387,394
Quilmes,1695,1459,918,1349,601,1066,718,1402,612,701,839
Río Cuarto,1018,957,828,846,886,923,889,1052,853,969,909
Río Negro,,,,,,,0,0,21,72,132
Rosario,3552,3710,3999,3984,3765,5447,6877,4910,6052,6124,10016
Salta,382,430,540,345,427,267,133,651,733,605,509
San Juan,523,504,543,451,531,579,587,598,545,623,777
San Luis,413,470,435,611,641,552,630,532,601,511,583
San Martín,442,434,570,583,583,671,805,768,762,864,1137
Santiago del Estero,601,991,498,222,534,518,802,765,733,989,1310
Sur,723,954,1005,1019,852,997,1000,1123,1113,1075,1101
Tecnológica Nacional,2941,3203,3719,3346,3294,3556,4171,4224,4590,4981,4757
Tierra del Fuego,,,,,,,,,,,
Tres de Febrero,50,159,183,211,144,110,268,242,251,233,490
Tucumán,2236,2242,2182,2181,2134,2007,1966,1895,1791,2252,2452
Villa María,106,79,79,99,127,142,139,159,182,197,240
Villa Mercedes,,,,,,,,,,,
Total Institutos Universitarios,2131,1220,1478,2021,1518,2120,2002,1781,2337,2538,2619
Aeronáutico,337,313,352,389,512,919,752,615,672,872,977
Instituto Univ. del Ejército,218,278,264,240,258,482,277,302,264,221,281
Gendarmería,,,,,,,,0,193,173,199
IUNA,1341,162,205,843,330,225,433,178,194,182,156
Naval,0,160,252,144,184,174,178,148,160,221,117
Policía Federal Argentina,235,307,405,405,234,320,362,486,441,484,364
Seguridad Marítima,,,,,,,0,52,413,385,525
Total Universidad Provincial,,170,170,555,852,993,797,734,707,646,801
Autónoma de Entre Ríos,,170,170,555,852,993,797,734,707,646,801
