,Total,Grupos de edad,Grupos de edad,Grupos de edad,Grupos de edad,Grupos de edad %,Grupos de edad %,Grupos de edad %,Grupos de edad %
Institución,Total,<19,20-24,25-29,>30,<19,20-24,25-29,>30
Total de las instituciones,1437611,162548,565072,343491,351775,11.3,39.3,23.9,24.5
Total Universidades Nacionales,1388587,159037,551114,335338,343098,11.5,39.7,24.1,24.7
Arturo Jauretche,7824,955,2702,1516,2651,12.2,34.5,19.4,33.9
Avellaneda,4523,385,1160,806,2172,8.5,25.6,17.8,48
Buenos Aires,319866,40203,126678,82577,70408,12.6,39.6,25.8,22
Catamarca,12015,1507,4538,2653,3317,12.5,37.8,22.1,27.6
Centro de la PBA,13554,1539,5633,3482,2900,11.4,41.6,25.7,21.4
Chaco Austral,3161,583,1609,637,332,18.4,50.9,20.2,10.5
Chilecito,3308,211,919,764,1414,6.4,27.8,23.1,42.7
Comahue,30923,3077,12009,6094,9743,10,38.8,19.7,31.5
Córdoba,108373,13228,46567,23735,24843,12.2,43,21.9,22.9
Cuyo,31587,4586,13772,6766,6463,14.5,43.6,21.4,20.5
Entre Ríos,14901,1414,5166,3365,4956,9.5,34.7,22.6,33.3
Formosa,11418,1681,5092,2479,2166,14.7,44.6,21.7,19
Gral. Sarmiento,7125,490,2654,1749,2232,6.9,37.2,24.5,31.3
José C. Paz,3090,189,919,616,1366,6.1,29.7,19.9,44.2
Jujuy,14800,1517,5495,3273,4515,10.3,37.1,22.1,30.5
La Matanza,36338,3296,15689,8865,8488,9.1,43.2,24.4,23.4
La Pampa,9100,1002,3823,2325,1950,11,42,25.5,21.4
La Plata,109803,9529,43992,29755,26527,8.7,40.1,27.1,24.2
La Rioja,18589,2599,7905,4316,3769,14,42.5,23.2,20.3
Lanús,12825,865,3748,2968,5244,6.7,29.2,23.1,40.9
Litoral,44268,4826,16476,11103,11863,10.9,37.2,25.1,26.8
Lomas de Zamora,34434,3122,11916,7777,11619,9.1,34.6,22.6,33.7
Luján,18339,1791,7475,4197,4876,9.8,40.8,22.9,26.6
Mar del Plata,23184,2674,9733,5321,5456,11.5,42,23,23.5
Misiones,20955,2723,9137,4984,4111,13,43.6,23.8,19.6
Moreno,3668,485,1323,672,1188,13.2,36.1,18.3,32.4
Nordeste,50403,6106,20368,12077,11852,12.1,40.4,24,23.5
Noroeste de la PBA,6225,736,3257,1595,637,11.8,52.3,25.6,10.2
Oeste,1657,110,496,364,687,6.6,29.9,22,41.5
Patagonia Austral,7289,458,2395,1774,2662,6.3,32.9,24.3,36.5
Patagonia S. J. Bosco,13292,2225,4854,2955,3258,16.7,36.5,22.2,24.5
Quilmes,22451,1032,5252,5341,10826,4.6,23.4,23.8,48.2
Río Cuarto,15290,2335,6889,3783,2283,15.3,45.1,24.7,14.9
Río Negro,6988,802,2778,1185,2223,11.5,39.8,17,31.8
Rosario,74234,9872,30575,17802,15985,13.3,41.2,24,21.5
Salta,28015,3718,11216,6187,6894,13.3,40,22.1,24.6
San Juan,20533,2432,8738,4973,4390,11.8,42.6,24.2,21.4
San Luis,13554,1727,5659,3200,2968,12.7,41.8,23.6,21.9
San Martín,12971,932,4141,3334,4564,7.2,31.9,25.7,35.2
Santiago del Estero,16160,1114,3821,3522,7703,6.9,23.6,21.8,47.7
Sur,18279,2663,8577,4670,2369,14.6,46.9,25.5,13
Tecnológica Nacional,80052,8568,34696,20183,16605,10.7,43.3,25.2,20.7
Tierra del Fuego,571,136,171,93,171,23.8,29.9,16.3,29.9
Tres de Febrero,12451,856,3113,2592,5890,6.9,25,20.8,47.3
Tucumán,63524,7814,25497,15646,14567,12.3,40.1,24.6,22.9
Villa María,5798,772,2159,1125,1742,13.3,37.2,19.4,30
Villa Mercedes,879,152,332,142,253,17.3,37.8,16.2,28.8
Total Institutos Universitarios,28967,1505,5609,3462,3666,5.2,19.4,12,12.7
Aeronáutico,5616,322,1746,1805,1743,5.7,31.1,32.1,31
Instituto Univ. del Ejército,1876,295,989,292,300,15.7,52.7,15.6,16
Gendarmería,1302,129,579,381,213,9.9,44.5,29.3,16.4
IUNA,14725,,,,,,,,
Naval,804,196,474,93,41,24.4,59,11.6,5.1
Policía Federal Argentina,3293,188,1031,783,1291,5.7,31.3,23.8,39.2
Seguridad Marítima,1351,375,790,108,78,27.8,58.5,8,5.8
Total Universidad provincial,20057,2006,8349,4691,5011,10,41.6,23.4,25
Autónoma de Entre Ríos,20057,2006,8349,4691,5011,10,41.6,23.4,25
