,Rama,Rama,Rama,Rama,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina
,Total Ciencias Aplicadas,Total Ciencias Aplicadas,Total Ciencias Aplicadas,Total Ciencias Aplicadas,Arquitectura y Diseño,Arquitectura y Diseño,Arquitectura y Diseño,Arquitectura y Diseño,Astronomía,Astronomía,Astronomía,Astronomía,Bioquímica y Farmacia,Bioquímica y Farmacia,Bioquímica y Farmacia,Bioquímica y Farmacia,Ciencias Agropecuarias,Ciencias Agropecuarias,Ciencias Agropecuarias,Ciencias Agropecuarias,Ciencias del Suelo,Ciencias del Suelo,Ciencias del Suelo,Ciencias del Suelo,Estadística,Estadística,Estadística,Estadística,Industrias,Industrias,Industrias,Industrias,Informática,Informática,Informática,Informática,Ingeniería,Ingeniería,Ingeniería,Ingeniería,Meteorología,Meteorología,Meteorología,Meteorología,Otras Ciencias Aplicadas,Otras Ciencias Aplicadas,Otras Ciencias Aplicadas,Otras Ciencias Aplicadas
Institución,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE
Total de las Instituciones,61111,15587,45524,4909,21757,5451,16306,1751,3758,601,3157,281,2617,696,1921,262,14242,4797,9445,1136,13078,2883,10195,1000,3629,775,2854,242,1104,225,879,152,,,,,,,,,,,,,,,,
Total Universidades Privadas,59326,15259,44067,4676,21757,5451,16306,1751,3723,582,3141,281,2617,696,1921,262,14242,4797,9445,1136,13025,2883,10142,990,3629,775,2854,242,333,75,258,14,,,,,,,,,,,,,,,,
Abierta Interamericana,3184,714,2470,442,1056,238,818,182,,,,,,,,,,,,,2128,476,1652,260,,,,,,,,,,,,,,,,,,,,,,,,
Aconcagua,567,106,461,31,49,10,39,2,,,,,,,,,300,50,250,11,142,35,107,6,76,11,65,12,,,,,,,,,,,,,,,,,,,,
Adventista del Plata,91,21,70,7,,,,,,,,,,,,,,,,,91,21,70,7,,,,,,,,,,,,,,,,,,,,,,,,
Argentina de la Empresa,6079,1471,4608,454,2012,646,1366,180,,,,,,,,,1352,253,1099,114,1938,395,1543,101,777,177,600,59,,,,,,,,,,,,,,,,,,,,
Argentina John F. Kennedy,2205,252,1953,142,303,35,268,5,1237,170,1067,124,,,,,,,,,665,47,618,13,,,,,,,,,,,,,,,,,,,,,,,,
Atlántida Argentina,103,34,69,19,,,,,,,,,,,,,,,,,103,34,69,19,,,,,,,,,,,,,,,,,,,,,,,,
Austral,304,106,198,64,,,,,,,,,,,,,205,71,134,32,99,35,64,32,,,,,,,,,,,,,,,,,,,,,,,,
Belgrano,3711,928,2783,167,1960,421,1539,49,10,0,10,0,974,375,599,74,117,20,97,0,500,75,425,33,150,37,113,11,,,,,,,,,,,,,,,,,,,,
Blas Pascal,1098,376,722,161,438,96,342,62,,,,,,,,,317,226,91,0,195,23,172,63,148,31,117,36,,,,,,,,,,,,,,,,,,,,
CAECE,1366,185,1181,131,190,32,158,10,,,,,,,,,1,0,1,0,1175,153,1022,121,,,,,,,,,,,,,,,,,,,,,,,,
Católica Argentina,2102,523,1579,253,,,,,,,,,470,124,346,71,1185,303,882,128,190,32,158,33,257,64,193,21,,,,,,,,,,,,,,,,,,,,
Católica de Córdoba,2181,450,1731,265,534,90,444,66,398,57,341,42,367,59,308,51,371,157,214,61,101,18,83,12,410,69,341,33,,,,,,,,,,,,,,,,,,,,
Católica de Cuyo,1245,246,999,94,,,,,380,51,329,42,,,,,838,195,643,49,27,0,27,3,,,,,,,,,,,,,,,,,,,,,,,,
Católica de La Plata,888,192,696,35,502,115,387,16,,,,,,,,,280,57,223,15,106,20,86,4,,,,,,,,,,,,,,,,,,,,,,,,
Católica de Salta,3495,976,2519,189,1012,270,742,53,,,,,113,26,87,7,1743,573,1170,87,344,56,288,34,283,51,232,8,,,,,,,,,,,,,,,,,,,,
