,Rama,Rama,Rama,Rama,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina
,Total Ciencias de la Salud,Total Ciencias de la Salud,Total Ciencias de la Salud,Total Ciencias de la Salud,Medicina,Medicina,Medicina,Medicina,Odontología,Odontología,Odontología,Odontología,Paramédicas y Auxiliares de la Medicina,Paramédicas y Auxiliares de la Medicina,Paramédicas y Auxiliares de la Medicina,Paramédicas y Auxiliares de la Medicina,Salud Pública,Salud Pública,Salud Pública,Salud Pública,Sanidad,Sanidad,Sanidad,Sanidad,Veterinaria,Veterinaria,Veterinaria,Veterinaria
Institución,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE
Total de las Instituciones,55712,16045,39667,7142,11178,2512,8666,968,2599,556,2043,317,39651,12466,27185,5714,85,48,37,20,,,,,2199,463,1736,123
Total de Universidades Privadas,47076,13355,33721,6521,7695,1523,6172,706,2542,538,2004,317,34555,10783,23772,5355,85,48,37,20,,,,,2199,463,1736,123
Abierta Interamericana,6016,1639,4377,723,1573,264,1309,162,346,105,241,30,4097,1270,2827,531,,,,,,,,,,,,
Aconcagua,1082,349,733,100,282,58,224,46,,,,,800,291,509,54,,,,,,,,,,,,
Adventista del Plata,1351,209,1142,116,634,77,557,57,,,,,717,132,585,59,,,,,,,,,,,,
Argentina de la Empresa,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina John F. Kennedy,892,117,775,81,,,,,854,111,743,81,38,6,32,0,,,,,,,,,,,,
Atlántida Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austral,659,191,468,101,464,131,333,58,,,,,195,60,135,43,,,,,,,,,,,,
Belgrano,184,50,134,18,,,,,,,,,184,50,134,18,,,,,,,,,,,,
Blas Pascal,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAECE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Católica Argentina,231,62,169,0,231,62,169,0,,,,,,,,,,,,,,,,,,,,
Católica de Córdoba,1996,442,1554,239,673,117,556,77,290,68,222,27,414,164,250,81,,,,,,,,,619,93,526,54
Católica de Cuyo,2257,452,1805,441,456,94,362,70,,,,,1691,323,1368,371,,,,,,,,,110,35,75,0
Católica de La Plata,1590,417,1173,57,,,,,140,25,115,23,1450,392,1058,34,,,,,,,,,,,,
Católica de Salta,473,124,349,16,,,,,,,,,,,,,,,,,,,,,473,124,349,16
Católica de Santa Fe,105,75,30,0,30,0,30,0,,,,,75,75,0,0,,,,,,,,,,,,
Católica de Santiago del Estero,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centro Educativo Latinoamericano,878,116,762,74,,,,,,,,,878,116,762,74,,,,,,,,,,,,
Champagnat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ciencias Empresariales y Sociales,426,160,266,45,140,50,90,16,,,,,286,110,176,29,,,,,,,,,,,,
Cine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concepción del Uruguay,918,207,711,36,,,,,,,,,918,207,711,36,,,,,,,,,,,,
Congreso,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuenca del Plata,898,226,672,67,,,,,,,,,898,226,672,67,,,,,,,,,,,,
Empresarial Siglo 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Este,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FASTA,1562,315,1247,81,222,68,154,0,,,,,1340,247,1093,81,,,,,,,,,,,,
Favaloro,1003,343,660,224,291,67,224,39,,,,,712,276,436,185,,,,,,,,,,,,
Flores,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gastón Dachary,112,112,0,0,,,,,,,,,112,112,0,0,,,,,,,,,,,,
ISALUD,3535,1364,2171,390,,,,,,,,,3450,1316,2134,370,85,48,37,20,,,,,,,,
Juan Agustín Maza,1320,277,1043,139,,,,,,,,,953,222,731,120,,,,,,,,,367,55,312,19
Madres de Plaza de Mayo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maimónides,10820,3897,6923,2691,289,90,199,37,150,36,114,78,10381,3771,6610,2576,,,,,,,,,,,,
Marina Mercante,72,25,47,3,,,,,,,,,72,25,47,3,,,,,,,,,,,,
Mendoza,2661,383,2278,125,1256,137,1119,54,455,77,378,21,950,169,781,50,,,,,,,,,,,,
Metropolitana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morón,1380,440,940,202,585,127,458,23,71,54,17,17,724,259,465,162,,,,,,,,,,,,
Museo Social Argentino,248,54,194,43,,,,,,,,,248,54,194,43,,,,,,,,,,,,
Norte Santo Tomás de Aquino,1051,201,850,100,,,,,,,,,1051,201,850,100,,,,,,,,,,,,
Palermo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salvador,3356,1108,2248,409,569,181,388,67,236,62,174,40,1921,709,1212,268,,,,,,,,,630,156,474,34
San Andrés,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Isidro,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Pablo  T,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Torcuato Di Tella,,,,,,,,,,,,,,,,,,,,,,,,,,,,
