,Rama,Rama,Rama,Rama,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina
,Total Ciencias Sociales,Total Ciencias Sociales,Total Ciencias Sociales,Total Ciencias Sociales,"Ciencias Políticas, Relaciones Internacionales y Diplomacia","Ciencias Políticas, Relaciones Internacionales y Diplomacia","Ciencias Políticas, Relaciones Internacionales y Diplomacia","Ciencias Políticas, Relaciones Internacionales y Diplomacia",Ciencias de la Información y de la Comunicación,Ciencias de la Información y de la Comunicación,Ciencias de la Información y de la Comunicación,Ciencias de la Información y de la Comunicación,Demografía y Geografía,Demografía y Geografía,Demografía y Geografía,Demografía y Geografía,Derecho,Derecho,Derecho,Derecho,Economía y Administración,Economía y Administración,Economía y Administración,Economía y Administración,Otras Ciencias Sociales,Otras Ciencias Sociales,Otras Ciencias Sociales,Otras Ciencias Sociales,Relaciones Institucionales y Humanas,Relaciones Institucionales y Humanas,Relaciones Institucionales y Humanas,Relaciones Institucionales y Humanas,"Sociología, Antropología y Servicio Social","Sociología, Antropología y Servicio Social","Sociología, Antropología y Servicio Social","Sociología, Antropología y Servicio Social"
Institución,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE
Total de las Instituciones,214146,60534,153612,18600,6012,1518,4494,495,11986,3220,8766,1253,5728,1706,4022,595,70936,18367,52569,5017,99529,29336,70193,9541,2133,568,1565,125,16134,5244,10890,1461,1688,575,1113,113
Total de Universidades Privadas,212687,59969,152718,18463,6012,1518,4494,495,11964,3206,8758,1253,5728,1706,4022,595,70936,18367,52569,5017,98420,28903,69517,9434,2133,568,1565,125,15810,5130,10680,1431,1684,571,1113,113
Abierta Interamericana,7327,1892,5435,1119,248,64,184,26,564,156,408,59,554,155,399,109,2638,527,2111,297,3111,884,2227,621,,,,,212,106,106,7,,,,
Aconcagua,3510,725,2785,358,,,,,90,18,72,1,96,36,60,14,763,141,622,28,1922,386,1536,251,325,86,239,40,209,39,170,10,105,19,86,14
Adventista del Plata,665,116,549,84,,,,,97,27,70,12,,,,,,,,,556,89,467,68,,,,,,,,,12,0,12,4
Argentina de la Empresa,19753,4980,14773,2567,489,135,354,77,1684,444,1240,254,0,0,0,39,1550,414,1136,214,13700,3372,10328,1535,,,,,2314,615,1699,448,16,0,16,0
Argentina John F. Kennedy,3429,494,2935,383,74,10,64,13,126,8,118,23,117,12,105,14,1022,169,853,113,1620,199,1421,163,,,,,410,87,323,53,60,9,51,4
Atlántida Argentina,841,200,641,93,,,,,,,,,68,22,46,0,447,104,343,49,326,74,252,44,,,,,,,,,,,,
Austral,1920,538,1382,173,,,,,604,145,459,84,,,,,350,94,256,40,612,143,469,46,,,,,,,,,354,156,198,3
Belgrano,7595,1707,5888,320,324,49,275,3,511,88,423,1,771,280,491,0,1823,216,1607,140,3964,1037,2927,176,,,,,202,37,165,0,,,,
Blas Pascal,7172,2767,4405,989,,,,,275,121,154,36,392,127,265,96,2692,922,1770,398,3349,1336,2013,449,224,129,95,10,240,132,108,0,,,,
CAECE,1584,212,1372,189,,,,,236,39,197,20,99,15,84,6,,,,,1045,134,911,145,,,,,203,24,179,17,1,0,1,1
Católica Argentina,9402,2223,7179,1376,614,166,448,94,845,294,551,134,,,,,3781,735,3046,592,4162,1028,3134,556,,,,,,,,,,,,
Católica de Córdoba,2887,586,2301,460,390,76,314,45,,,,,,,,,998,181,817,130,1497,329,1168,285,,,,,,,,,2,0,2,0
Católica de Cuyo,2855,637,2218,239,,,,,,,,,160,58,102,17,1252,253,999,136,1305,256,1049,86,,,,,138,70,68,0,,,,
Católica de La Plata,4653,762,3891,296,194,29,165,11,,,,,,,,,2273,372,1901,160,1697,231,1466,112,51,51,0,0,350,68,282,9,88,11,77,4
Católica de Salta,18818,4065,14753,1105,445,73,372,10,249,62,187,16,237,38,199,27,10104,1983,8121,557,6003,1441,4562,342,804,203,601,35,700,183,517,77,276,82,194,41
Católica de Santa Fe,3556,457,3099,273,82,10,72,2,142,15,127,7,,,,,2052,248,1804,189,1280,184,1096,75,,,,,,,,,,,,
Católica de Santiago del Estero,4951,1165,3786,277,156,27,129,11,496,158,338,26,191,68,123,13,3018,676,2342,135,1090,236,854,92,,,,,,,,,,,,
CEMA,666,135,531,103,42,10,32,5,,,,,,,,,,,,,624,125,499,98,,,,,,,,,,,,
Centro Educativo Latinoamericano,2309,438,1871,100,,,,,,,,,,,,,424,106,318,6,1663,303,1360,91,,,,,222,29,193,3,,,,
Champagnat,2591,277,2314,249,49,7,42,0,,,,,112,10,102,3,1311,125,1186,106,701,78,623,82,,,,,418,57,361,58,,,,
Ciencias Empresariales y Sociales,12783,3873,8910,954,223,50,173,14,2030,587,1443,177,138,67,71,2,934,245,689,64,6897,2092,4805,510,,,,,2511,817,1694,181,50,15,35,6
Cine,7,3,4,0,,,,,7,3,4,0,,,,,,,,,,,,,,,,,,,,,,,,
Concepción del Uruguay,1470,207,1263,94,,,,,42,22,20,19,,,,,653,92,561,48,708,91,617,15,,,,,42,0,42,12,25,2,23,0
Congreso,1815,472,1343,137,121,23,98,10,43,18,25,2,95,20,75,17,645,134,511,32,911,277,634,76,,,,,,,,,,,,
Cuenca del Plata,3147,703,2444,276,,,,,117,23,94,1,,,,,1669,381,1288,137,1353,299,1054,138,,,,,,,,,8,0,8,0
Empresarial Siglo 21,44042,18850,25192,2542,767,348,419,22,283,55,228,33,320,178,142,8,18618,7298,11320,562,19600,8983,10617,1770,,,,,4442,1988,2454,144,12,0,12,3
Este,375,157,218,33,,,,,69,24,45,13,,,,,121,52,69,4,123,59,64,2,,,,,62,22,40,14,,,,
FASTA,2635,763,1872,193,,,,,170,33,137,14,116,66,50,3,359,42,317,17,1830,571,1259,158,127,37,90,1,33,14,19,0,,,,
Favaloro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flores,526,135,391,24,,,,,9,0,9,2,,,,,163,48,115,10,344,87,257,12,,,,,,,,,10,0,10,0
Gastón Dachary,1602,440,1162,48,109,35,74,0,,,,,94,20,74,6,449,184,265,0,950,201,749,42,,,,,,,,,,,,
ISALUD,177,53,124,17,,,,,,,,,,,,,,,,,177,53,124,17,,,,,,,,,,,,
Juan Agustín Maza,701,206,495,107,,,,,338,93,245,72,,,,,,,,,186,68,118,11,,,,,177,45,132,24,,,,
Madres de Plaza de Mayo,254,102,152,,,,,,,,,,,,,,173,49,124,,,,,,,,,,,,,,81,53,28,
Maimónides,686,217,469,100,53,28,25,1,158,45,113,17,37,8,29,0,143,36,107,22,202,63,139,43,,,,,93,37,56,17,,,,
Marina Mercante,2487,671,1816,130,,,,,34,11,23,0,61,13,48,2,258,85,173,5,1990,527,1463,101,,,,,144,35,109,22,,,,
Mendoza,2480,450,2030,147,,,,,,,,,,,,,2083,325,1758,128,397,125,272,19,,,,,,,,,,,,
Metropolitana,250,250,,,,,,,,,,,117,117,,,,,,,63,63,,,,,,,,,,,70,70,,
Morón,7571,2247,5324,808,51,12,39,5,235,50,185,18,524,129,395,57,3426,955,2471,347,2442,841,1601,268,148,40,108,16,641,187,454,97,104,33,71,0
Museo Social Argentino,1333,365,968,163,,,,,96,33,63,18,,,,,669,154,515,78,347,107,240,48,,,,,90,25,65,10,131,46,85,9
Norte Santo Tomás de Aquino,4183,867,3316,290,113,20,93,14,166,45,121,21,166,22,144,25,1335,269,1066,87,2037,414,1623,102,,,,,366,97,269,41,,,,
Palermo,4816,1581,3235,460,214,65,149,19,1115,325,790,97,329,79,250,25,666,187,479,46,1637,610,1027,110,,,,,809,305,504,160,46,10,36,3
Salvador,10273,2186,8087,815,849,166,683,60,1020,232,788,54,934,166,768,112,1430,332,1098,87,4571,1092,3479,431,454,22,432,23,782,111,671,27,233,65,168,21
San Andrés,975,239,736,188,118,28,90,20,113,32,81,22,,,,,115,34,81,21,629,145,484,125,,,,,,,,,,,,
San Isidro,85,85,,,,,,,,,,,,,,,85,85,,,,,,,,,,,,,,,,,,
San Pablo T,577,169,408,13,88,25,63,2,,,,,,,,,272,80,192,4,217,64,153,7,,,,,,,,,,,,
Torcuato Di Tella,953,302,651,171,199,62,137,31,,,,,,,,,172,34,138,28,582,206,376,112,,,,,,,,,,,,
Total de Institutos Universitarios,1459,565,894,137,,,,,22,14,8,0,,,,,,,,,1109,433,676,107,,,,,324,114,210,30,4,4,0,0
CEMIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cs. De la Salud de la Fundación Barceló,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escuela Argentina de Negocios,1194,456,738,105,,,,,,,,,,,,,,,,,870,342,528,75,,,,,324,114,210,30,,,,
Escuela de Medcina del Hospital Italiano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escuela Universitaria de Teología,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESEADE,52,24,28,8,,,,,22,14,8,0,,,,,,,,,26,6,20,8,,,,,,,,,4,4,0,0
Gran Rosario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISEDET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italiano de Rosaro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITBA,154,26,128,24,,,,,,,,,,,,,,,,,154,26,128,24,,,,,,,,,,,,
River Plate,59,59,,,,,,,,,,,,,,,,,,,59,59,,,,,,,,,,,,,,
