,Total,Total,Total,Total,Ciencias Aplicadas,Ciencias Aplicadas,Ciencias Aplicadas,Ciencias Aplicadas,Ciencias Básicas,Ciencias Básicas,Ciencias Básicas,Ciencias Básicas,Ciencias de la Salud,Ciencias de la Salud,Ciencias de la Salud,Ciencias de la Salud,Ciencias Humanas,Ciencias Humanas,Ciencias Humanas,Ciencias Humanas,Ciencias Sociales,Ciencias Sociales,Ciencias Sociales,Ciencias Sociales,Sin Rama,Sin Rama,Sin Rama,Sin Rama
Institución,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE
Total de las Instituciones,393132,110057,283075,37376,61111,15587,45524,4909,3314,942,2372,218,55712,16045,39667,7142,57117,15970,41147,6499,214146,60534,153612,18600,1732,979,753,8
Total Universidades Privadas,380615,106208,274407,36329,59326,15259,44067,4676,3314,942,2372,218,47076,13355,33721,6521,56480,15704,40776,6443,212687,59969,152718,18463,1732,979,753,8
Abierta Interamericana,20464,5766,14698,2790,3184,714,2470,442,53,18,35,3,6016,1639,4377,723,3884,1503,2381,503,7327,1892,5435,1119,,,,
Aconcagua,7053,1642,5411,673,567,106,461,31,,,,,1082,349,733,100,1894,462,1432,184,3510,725,2785,358,,,,
Adventista del Plata,3354,536,2818,383,91,21,70,7,,,,,1351,209,1142,116,1247,190,1057,176,665,116,549,84,,,,
Argentina de la Empresa,26767,6768,19999,3092,6079,1471,4608,454,39,17,22,0,,,,,896,300,596,71,19753,4980,14773,2567,,,,
Argentina John F. Kennedy,8737,1318,7419,707,2205,252,1953,142,235,131,104,7,892,117,775,81,1976,324,1652,94,3429,494,2935,383,,,,
Atlántida Argentina,1228,336,892,140,103,34,69,19,,,,,,,,,284,102,182,28,841,200,641,93,,,,
Austral,3278,1014,2264,366,304,106,198,64,,,,,659,191,468,101,395,179,216,28,1920,538,1382,173,,,,
Belgrano,12972,2884,10088,611,3711,928,2783,167,81,11,70,5,184,50,134,18,1401,188,1213,101,7595,1707,5888,320,,,,
Blas Pascal,9189,3470,5719,1221,1098,376,722,161,482,138,344,20,,,,,437,189,248,51,7172,2767,4405,989,,,,
CAECE,4795,842,3953,525,1366,185,1181,131,648,138,510,39,,,,,1197,307,890,166,1584,212,1372,189,,,,
Católica Argentina,15429,3859,11570,2287,2102,523,1579,253,506,112,394,34,231,62,169,0,3188,939,2249,624,9402,2223,7179,1376,,,,
Católica de Córdoba,8194,1774,6420,1167,2181,450,1731,265,,,,,1996,442,1554,239,1130,296,834,203,2887,586,2301,460,,,,
Católica de Cuyo,7482,1589,5893,914,1245,246,999,94,,,,,2257,452,1805,441,1125,254,871,140,2855,637,2218,239,,,,
Católica de La Plata,8643,1791,6852,533,888,192,696,35,,,,,1590,417,1173,57,1512,420,1092,145,4653,762,3891,296,,,,
Católica de Salta,25650,6058,19592,1542,3495,976,2519,189,12,0,12,6,473,124,349,16,2852,893,1959,226,18818,4065,14753,1105,,,,
Católica de Santa Fe,5936,914,5022,442,981,186,795,56,81,7,74,5,105,75,30,0,1213,189,1024,108,3556,457,3099,273,,,,
Católica de Santiago del Estero,7156,1678,5478,373,570,145,425,52,,,,,,,,,1635,368,1267,44,4951,1165,3786,277,,,,
CEMA,749,151,598,114,83,16,67,11,,,,,,,,,,,,,666,135,531,103,,,,
Centro Educativo Latinoamericano,3976,811,3165,373,293,47,246,12,,,,,878,116,762,74,496,210,286,187,2309,438,1871,100,,,,
Champagnat,2846,328,2518,267,244,51,193,16,11,0,11,2,,,,,,,,,2591,277,2314,249,,,,
Ciencias Empresariales y Sociales,14551,4396,10155,1076,301,96,205,15,,,,,426,160,266,45,1041,267,774,62,12783,3873,8910,954,,,,
Cine,1312,416,896,100,,,,,,,,,,,,,1305,413,892,100,7,3,4,0,,,,
Concepción del Uruguay,3354,707,2647,247,457,83,374,40,3,0,3,0,918,207,711,36,506,210,296,77,1470,207,1263,94,,,,
Congreso,2423,682,1741,179,135,45,90,9,77,19,58,4,,,,,396,146,250,29,1815,472,1343,137,,,,
Cuenca del Plata,6871,1610,5261,504,195,75,120,7,,,,,898,226,672,67,2631,606,2025,154,3147,703,2444,276,,,,
Empresarial Siglo 21,49949,21791,28158,2720,3808,1989,1819,113,203,148,55,1,,,,,1896,804,1092,64,44042,18850,25192,2542,,,,
Este,635,241,394,80,191,56,135,23,,,,,,,,,69,28,41,24,375,157,218,33,,,,
FASTA,8141,2584,5557,482,2344,798,1546,93,55,10,45,7,1562,315,1247,81,1545,698,847,108,2635,763,1872,193,,,,
Favaloro,1502,465,1037,263,233,38,195,18,125,37,88,14,1003,343,660,224,141,47,94,7,,,,,,,,
Flores,4369,1172,3197,401,947,208,739,131,53,23,30,11,,,,,2843,806,2037,235,526,135,391,24,,,,
Gastón Dachary,2413,805,1608,94,486,92,394,2,,,,,112,112,0,0,213,161,52,44,1602,440,1162,48,,,,
ISALUD,3817,1469,2348,417,,,,,,,,,3535,1364,2171,390,105,52,53,10,177,53,124,17,,,,
Juan Agustín Maza,3274,750,2524,310,838,131,707,27,,,,,1320,277,1043,139,415,136,279,37,701,206,495,107,,,,
Madres de Plaza de Mayo,327,124,203,,,,,,,,,,,,,,73,22,51,,254,102,152,,,,,
Maimónides,12644,4429,8215,3026,327,45,282,15,30,8,22,3,10820,3897,6923,2691,781,262,519,217,686,217,469,100,,,,
Marina Mercante,4207,1106,3101,241,916,206,710,27,27,5,22,2,72,25,47,3,705,199,506,79,2487,671,1816,130,,,,
Mendoza,8736,1550,7186,560,2930,517,2413,255,,,,,2661,383,2278,125,665,200,465,33,2480,450,2030,147,,,,
Metropolitana,399,399,,,,,,,,,,,,,,,149,149,,,250,250,,,,,,
Morón,16572,4675,11897,1619,5372,1280,4092,416,332,63,269,31,1380,440,940,202,1917,645,1272,162,7571,2247,5324,808,,,,
Museo Social Argentino,3050,823,2227,447,1,0,1,1,,,,,248,54,194,43,1468,404,1064,240,1333,365,968,163,,,,
Norte Santo Tomás de Aquino,6490,1382,5108,571,786,177,609,146,,,,,1051,201,850,100,470,137,333,35,4183,867,3316,290,,,,
Palermo,13182,4185,8997,1257,6320,1933,4387,621,,,,,,,,,2046,671,1375,168,4816,1581,3235,460,0,0,0,8
Salvador,25443,5987,19456,2798,1597,380,1217,85,261,57,204,24,3356,1108,2248,409,8224,1277,6947,1465,10273,2186,8087,815,1732,979,753,0
San Andrés,1014,248,766,198,,,,,,,,,,,,,39,9,30,10,975,239,736,188,,,,
San Isidro,114,114,,,,,,,,,,,,,,,29,29,,,85,85,,,,,,
San Pablo T,755,210,545,27,178,41,137,14,,,,,,,,,,,,,577,169,408,13,,,,
Torcuato Di Tella,1173,359,814,192,174,44,130,17,,,,,,,,,46,13,33,4,953,302,651,171,,,,
Total Institutos Universitarios,12517,3849,8668,1047,1785,328,1457,233,0,0,0,0,8636,2690,5946,621,637,266,371,56,1459,565,894,137,0,0,0,0
CEMIC,451,133,318,42,,,,,,,,,451,133,318,42,,,,,,,,,,,,
Cs de la Salud de la Fundación Barceló,4825,1580,3245,371,,,,,,,,,4713,1528,3185,368,112,52,60,3,,,,,,,,
Escuela Argentina de Negocios,1247,456,791,115,53,0,53,10,,,,,,,,,,,,,1194,456,738,105,,,,
Escuela de Medicina del Hospital Italiano,397,93,304,46,35,19,16,0,,,,,362,74,288,46,,,,,,,,,,,,
Escuela Universitaria de Teología,87,25,62,3,,,,,,,,,,,,,87,25,62,3,,,,,,,,
ESEADE,116,52,64,11,,,,,,,,,,,,,64,28,36,3,52,24,28,8,,,,
Gran Rosario,2752,943,1809,42,,,,,,,,,2532,829,1703,42,220,114,106,0,,,,,,,,
ISEDET,56,6,50,47,,,,,,,,,,,,,56,6,50,47,,,,,,,,
Italiano de Rosario,659,150,509,123,,,,,,,,,578,126,452,123,81,24,57,0,,,,,,,,
ITBA,1851,335,1516,247,1697,309,1388,223,,,,,,,,,,,,,154,26,128,24,,,,
River Plate,76,76,,,,,,,,,,,,,,,17,17,,,59,59,,,,,,
