Institución,Régimen,Región
Abierta Interamericana,Privado,Metropolitana
Aconcagua,Privado,Centro-Oeste
Adventista del Plata,Privado,Centro-Este
Aeronáutico,Estatal,Centro-Oeste
Argentina John F. Kennedy,Privado,Metropolitana
Argentina de la Empresa,Privado,Metropolitana
Arturo Jauretche,Estatal,Metropolitana
Atlántida Argentina,Privado,Bonaerense
Austral,Privado,Metropolitana
Autónoma de Entre Ríos,Estatal,Centro-Este
Avellaneda,Estatal,Metropolitana
Belgrano,Privado,Metropolitana
Blás Pascal,Privado,Centro-Oeste
Buenos Aires,Estatal,Metropolitana
CAECE,Privado,Metropolitana
CEMA,Privado,Metropolitana
CEMIC,Privado,Metropolitana
Catamarca,Estatal,Noroeste
Católica Argentina,Privado,Metropolitana
Católica de Cuyo,Privado,Centro-Oeste
Católica de Córdoba,Privado,Centro-Oeste
Católica de La Plata,Privado,Metropolitana
Católica de Salta,Privado,Noroeste
Católica de Santa Fe,Privado,Centro-Este
Católica de Santiago del Estero,Privado,Noroeste
Centro Educativo Latinoamericano,Privado,Centro-Este
Centro de la PBA,Estatal,Bonaerense
Chaco Austral,Estatal,Noreste
Champagnat,Privado,Centro-Oeste
Chilecito,Estatal,Centro-Oeste
Ciencias Empresariales y Sociales,Privado,Metropolitana
Cine,Privado,Metropolitana
Comahue,Estatal,Sur
Concepción del Uruguay,Privado,Centro-Este
Congreso,Privado,Centro-Oeste
Cs de la Salud de la Fundación Barceló,Privado,Metropolitana
Cuenca del Plata,Privado,Noreste
Cuyo,Estatal,Centro-Oeste
Córdoba,Estatal,Centro-Oeste
ESEADE,Privado,Metropolitana
Empresarial Siglo 21,Privado,Centro-Oeste
Entre Ríos,Estatal,Centro-Este
Escuela Argentina de Negocios,Privado,Metropolitana
Escuela Universitaria de Teología,Privado,Bonaerense
Escuela de Medicina del Hospital Italiano,Privado,Metropolitana
Este,Privado,Metropolitana
FASTA,Privado,Bonaerense
Favaloro,Privado,Metropolitana
Flores,Privado,Metropolitana
Formosa,Estatal,Noreste
Gastón Dachary,Privado,Noreste
Gendarmería,Estatal,Metropolitana
Gral. Sarmiento,Estatal,Metropolitana
Gran Rosario,Privado,Centro-Este
ISALUD,Privado,Metropolitana
ISEDET,Privado,Metropolitana
ITBA,Privado,Metropolitana
IUNA,Estatal,Metropolitana
Instituto Univ. del Ejército,Estatal,Metropolitana
Italiano de Rosario,Privado,Centro-Este
José C. Paz (1),Estatal,Metropolitana
Juan Agustín Maza,Privado,Centro-Oeste
Jujuy,Estatal,Noroeste
La Matanza,Estatal,Metropolitana
La Pampa,Estatal,Sur
La Plata,Estatal,Metropolitana
La Rioja,Estatal,Centro-Oeste
Lanús,Estatal,Metropolitana
Litoral,Estatal,Centro-Este
Lomas de Zamora,Estatal,Metropolitana
Luján,Estatal,Bonaerense
Madres de Plaza de Mayo,Privado,Metropolitana
Maimónides,Privado,Metropolitana
Mar del Plata,Estatal,Bonaerense
Marina Mercante,Privado,Metropolitana
Mendoza,Privado,Centro-Oeste
Metropolitana,Privado,Metropolitana
Misiones,Estatal,Noreste
Moreno,Estatal,Metropolitana
Morón,Privado,Metropolitana
Museo Social Argentino,Privado,Metropolitana
Naval,Estatal,Metropolitana
Nordeste,Estatal,Noreste
Noroeste de la PBA,Estatal,Bonaerense
Norte Santo Tomás de Aquino,Privado,Noroeste
Oeste,Estatal,Metropolitana
Palermo,Privado,Metropolitana
Patagonia Austral,Estatal,Sur
Patagonia S. J. Bosco,Estatal,Sur
Policía Federal Argentina,Estatal,Metropolitana
Quilmes,Estatal,Metropolitana
River Plate,Privado,Metropolitana
Rosario,Estatal,Centro-Este
Río Cuarto,Estatal,Centro-Oeste
Río Negro,Estatal,Sur
Salta,Estatal,Noroeste
Salvador,Privado,Metropolitana
San Andrés,Privado,Metropolitana
San Isidro,Privado,Metropolitana
San Juan,Estatal,Centro-Oeste
San Luis,Estatal,Centro-Oeste
San Martín,Estatal,Metropolitana
San Pablo T,Privado,Noroeste
Santiago del Estero,Estatal,Noroeste
Seguridad Marítima,Estatal,Metropolitana
Sur,Estatal,Bonaerense
Tecnológica Nacional,Estatal,Metropolitana
Tierra del Fuego,Estatal,Sur
Torcuato Di Tella,Privado,Metropolitana
Tres de Febrero,Estatal,Metropolitana
Tucumán,Estatal,Noroeste
Villa María,Estatal,Centro-Oeste
Villa Mercedes,Estatal,Centro-Oeste
