Institución,regimen
Abierta Interamericana,Privado
Aconcagua,Privado
Adventista del Plata,Privado
Aeronáutico,Estatal
Argentina John F. Kennedy,Privado
Argentina de la Empresa,Privado
Arturo Jauretche,Estatal
Atlántida Argentina,Privado
Austral,Privado
Autónoma de Entre Ríos,Estatal
Avellaneda,Estatal
Belgrano,Privado
Blás Pascal,Privado
Buenos Aires,Estatal
CAECE,Privado
CEMA,Privado
CEMIC,Privado
Catamarca,Estatal
Católica Argentina,Privado
Católica de Cuyo,Privado
Católica de Córdoba,Privado
Católica de La Plata,Privado
Católica de Salta,Privado
Católica de Santa Fe,Privado
Católica de Santiago del Estero,Privado
Centro Educativo Latinoamericano,Privado
Centro de la PBA,Estatal
Chaco Austral,Estatal
Champagnat,Privado
Chilecito,Estatal
Ciencias Empresariales y Sociales,Privado
Cine,Privado
Comahue,Estatal
Concepción del Uruguay,Privado
Congreso,Privado
Cs de la Salud de la Fundación Barceló,Privado
Cuenca del Plata,Privado
Cuyo,Estatal
Córdoba,Estatal
ESEADE,Privado
Empresarial Siglo 21,Privado
Entre Ríos,Estatal
Escuela Argentina de Negocios,Privado
Escuela Universitaria de Teología,Privado
Escuela de Medicina del Hospital Italiano,Privado
Este,Privado
FASTA,Privado
Favaloro,Privado
Flores,Privado
Formosa,Estatal
Gastón Dachary,Privado
Gendarmería,Estatal
Gral. Sarmiento,Estatal
Gran Rosario,Privado
ISALUD,Privado
ISEDET,Privado
ITBA,Privado
IUNA,Estatal
Instituto Univ. del Ejército,Estatal
Italiano de Rosario,Privado
José C. Paz (1),Estatal
Juan Agustín Maza,Privado
Jujuy,Estatal
La Matanza,Estatal
La Pampa,Estatal
La Plata,Estatal
La Rioja,Estatal
Lanús,Estatal
Litoral,Estatal
Lomas de Zamora,Estatal
Luján,Estatal
Madres de Plaza de Mayo,Privado
Maimónides,Privado
Mar del Plata,Estatal
Marina Mercante,Privado
Mendoza,Privado
Metropolitana,Privado
Misiones,Estatal
Moreno,Estatal
Morón,Privado
Museo Social Argentino,Privado
Naval,Estatal
Nordeste,Estatal
Noroeste de la PBA,Estatal
Norte Santo Tomás de Aquino,Privado
Oeste,Estatal
Palermo,Privado
Patagonia Austral,Estatal
Patagonia S. J. Bosco,Estatal
Policía Federal Argentina,Estatal
Quilmes,Estatal
River Plate,Privado
Rosario,Estatal
Río Cuarto,Estatal
Río Negro,Estatal
Salta,Estatal
Salvador,Privado
San Andrés,Privado
San Isidro,Privado
San Juan,Estatal
San Luis,Estatal
San Martín,Estatal
San Pablo T,Privado
Santiago del Estero,Estatal
Seguridad Marítima,Estatal
Sur,Estatal
Tecnológica Nacional,Estatal
Tierra del Fuego,Estatal
Torcuato Di Tella,Privado
Tres de Febrero,Estatal
Tucumán,Estatal
Villa María,Estatal
Villa Mercedes,Estatal
