,Institución,-,Industrias,Industrias,-,-,Informática,Informática,-,-,-,Ingeniería (2),Ingeniería (2),-,-,Meteorología,Meteorología,Meteorología,Otras Ciencias Aplicadas,Otras Ciencias Aplicadas,Otras Ciencias Aplicadas,Otras Ciencias Aplicadas
0,-,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,-,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE
1,Total de las instituciones,50.809,12.687,38.122,3.180,64.695,14.458,50.237,2.624,100.892,-,21.356,79.536,4.303,490,168,322,10,1.774,612,1.162,143
2,Total Universidades Nacionales,49.598,12.290,37.308,2.781,62.795,14.010,48.785,2.473,100.062,-,21.232,78.830,4.169,490,168,322,10,880,408,472,28
3,Arturo Jauretche,256,132,124,-,791,364,427,-,463,-,275,188,0,-,-,-,-,-,-,-,-
4,Avellaneda,62,62,0,0,412,71,341,0,,-,-,-,-,-,-,-,-,-,-,-,-
5,Buenos Aires,4.193,614,3.579,173,7.827,1.410,6.417,149,7.922,-,1.502,6.420,257,394,72,322,10,-,-,-,-
6,Catamarca,154,18,136,6,953,249,704,33,638,-,151,487,14,-,-,-,-,-,-,-,-
7,Centro de la PBA,718,156,562,50,1.390,167,1.223,117,850,-,196,654,18,-,-,-,-,72,45,27,0
8,Chaco Austral,370,133,237,0,213,82,131,0,180,-,59,121,0,-,-,-,-,-,-,-,-
9,Chilecito,162,43,119,0,369,63,306,5,,-,-,-,-,-,-,-,-,-,-,-,-
10,Comahue,421,98,323,12,1.451,710,741,36,3.076,-,881,2.195,75,-,-,-,-,-,-,-,-
11,Córdoba,632,135,497,26,1.397,359,1.038,77,4.649,-,1.070,3.579,210,-,-,-,-,-,-,-,-
12,Cuyo,2.331,535,1.796,202,144,35,109,26,1.630,-,428,1.202,137,-,-,-,-,107,37,70,24
13,Entre Ríos,1.072,100,972,230,249,45,204,10,827,-,166,661,36,-,-,-,-,-,-,-,-
14,Formosa,200,60,140,30,-,-,-,-,438,-,138,300,7,-,-,-,-,-,-,-,-
15,Gral. Sarmiento,1.054,256,798,7,594,234,360,14,527,-,118,409,11,-,-,-,-,-,-,-,-
16,José C. Paz (1),-,-,-,-,236,236,...,-,,-,-,-,-,-,-,-,-,-,-,-,-
17,Jujuy,1.137,333,804,6,1.900,370,1.530,55,836,-,273,563,3,-,-,-,-,-,-,-,-
18,La Matanza,868,161,707,23,3.555,449,3.106,171,1.133,-,223,910,30,-,-,-,-,-,-,-,-
19,La Pampa,147,81,66,3,336,109,227,16,313,-,101,212,7,-,-,-,-,-,-,-,-
20,La Plata,1.485,256,1.229,95,4.776,967,3.809,195,5.173,-,860,4.313,161,96,96,0,0,-,-,-,-
21,La Rioja,307,82,225,3,1.121,392,729,25,298,-,94,204,0,-,-,-,-,-,-,-,-
22,Lanús,616,117,499,33,937,339,598,17,80,-,42,38,0,-,-,-,-,469,158,311,3
23,Litoral,2.463,745,1.718,111,1.487,314,1.173,30,2.077,-,340,1.737,108,-,-,-,-,-,-,-,-
24,Lomas de Zamora,2.191,764,1.427,269,144,33,111,66,940,-,341,599,16,-,-,-,-,-,-,-,-
25,Luján,1.309,303,1.006,50,452,115,337,19,,-,-,-,-,-,-,-,-,-,-,-,-
26,Mar del Plata,516,73,443,46,-,-,-,-,1.155,-,205,950,91,-,-,-,-,-,-,-,-
