,-,Rama,Rama,Rama,Rama,Rama,-,-,-,-,-,-,-,-,Ciencias de la Salud,Ciencias de la Salud,Ciencias de la Salud,Ciencias de la Salud,Ciencias de la Salud,Ciencias de la Salud,Ciencias de la Salud,Ciencias de la Salud,-,-,-,-,-,-,-,-
0,Institución,Total,Ciencias,de,la,Salud,-,Medicina,,-,-,Odontología,,-,Paramédicas,y,Auxiliares,de,la,Medicina,Salud,Pública,-,Sanidad,,-,-,Veterinaria,,-
1,-,EST,NI,RE,EGRE,EST,-,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE
2,Total de las instituciones,198.758,46.617,152.141,14.249,62.398,-,11.862,50.536,4.444,16.465,3.026,13.439,1.324,94.050,27.093,66.957,7.073,-,-,-,-,4.378,1.067,3.311,343,21.467,3.569,17.898,1.065
3,Total Universidades Nacionales,196.801,45.985,150.816,13.959,62.398,-,11.862,50.536,4.444,16.465,3.026,13.439,1.324,92.125,26.469,65.656,6.815,-,-,-,-,4.346,1.059,3.287,311,21.467,3.569,17.898,1.065
4,Arturo Jauretche,3.637,1.891,1.746,-,-,-,-,-,-,-,-,-,-,3.637,1.891,1.746,-,-,-,-,-,-,-,-,-,-,-,-,-
5,Avellaneda,566,140,426,28,-,-,-,-,-,-,-,-,-,566,140,426,28,-,-,-,-,-,-,-,-,-,-,-,-
6,Buenos Aires,60.010,12.441,47.569,3.214,30.038,-,5.987,24.051,1.501,3.884,806,3.078,231 19.572,4.545,15.027,1.249,-,-,-,-,,-,-,-,-,6.516,1.103,5.413,233
7,Catamarca,1.072,256,816,32,-,-,-,-,-,-,-,-,-,1.072,256,816,32,-,-,-,-,-,-,-,-,-,-,-,-
8,Centro de la PBA,2.034,325,1.709,130,402,-,69,333,19,-,-,-,-,161,38,123,14,-,-,-,-,-,-,-,-,1.471,218,1.253,97
9,Chaco Austral,365,132,233,0,-,-,-,-,-,-,-,-,-,365,132,233,0,-,-,-,-,-,-,-,-,-,-,-,-
10,Chilecito,387,44,343,19,-,-,-,-,-,-,-,-,-,387,44,343,19,-,-,-,-,-,-,-,-,-,-,-,-
11,Comahue,6.081,1.959,4.122,350,2.123,-,660,1.463,54,-,-,-,-,3.233,1.114,2.119,245,-,-,-,-,725,185,540,51,-,-,-,-
12,Córdoba,17.204,3.773,13.431,1.928,5.048,-,681,4.367,492,3.607,688,2.919,390,8.549,2.404,6.145,1.046,-,-,-,-,-,-,-,-,-,-,-,-
13,Cuyo,2.589,678,1.911,495,879,-,136,743,131,590,152,438,61,1.107,377,730,303,-,-,-,-,13,13,0,0,-,-,-,-
14,Entre Ríos,4.814,1.686,3.128,597,-,-,-,-,-,-,-,-,-,4.682,1.554,3.128,586,-,-,-,-,132,132,0,11,-,-,-,-
15,Formosa,2.734,889,1.845,89,-,-,-,-,-,-,-,-,-,2.734,889,1.845,89,-,-,-,-,-,-,-,-,-,-,-,-
16,Gral. Sarmiento,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,José C. Paz (1),384,384,...,-,-,-,-,-,-,-,-,-,-,384,384,...,-,-,-,-,-,-,-,-,-,-,-,-,-
18,Jujuy,1.366,338,1.028,21,-,-,-,-,-,-,-,-,-,0,0,0,0,-,-,-,-,1.366,338,1.028,21,-,-,-,-
19,La Matanza,2.410,1.120,1.290,57,302,-,159,143,0,-,-,-,-,2.108,961,1.147,57,-,-,-,-,-,-,-,-,-,-,-,-
20,La Pampa,1.069,129,940,121,-,-,-,-,-,-,-,-,-,176,1,175,54,-,-,-,-,-,-,-,-,893,128,765,67
21,La Plata,15.804,2.715,13.089,1.504,3.972,-,354,3.618,247,3.174,414,2.760,266,5.739,1.405,4.334,851,-,-,-,-,-,-,-,-,2.919,542,2.377,140
22,La Rioja,4.618,1.003,3.615,154,2.173,-,349,1.824,100,256,94,162,0,2.027,512,1.515,52,-,-,-,-,-,-,-,-,162,48,114,2
23,Lanús,2.290,804,1.486,160,-,-,-,-,-,-,-,-,-,2.290,804,1.486,160,-,-,-,-,-,-,-,-,-,-,-,-
24,Litoral,9.422,2.270,7.152,748,2.075,-,554,1.521,97,-,-,-,-,4.024,1.217,2.807,354,-,-,-,-,1.106,206,900,149,2.217,293,1.924,148
25,Lomas de Zamora,2,0,2,2,-,-,-,-,-,1,0,1,1,1,0,1,1,-,-,-,-,-,-,-,-,-,-,-,-
26,Luján,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
27,Mar del Plata,1.474,265,1.209,37,-,-,-,-,-,-,-,-,-,1.474,265,1.209,37,-,-,-,-,-,-,-,-,-,-,-,-
28,Misiones,1.631,512,1.119,69,-,-,-,-,-,-,-,-,-,1.631,512,1.119,69,-,-,-,-,-,-,-,-,-,-,-,-
29,Moreno,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30,Nordeste,8.485,2.077,6.408,676,2.276,-,664,1.612,166,1.555,266,1.289,129,2.452,790,1.662,232,-,-,-,-,-,-,-,-,2.202,357,1.845,149
31,Noroeste de la PBA,219,56,163,0,-,-,-,-,-,-,-,-,-,219,56,163,0,-,-,-,-,-,-,-,-,-,-,-,-
32,Oeste,291,129,162,0,-,-,-,-,-,-,-,-,-,291,129,162,0,-,-,-,-,-,-,-,-,-,-,-,-
33,Patagonia Austral,796,342,454,29,-,-,-,-,-,-,-,-,-,796,342,454,29,-,-,-,-,-,-,-,-,-,-,-,-
34,Patagonia S. J. Bosco,394,156,238,32,-,-,-,-,-,-,-,-,-,394,156,238,32,-,-,-,-,-,-,-,-,-,-,-,-
35,Quilmes,2.249,671,1.578,167,-,-,-,-,-,-,-,-,-,2.249,671,1.578,167,-,-,-,-,-,-,-,-,-,-,-,-
36,Río Cuarto,2.826,509,2.317,225,-,-,-,-,-,-,-,-,-,706,224,482,80,-,-,-,-,-,-,-,-,2.120,285,1.835,145
37,Río Negro,490,196,294,0,-,-,-,-,-,277,110,167,0,0,0,0,0,-,-,-,-,68,32,36,0,145,54,91,0
38,Rosario,16.608,3.290,13.318,1.728,9.690,-,1.901,7.789,1.323,1.745,321,1.424,142,3.581,802,2.779,209,-,-,-,-,-,-,-,-,1.592,266,1.326,54
39,Salta,4.897,1.175,3.722,160,-,-,-,-,-,-,-,-,-,4.828,1.175,3.653,159,-,-,-,-,69,0,69,1,-,-,-,-
40,San Juan,424,143,281,70,-,-,-,-,-,-,-,-,-,424,143,281,70,-,-,-,-,-,-,-,-,-,-,-,-
41,San Luis,1.521,606,915,26,-,-,-,-,-,-,-,-,-,1.508,606,902,24,-,-,-,-,-,-,-,-,13,0,13,2
42,San Martín,1.608,360,1.248,231,70,-,29,41,19,-,-,-,-,1.538,331,1.207,212,-,-,-,-,-,-,-,-,-,-,-,-
43,Santiago del Estero,1.823,251,1.572,167,-,-,-,-,-,-,-,-,-,956,98,858,89,-,-,-,-,867,153,714,78,-,-,-,-
