,-,-,-,-,-,Nuevos Inscriptos,Nuevos Inscriptos,Nuevos Inscriptos,-,-,-,-,-
0,Institución,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,Tasa promedio crecimiento anual
1,Total de las instituciones,302.226,299.008,283.866,272.617,272.608,271.428,290.137,314.614,307.894,315.138,315.593,"0,4"
2,Total Universidades Nacionales,291.712,289.537,270.582,257.577,256.900,256.164,276.104,298.483,292.662,302.135,301.841,"0,3"
3,Arturo Jauretche,-,-,-,-,-,-,-,-,3.049,3.882,3.982,"14,3"
4,Avellaneda,-,-,-,-,-,-,-,-,641,3.367,1.957,"74,7"
5,Buenos Aires,70.512,68.596,61.053,54.412,51.236,47.566,53.315,59.763,56.908,54.682,51.697,"-3,1"
6,Catamarca,4.337,4.218,3.686,3.611,3.268,3.549,3.604,3.647,3.884,3.121,2.821,"-4,2"
7,Centro de la PBA,2.827,2.445,2.316,2.118,2.100,2.979,2.564,2.946,2.727,2.551,2.666,"-0,6"
8,Chaco Austral,-,-,-,-,-,-,1.949,1.672,1.110,1.226,1.098,"-13,4"
9,Chilecito,-,243,317,346,264,274,1.416,1.556,892,926,595,"10,5"
10,Comahue,8.825,9.423,7.807,7.162,6.462,6.142,7.507,7.505,8.460,8.328,8.911,"0,1"
11,Córdoba,17.409,16.288,17.965,18.429,16.456,16.936,19.697,20.228,21.311,21.066,22.318,"2,5"
12,Cuyo,7.047,7.266,6.997,5.782,5.945,5.672,6.460,6.377,6.688,6.549,6.816,"-0,3"
13,Entre Ríos,3.873,3.283,3.883,2.733,3.828,2.683,2.519,3.634,2.752,3.714,4.351,"1,2"
14,Formosa,2.983,5.705,4.886,4.251,3.447,2.624,3.326,4.717,3.873,3.868,3.505,"1,6"
15,Gral. Sarmiento,1.179,853,827,705,640,872,786,1.153,1.258,1.348,1.746,"4,0"
16,José C. Paz(1),-,-,-,-,-,-,-,-,-,3.090,3.090,-
17,Jujuy,3.058,4.005,3.445,3.460,3.261,2.955,3.095,3.592,3.717,3.694,3.837,"2,3"
18,La Matanza,3.369,3.383,4.087,3.615,5.291,11.341,8.057,6.336,5.668,5.463,6.237,"6,4"
19,La Pampa,4.365,2.828,2.307,2.470,1.836,1.818,2.266,2.775,2.112,2.529,2.281,"-6,3"
20,La Plata,19.780,20.079,18.181,20.533,20.623,18.732,19.177,23.151,19.393,21.672,21.374,"0,8"
21,La Rioja(2),5.311,3.878,4.170,4.065,3.728,4.287,4.497,4.755,5.083,5.018,4.878,"-0,8"
22,Lanús,1.504,2.113,2.315,1.992,1.626,2.235,2.328,2.316,2.546,2.693,3.262,"8,0"
23,Litoral,9.077,9.924,8.894,10.144,9.658,10.093,9.176,9.602,9.532,9.859,9.937,"0,9"
24,Lomas de Zamora,9.237,8.410,7.542,6.387,8.737,8.878,8.470,9.560,7.366,7.136,7.512,"-2,0"
25,Luján,4.407,3.789,3.604,2.654,2.851,3.061,4.110,3.503,3.975,3.768,5.519,"2,3"
