,-,Rama,Rama,Rama,Rama,-,-,-,-,-,-,-,Disciplina,Disciplina,-,-,-,-,-,-,-
0,Institución,Total,Ciencias,Básicas,,-,Biología,,-,-,Física,,-,,Matemática,,-,-,Química,,-
1,-,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE
2,Total de las Instituciones,3.314,942,2.372,218,2.483,674,1.809,164,29,8,21,7,347,90,257,16,455,170,285,31
3,Total de Universidades Privadas,3.314,942,2.372,218,2.483,674,1.809,164,29,8,21,7,347,90,257,16,455,170,285,31
4,Abierta Interamericana,53,18,35,3,-,-,-,-,-,-,-,-,53,18,35,3,-,-,-,-
5,Aconcagua,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,Adventista del Plata,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,Argentina de la Empresa,39,17,22,0,39,17,22,0,-,-,-,-,-,-,-,-,-,-,-,-
8,Argentina John F. Kennedy,235,131,104,7,-,-,-,-,-,-,-,-,-,-,-,-,235,131,104,7
9,Atlántida Argentina,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,Austral,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,Belgrano,81,11,70,5,54,7,47,5,-,-,-,-,-,-,-,-,27,4,23,0
12,Blas Pascal,482,138,344,20,482,138,344,20,-,-,-,-,-,-,-,-,-,-,-,-
13,CAECE,648,138,510,39,357,66,291,26,-,-,-,-,291,72,219,13,-,-,-,-
14,Católica Argentina,506,112,394,34,432,102,330,22,-,-,-,-,-,-,-,-,74,10,64,12
15,Católica de Córdoba,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,Católica de Cuyo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,Católica de La Plata,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18,Católica de Salta,12,0,12,6,12,0,12,6,-,-,-,-,-,-,-,-,-,-,-,-
19,Católica de Santa Fe,81,7,74,5,81,7,74,5,-,-,-,-,-,-,-,-,-,-,-,-
