"",,,,,,Disciplina,,,
Institución,,Estadística,,,Industrias,Informática,Ingeniería Meteorología,,Otras Ciencias Aplicadas
"",EST,NI RE,EGRE EST,,NI RE EGRE,EST NI RE EGRE EST,NI RE EGRE EST,NI RE EGRE,EST NI RE EGRE
Total de las Instituciones,3.629,775 2.854,242 1.104,,225 879 152,- - - - -,- - - -,- - -,- - - -
Total Universidades Privadas,3.629,775 2.854,242 333,,75 258 14,- - - - -,- - - -,- - -,- - - -
Abierta Interamericana,-,- -,- -,,- - -,- - - - -,- - - -,- - -,- - - -
Aconcagua,76,11 65,12 -,,- - -,- - - - -,- - - -,- - -,- - - -
Adventista del Plata,-,- -,- -,,- - -,- - - - -,- - - -,- - -,- - - -
Argentina de la Empresa,777,177 600,59 -,,- - -,- - - - -,- - - -,- - -,- - - -
Argentina John F. Kennedy,-,- -,- -,,- - -,- - - - -,- - - -,- - -,- - - -
Atlántida Argentina,-,- -,- -,,- - -,- - - - -,- - - -,- - -,- - - -
Austral,-,- -,- -,,- - -,- - - - -,- - - -,- - -,- - - -
Belgrano,150,37 113,11 -,,- - -,- - - - -,- - - -,- - -,- - - -
Blas Pascal,148,31 117,36 -,,- - -,- - - - -,- - - -,- - -,- - - -
CAECE,-,- -,- -,,- - -,- - - - -,- - - -,- - -,- - - -
Católica Argentina,257,64 193,21 -,,- - -,- - - - -,- - - -,- - -,- - - -
Católica de Córdoba,410,69 341,33 -,,- - -,- - - - -,- - - -,- - -,- - - -
Católica de Cuyo,-,- -,- -,,- - -,- - - - -,- - - -,- - -,- - - -
Católica de La Plata,-,- -,- -,,- - -,- - - - -,- - - -,- - -,- - - -
Católica de Salta,283,51 232,8 -,,- - -,- - - - -,- - - -,- - -,- - - -
Católica de Santa Fe,-,- -,- -,,- - -,- - - - -,- - - -,- - -,- - - -
Católica de Santiago del Estero,37,1 36,4 -,,- - -,- - - - -,- - - -,- - -,- - - -
CEMA,-,- -,- -,,- - -,- - - - -,- - - -,- - -,- - - -
Centro Educativo Latinoamericano,-,- -,- -,,- - -,- - - - -,- - - -,- - -,- - - -
Champagnat,-,- -,- -,,- - -,- - - - -,- - - -,- - -,- - - -
Ciencias Empresariales y Sociales,-,- -,- -,,- - -,- - - - -,- - - -,- - -,- - - -
Cine,-,- -,- -,,- - -,- - - - -,- - - -,- - -,- - - -
Concepción del Uruguay,-,- -,- -,,- - -,- - - - -,- - - -,- - -,- - - -
Congreso,-,- -,- -,,- - -,- - - - -,- - - -,- - -,- - - -
Cuenca del Plata,-,- -,- -,,- - -,- - - - -,- - - -,- - -,- - - -
Empresarial Siglo 21,-,- -,- -,,- - -,- - - - -,- - - -,- - -,- - - -
Este,-,- -,- -,,- - -,- - - - -,- - - -,- - -,- - - -
FASTA,-,- -,- -,,- - -,- - - - -,- - - -,- - -,- - - -
Favaloro,227,38 189,18 -,,- - -,- - - - -,- - - -,- - -,- - - -
Flores,-,- -,- -,,- - -,- - - - -,- - - -,- - -,- - - -
Gastón Dachary,-,- -,- -,,- - -,- - - - -,- - - -,- - -,- - - -
ISALUD,-,- -,- -,,- - -,- - - - -,- - - -,- - -,- - - -
Juan Agustín Maza,177,25 152,0 -,,- - -,- - - - -,- - - -,- - -,- - - -
Madres de Plaza de Mayo,-,- -,- -,,- - -,- - - - -,- - - -,- - -,- - - -
Maimónides,-,- -,- -,,- - -,- - - - -,- - - -,- - -,- - - -
Marina Mercante,248,46 202,5 304,,64 240 10,- - - - -,- - - -,- - -,- - - -
Mendoza,203,26 177,17 -,,- - -,- - - - -,- - - -,- - -,- - - -
Metropolitana,-,- -,- -,,- - -,- - - - -,- - - -,- - -,- - - -
Morón,509,95 414,18 29,,11 18 4,- - - - -,- - - -,- - -,- - - -
Museo Social Argentino,-,- -,- -,,- - -,- - - - -,- - - -,- - -,- - - -
Norte Santo Tomás de Aquino,-,- -,- -,,- - -,- - - - -,- - - -,- - -,- - - -
Palermo,127,104 23,0 -,,- - -,- - - - -,- - - -,- - -,- - - -
Salvador,-,- -,- -,,- - -,- - - - -,- - - -,- - -,- - - -
San Andrés,-,- -,- -,,- - -,- - - - -,- - - -,- - -,- - - -
San Isidro,-,- -,- -,,- - -,- - - - -,- - - -,- - -,- - - -
San Pablo -T,-,- -,- -,,- - -,- - - - -,- - - -,- - -,- - - -
Torcuato Di Tella,-,- -,- -,,- - -,- - - - -,- - - -,- - -,- - - -
Total Institutos Universitarios,-,- -,- 771,,150 621 138,- - - - -,- - - -,- - -,- - - -
CEMIC,-,- -,- -,,- - -,- - - - -,- - - -,- - -,- - - -
Cs. De la Salud de laFundación Barceló,-,- -,- -,,- - -,- - - - -,- - - -,- - -,- - - -
Escuela Argentina de Negocios,-,- -,- -,,- - -,- - - - -,- - - -,- - -,- - - -
Escuela de Medicina del Hospital Italiano,-,- -,- -,,- - -,- - - - -,- - - -,- - -,- - - -
Escuela Universitaria de Teología,-,- -,- -,,- - -,- - - - -,- - - -,- - -,- - - -
ESEADE,-,- -,- -,,- - -,- - - - -,- - - -,- - -,- - - -
Gran Rosario,-,- -,- -,,- - -,- - - - -,- - - -,- - -,- - - -
ISEDET,-,- -,- -,,- - -,- - - - -,- - - -,- - -,- - - -
Italiano de Rosario,-,- -,- -,,- - -,- - - - -,- - - -,- - -,- - - -
ITBA,-,- -,- 771,,150 621 138,206 41 165 26 720,118 602 59 -,- - -,- - - -
River Plate,-,- -,- -,,- - -,- - - - -,- - - -,- - -,- - - -
