,-,Rama Rama Rama Rama,Rama Rama Rama Rama,Rama Rama Rama Rama,Rama Rama Rama Rama,-,x x,x x,-,-,x x x,x x x,x x x,x x x,Disciplina x x x x,Disciplina x x x x,Disciplina x x x x,Disciplina x x x x,Disciplina x x x x,-,-,-,-,-,-,-,-,-,-,-
0,Institución,Total,Ciencias,de,la,Salud,Medicina,x,-,-,Odontología,x,x,,Paramédicas,x,x,x,x,Salud,x,x,x,Sanidad,x,x,-,Veterinaria,x,-
1,-,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE,,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE
2,Total de las Instituciones,55.712,16.045,39.667,7.142,11178,2.512,8.666,968,2599,556,2.043,317,,39.651,12.466,27.185,5.714,85,48,37,20,-,-,-,-,2199,463,1.736,123
3,Total de Universidades Privadas,47.076,13.355,33.721,6.521,7695,1.523,6.172,706,2542,538,2.004,317,,34.555,10.783,23.772,5.355,85,48,37,20,-,-,-,-,2199,463,1.736,123
4,Abierta Interamericana,6.016,1.639,4.377,723,1573,264,1.309,162,346,105,241,30,,4.097,1.270,2.827,531,-,-,-,-,-,-,-,-,-,-,-,-
5,Aconcagua,1.082,349,733,100,282,58,224,46,-,-,-,-,-,800,291,509,54,-,-,-,-,-,-,-,-,-,-,-,-
6,Adventista del Plata,1.351,209,1.142,116,634,77,557,57,-,-,-,-,-,717,132,585,59,-,-,-,-,-,-,-,-,-,-,-,-
7,Argentina de la Empresa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,Argentina John F. Kennedy,892,117,775,81,-,-,-,-,854,111,743,81,,38,6,32,0,-,-,-,-,-,-,-,-,-,-,-,-
9,Atlántida Argentina,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,Austral,659,191,468,101,464,131,333,58,-,-,-,-,-,195,60,135,43,-,-,-,-,-,-,-,-,-,-,-,-
11,Belgrano,184,50,134,18,-,-,-,-,-,-,-,-,-,184,50,134,18,-,-,-,-,-,-,-,-,-,-,-,-
12,Blas Pascal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,CAECE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,Católica Argentina,231,62,169,0,231,62,169,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,Católica de Córdoba,1.996,442,1.554,239,673,117,556,77,290,68,222,27,,414,164,250,81,-,-,-,-,-,-,-,-,619,93,526,54
16,Católica de Cuyo,2.257,452,1.805,441,456,94,362,70,-,-,-,-,-,1.691,323,1.368,371,-,-,-,-,-,-,-,-,110,35,75,0
17,Católica de La Plata,1.590,417,1.173,57,-,-,-,-,140,25,115,23,,1.450,392,1.058,34,-,-,-,-,-,-,-,-,-,-,-,-
