,Rama,,,,,,,,,,,Disciplina,,,,,,,,
Institución,Total Ciencias Humanas,,,Arqueología,,,,,Artes,,,Educación,,,Filosofía x,,,Historia,,
,EST NI RE EGRE,EST,,NI RE,,EGRE,EST,NI,RE,EGRE,EST,NI RE,EGRE,EST,NI RE,EGRE,EST,NI,RE,EGRE
Total de las Instituciones,57.117 15.970 41.147 6.499,,-,-,-,-,5161,1656,3505,578,20551,7.094 13.457,3124,533,152 381,31,567,153,414,37
Total de las Universidades Privadas,56.480 15.704 40.776 6.443,,-,-,-,-,5097,1628,3469,575,20314,6.963 13.351,3124,533,152 381,31,567,153,414,37
Abierta Interamericana,3.884 1.503 2.381 503,,-,-,-,-,469,146,323,114,1811,908 903,278,-,- -,-,-,-,-,-
Aconcagua,1.894 462 1.432 184,,-,-,-,-,-,,- -,-,45,13 32,6,-,- -,-,-,-,-,-
Adventista del Plata,1.247 190 1.057 176,,-,-,-,-,-,,- -,-,394,62 332,90,-,- -,-,-,-,-,-
Argentina de la Empresa,896 300 596 71,,-,-,-,-,75,,71 4,0,-,- -,-,-,- -,-,-,-,-,-
Argentina John F. Kennedy,1.976 324 1.652 94,,-,-,-,-,11,,0 11,5,101,23 78,18,-,- -,-,-,-,-,-
Atlántida Argentina,284 102 182 28,,-,-,-,-,-,,- -,-,37,26 11,0,-,- -,-,-,-,-,-
Austral,395 179 216 28,,-,-,-,-,-,,- -,-,395,179 216,28,-,- -,-,-,-,-,-
Belgrano,1.401 188 1.213 101,,-,-,-,-,28,,28 0,0,,2 1 1,0,-,- -,-,-,-,-,-
Blas Pascal,437 189 248 51,,-,-,-,-,95,,25 70,12,342,164 178,39,-,- -,-,-,-,-,-
CAECE,1.197 307 890 166,,-,-,-,-,-,,- -,-,776,220 556,111,-,- -,-,-,-,-,-
Católica Argentina,3.188 939 2.249 624,,-,-,-,-,210,,45 165,22,1114,428 686,229,71,11 60,18,59,18,41,14
Católica de Córdoba,1.130 296 834 203,,-,-,-,-,-,,- -,-,716,212 504,157,19,4 15,4,36,11,25,4
Católica de Cuyo,1.125 254 871 140,,-,-,-,-,106,,27 79,7,184,47 137,22,12,1 11,2,-,- -,-,-
Católica de La Plata,1.512 420 1.092 145,,-,-,-,-,-,,- -,-,879,288 591,54,70,32 38,1,20,5,15,0
Católica de Salta,2.852 893 1.959 226,,-,-,-,-,69,,10 59,6,969,434 535,69,32,1 31,1,-,-,-,-
Católica de Santa Fe,1.213 189 1.024 108,,-,-,-,-,5,,0 5,2,275,52 223,30,25,7 18,0,-,-,-,-
Católica de Santiago del Estero,1.635 368 1.267 44,,-,-,-,-,0,,0 0,5,289,99 190,10,-,- -,-,-,-,-,-
CEMA,- - - -,,-,-,-,-,-,,- -,-,-,- -,-,-,- -,-,-,-,-,-
Centro Educativo Latinoamericano,496 210 286 187,,-,-,-,-,-,,- -,-,466,203 263,182,-,- -,-,-,-,-,-
Champagnat,- - - -,,-,-,-,-,-,,- -,-,-,- -,-,-,- -,-,-,-,-,-
Ciencias Empresariales y Sociales,1.041 267 774 62,,-,-,-,-,-,,- -,-,60,32 28,11,96,32 64,0,-,-,-,-
Cine,1.305 413 892 100,,-,-,-,-,1305,413,892,100,-,- -,-,-,- -,-,-,-,-,-
Concepción del Uruguay,506 210 296 77,,-,-,-,-,-,,- -,-,506,210 296,77,-,- -,-,-,-,-,-
Congreso,396 146 250 29,,-,-,-,-,-,,- -,-,35,35 0,0,-,- -,-,-,-,-,-
Cuenca del Plata,2.631 606 2.025 154,,-,-,-,-,-,,- -,-,864,173 691,98,-,- -,-,-,-,-,-
Empresarial Siglo 21,1.896 804 1.092 64,,-,-,-,-,-,,- -,-,1197,615 582,37,-,- -,-,-,-,-,-
Este,69 28 41 24,,-,-,-,-,-,,- -,-,69,28 41,24,-,- -,-,-,-,-,-
FASTA,1.545 698 847 108,,-,-,-,-,14,,0 14,4,987,399 588,89,-,- -,-,-,-,-,-
Favaloro,141 47 94 7,,-,-,-,-,-,,- -,-,-,- -,-,-,- -,-,-,-,-,-
Flores,2.843 806 2.037 235,,-,-,-,-,-,,- -,-,2086,572 1.514,180,-,- -,-,-,-,-,-
Gastón Dachary,213 161 52 44,,-,-,-,-,-,,- -,-,213,161 52,44,-,- -,-,-,-,-,-
ISALUD,105 52 53 10,,-,-,-,-,-,,- -,-,105,52 53,10,-,- -,-,-,-,-,-
Juan Agustín Maza,415 136 279 37,,-,-,-,-,-,,- -,-,415,136 279,37,-,- -,-,-,-,-,-
Madres de Plaza de Mayo,73 22 51 -,,-,-,-,-,-,,- -,-,-,- -,-,-,- -,-,73,22,51,-
Maimónides,781 262 519 217,,-,-,-,-,194,,73 121,45,218,95 123,91,54,11 43,1,-,-,-,-
Marina Mercante,705 199 506 79,,-,-,-,-,-,,- -,-,44,14 30,0,-,- -,-,-,-,-,-
Mendoza,665 200 465 33,,-,-,-,-,-,,- -,-,60,36 24,1,-,- -,-,-,-,-,-
Metropolitana,149 149 - -,,-,-,-,-,,,,,149,149 -,-,-,- -,-,-,-,-,-
Morón,1.917 645 1.272 162,,-,-,-,-,-,,- -,-,534,234 300,84,27,6 21,0,59,26,33,6
Museo Social Argentino,1.468 404 1.064 240,,-,-,-,-,584,150,434,74,31,0 31,16,-,- -,-,-,-,-,-
Norte Santo Tomás de Aquino,470 137 333 35,,-,-,-,-,-,,- -,-,-,- -,-,78,37 41,3,-,-,-,-
Palermo,2.046 671 1.375 168,,-,-,-,-,1155,435,720,68,26,12 14,6,0,0 0,1,-,-,-,-
Salvador,8.224 1.277 6.947 1.465,,-,-,-,-,776,205,571,111,3852,613 3.239,986,49,10 39,0,274,58,216,9
San Andrés,39 9 30 10,,-,-,-,-,-,,- -,-,39,9 30,10,-,- -,-,-,-,-,-
San Isidro,29 29 - -,,-,-,-,-,-,,- -,-,29,29 -,-,-,- -,-,-,-,-,-
San Pablo - T,- - - -,,-,-,-,-,-,,- -,-,-,- -,,-,- -,-,-,-,-,-
Torcuato Di Tella,46 13 33 4,,-,-,-,-,-,,- -,-,-,- -,,-,- -,-,46,13,33,4
Total de Institutos Universitarios,637 266 371 56,,-,-,-,-,64,,28 36,3,237,131 106,0,0,0 0,0,0,0,0,0
CEMIC,- - - -,,-,-,-,-,-,,- -,-,-,- -,-,-,- -,-,-,-,-,-
Cs de la Salud de la Fundación Barceló,112 52 60 3,,-,-,-,-,-,,- -,-,-,- -,-,-,- -,-,-,-,-,-
Escuela Argentina de Negocios,- - - -,,-,-,-,-,-,,- -,-,-,- -,-,-,- -,-,-,-,-,-
Escuela de Medicina del Hospital Italiano,- - - -,,-,-,-,-,-,,- -,-,-,- -,-,-,- -,-,-,-,-,-
Escuela Universitaria de Teología,87 25 62 3,,-,-,-,-,-,,- -,-,-,- -,-,-,- -,-,-,-,-,-
ESEADE,64 28 36 3,,-,-,-,-,64,,28 36,3,-,- -,-,-,- -,-,-,-,-,-
Gran Rosario,220 114 106 0,,-,-,-,-,-,,- -,-,220,114 106,0,-,- -,-,-,-,-,-
