,-,-,Rama,Rama,Rama,-,-,-,-,-,-,-,Disciplina,Disciplina,-,-,-,-,-,-,-
0,Institución,-,Total,Ciencias,Sociales,Ciencias,"Políticas,",Relaciones,-,Ciencias,Información,Comunicación,Demografía,Geografía,-,,,-,Derecho,,-
1,-,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE
2,Total de las Instituciones,214146,60.534,153.612,18.600,6.012,1.518,4.494,495,11.986,3.220,8.766,1.253,5.728,1.706,4.022,595,70936,18.367,52.569,5017
3,Total de Universidades Privadas,212687,59.969,152.718,18.463,6.012,1.518,4.494,495,11.964,3.206,8.758,1.253,5.728,1.706,4.022,595,70936,18.367,52.569,5017
4,Abierta Interamericana,7327,1.892,5.435,1.119,248,64,184,26,564,156,408,59,554,155,399,109,2638,527,2.111,297
5,Aconcagua,3510,725,2.785,358,-,-,-,-,90,18,72,1,96,36,60,14,763,141,622,28
6,Adventista del Plata,665,116,549,84,-,-,-,-,97,27,70,12,-,-,-,-,-,-,-,-
7,Argentina de la Empresa,19753,4.980,14.773,2.567,489,135,354,77,1.684,444,1.240,254,0,0,0,39,1550,414,1.136,214
8,Argentina John F. Kennedy,3429,494,2.935,383,74,10,64,13,126,8,118,23,117,12,105,14,1022,169,853,113
9,Atlántida Argentina,841,200,641,93,-,-,-,-,-,-,-,-,68,22,46,0,447,104,343,49
10,Austral,1920,538,1.382,173,-,-,-,-,604,145,459,84,-,-,-,-,350,94,256,40
11,Belgrano,7595,1.707,5.888,320,324,49,275,3,511,88,423,1,771,280,491,0,1823,216,1.607,140
12,Blas Pascal,7172,2.767,4.405,989,-,-,-,-,275,121,154,36,392,127,265,96,2692,922,1.770,398
13,CAECE,1584,212,1.372,189,-,-,-,-,236,39,197,20,99,15,84,6,-,-,-,-
14,Católica Argentina,9402,2.223,7.179,1.376,614,166,448,94,845,294,551,134,-,-,-,-,3781,735,3.046,592
15,Católica de Córdoba,2887,586,2.301,460,390,76,314,45,-,-,-,-,-,-,-,-,998,181,817,130
16,Católica de Cuyo,2855,637,2.218,239,-,-,-,-,-,-,-,-,160,58,102,17,1252,253,999,136
17,Católica de La Plata,4653,762,3.891,296,194,29,165,11,-,-,-,-,-,-,-,-,2273,372,1.901,160
18,Católica de Salta,18818,4.065,14.753,1.105,445,73,372,10,249,62,187,16,237,38,199,27,10104,1.983,8.121,557
19,Católica de Santa Fe,3556,457,3.099,273,82,10,72,2,142,15,127,7,-,-,-,-,2052,248,1.804,189
20,Católica de Santiago del Estero,4951,1.165,3.786,277,156,27,129,11,496,158,338,26,191,68,123,13,3018,676,2.342,135
21,CEMA,666,135,531,103,42,10,32,5,-,-,-,-,-,-,-,-,-,-,-,-
22,Centro Educativo Latinoamericano,2309,438,1.871,100,-,-,-,-,-,-,-,-,-,-,-,-,424,106,318,6
23,Champagnat,2591,277,2.314,249,49,7,42,0,-,-,-,-,112,10,102,3,1311,125,1.186,106
24,Ciencias Empresariales y Sociales,12783,3.873,8.910,954,223,50,173,14,2.030,587,1.443,177,138,67,71,2,934,245,689,64
25,Cine,7,3,4,0,-,-,-,-,7,3,4,0,-,-,-,-,-,-,-,-
26,Concepción del Uruguay,1470,207,1.263,94,-,-,-,-,42,22,20,19,-,-,-,-,653,92,561,48
27,Congreso,1815,472,1.343,137,121,23,98,10,43,18,25,2,95,20,75,17,645,134,511,32
28,Cuenca del Plata,3147,703,2.444,276,-,-,-,-,117,23,94,1,-,-,-,-,1669,381,1.288,137
29,Empresarial Siglo 21,44042,18.850,25.192,2.542,767,348,419,22,283,55,228,33,320,178,142,8,18618,7.298,11.320,562
30,Este,375,157,218,33,-,-,-,-,69,24,45,13,-,-,-,-,121,52,69,4
31,FASTA,2635,763,1.872,193,-,-,-,-,170,33,137,14,116,66,50,3,359,42,317,17
32,Favaloro,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
33,Flores,526,135,391,24,-,-,-,-,9,0,9,2,-,-,-,-,163,48,115,10
34,Gastón Dachary,1602,440,1.162,48,109,35,74,0,-,-,-,-,94,20,74,6,449,184,265,0
35,ISALUD,177,53,124,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
36,Juan Agustín Maza,701,206,495,107,-,-,-,-,338,93,245,72,-,-,-,-,-,-,-,-
37,Madres de Plaza de Mayo,254,102,152,-,-,-,-,-,-,-,-,-,-,-,-,-,173,49,124,-
38,Maimónides,686,217,469,100,53,28,25,1,158,45,113,17,37,8,29,0,143,36,107,22
39,Marina Mercante,2487,671,1.816,130,-,-,-,-,34,11,23,0,61,13,48,2,258,85,173,5
40,Mendoza,2480,450,2.030,147,-,-,-,-,-,-,-,-,-,-,-,-,2083,325,1.758,128
41,Metropolitana,250,250,-,-,-,-,-,-,-,-,-,-,117,117,-,-,-,-,-,-
42,Morón,7571,2.247,5.324,808,51,12,39,5,235,50,185,18,524,129,395,57,3426,955,2.471,347
43,Museo Social Argentino,1333,365,968,163,-,-,-,-,96,33,63,18,-,-,-,-,669,154,515,78
44,Norte Santo Tomás de Aquino,4183,867,3.316,290,113,20,93,14,166,45,121,21,166,22,144,25,1335,269,1.066,87
