,,Disciplina,,,
Institución,Economía y Administración,Otras Ciencias Sociales Relaciones Institucionales y Humanas,,"Sociología, Antropologíay Servicio",Social
,EST NI RE EGRE,EST NI RE EGRE EST NI RE,EGRE,EST NI RE,EGRE
Total de las Instituciones,99.529 29.336 70.193 9.541,2.133 568 1.565 125 16.134 5.244 10.890,1461,1.688 575 1.113,113
Total de Universidades Privadas,98.420 28.903 69.517 9.434,2.133 568 1.565 125 15.810 5.130 10.680,1431,1.684 571 1.113,113
Abierta Interamericana,3.111 884 2.227 621,- - - - 212 106 106,7,- - -,-
Aconcagua,1.922 386 1.536 251,325 86 239 40 209 39 170,10,105 19 86,14
Adventista del Plata,556 89 467 68,- - - - - - -,-,12 0 12,4
Argentina de la Empresa,13.700 3.372 10.328 1.535,- - - - 2.314 615 1.699,448,16 0 16,0
Argentina John F. Kennedy,1.620 199 1.421 163,- - - - 410 87 323,53,60 9 51,4
Atlántida Argentina,326 74 252 44,- - - - - - -,-,- - -,-
Austral,612 143 469 46,- - - - - - -,-,354 156 198,3
Belgrano,3.964 1.037 2.927 176,- - - - 202 37 165,0,- - -,-
Blas Pascal,3.349 1.336 2.013 449,224 129 95 10 240 132 108,0,- - -,-
CAECE,1.045 134 911 145,- - - - 203 24 179,17,1 0 1,1
Católica Argentina,4.162 1.028 3.134 556,- - - - - - -,-,- - -,-
Católica de Córdoba,1.497 329 1.168 285,- - - - - - -,-,2 0 2,0
Católica de Cuyo,1.305 256 1.049 86,- - - - 138 70 68,0,- - -,-
Católica de La Plata,1.697 231 1.466 112,51 51 0 0 350 68 282,9,88 11 77,4
Católica de Salta,6.003 1.441 4.562 342,804 203 601 35 700 183 517,77,276 82 194,41
Católica de Santa Fe,1.280 184 1.096 75,- - - - - - -,-,- - -,-
Católica de Santiago del Estero,1.090 236 854 92,- - - - - - -,-,- - -,-
CEMA,624 125 499 98,- - - - - - -,-,- - -,-
Centro Educativo Latinoamericano,1.663 303 1.360 91,- - - - 222 29 193,3,- - -,-
Champagnat,701 78 623 82,- - - - 418 57 361,58,- - -,-
Ciencias Empresariales y Sociales,6.897 2.092 4.805 510,- - - - 2.511 817 1.694,181,50 15 35,6
Cine,- - - -,- - - - - - -,-,- - -,-
Concepción del Uruguay,708 91 617 15,- - - - 42 0 42,12,25 2 23,0
Congreso,911 277 634 76,- - - - - - -,-,- - -,-
Cuenca del Plata,1.353 299 1.054 138,- - - - - - -,-,8 0 8,0
Empresarial Siglo 21,19.600 8.983 10.617 1.770,- - - - 4.442 1.988 2.454,144,12 0 12,3
Este,123 59 64 2,- - - - 62 22 40,14,- - -,-
FASTA,1.830 571 1.259 158,127 37 90 1 33 14 19,0,- - -,-
Favaloro,- - - -,- - - - - - -,-,- - -,-
Flores,344 87 257 12,- - - - - - -,-,10 0 10,0
Gastón Dachary,950 201 749 42,- - - - - - -,-,- - -,-
ISALUD,177 53 124 17,- - - - - - -,-,- - -,-
Juan Agustín Maza,186 68 118 11,- - - - 177 45 132,24,- - -,-
Madres de Plaza de Mayo,- - - -,- - - - - - -,-,81 53 28,-
Maimónides,202 63 139 43,- - - - 93 37 56,17,- - -,-
Marina Mercante,1.990 527 1.463 101,- - - - 144 35 109,22,- - -,-
Mendoza,397 125 272 19,- - - - - - -,-,- - -,-
Metropolitana,63 63 - -,- - - - - - -,-,70 70 -,-
Morón,2.442 841 1.601 268,148 40 108 16 641 187 454,97,104 33 71,0
Museo Social Argentino,347 107 240 48,- - - - 90 25 65,10,131 46 85,9
Norte Santo Tomás de Aquino,2.037 414 1.623 102,- - - - 366 97 269,41,- - -,-
Palermo,1.637 610 1.027 110,- - - - 809 305 504,160,46 10 36,3
Salvador,4.571 1.092 3.479 431,454 22 432 23 782 111 671,27,233 65 168,21
San Andrés,629 145 484 125,- - - - - - -,-,- - -,-
San Isidro,- - - -,- - - - - - -,-,- - -,-
San Pablo -T,217 64 153 7,- - - - - - -,-,- - -,-
Torcuato Di Tella,582 206 376 112,- - - - - - -,-,- - -,-
Total de Institutos Universitarios,1.109 433 676 107,- - - - 324 114 210,30,4 4 0,0
CEMIC,- - - -,- - - - - - -,-,- - -,-
Cs. De la Salud de la Fundación Barceló,- - - -,- - - - - - -,-,- - -,-
Escuela Argentina de Negocios,870 342 528 75,- - - - 324 114 210,30,- - -,-
Escuela de Medcina del Hospital Italiano,- - - -,- - - - - - -,-,- - -,-
Escuela Universitaria de Teología,- - - -,- - - - - - -,-,- - -,-
ESEADE,26 6 20 8,- - - - - - -,-,4 4 0,0
Gran Rosario,- - - -,- - - - - - -,-,- - -,-
ISEDET,- - - -,- - - - - - -,-,- - -,-
Italiano de Rosaro,- - - -,- - - - - - -,-,- - -,-
ITBA,154 26 128 24,- - - - - - -,-,- - -,-
River Plate,59 59 - -,- - - - - - -,-,- - -,-
