,-,-,-,Grupos de Edad(1),Grupos de Edad(1),-,-,Grupos de Edad(1) %,Grupos de Edad(1) %,-
0,Institución,Total,-,-,,-,-,-,,-
1,-,-,<19,20-24,25-29,>30,<19,20-24,25-29,>30
2,Total de las Instituciones,393132,48693,153.152,85.898,99196,12.4,"39,0","21,8",25.2
3,Total Universidades Privadas,380615,45987,146.987,83.692,97756,12.1,"38,6","22,0",25.7
4,Abierta Interamericana,20464,2285,7.051,5.150,5978,11.2,"34,5","25,2",29.2
5,Aconcagua,7053,607,2.744,2.185,1517,8.6,"38,9","31,0",21.5
6,Adventista del Plata,3354,309,1.627,917,501,9.2,"48,5","27,3",14.9
7,Argentina de la Empresa,26767,6639,12.020,5.343,2765,24.8,"44,9","20,0",10.3
8,Argentina John F. Kennedy,8737,226,1.458,2.472,4581,2.6,"16,7","28,3",52.4
9,Atlántida Argentina,1228,40,431,335,422,3.3,"35,1","27,3",34.4
10,Austral,3278,862,1.312,311,793,26.3,"40,0","9,5",24.2
11,Belgrano,12972,1769,6.566,3.315,1322,13.6,"50,6","25,6",10.2
12,Blas Pascal,9189,530,2.566,2.139,3954,5.8,"27,9","23,3",43
13,CAECE,4795,560,2.063,1.032,1140,11.7,"43,0","21,5",23.8
14,Católica Argentina,15429,856,9.341,3.296,1936,5.5,"60,5","21,4",12.5
15,Católica de Córdoba,8194,1225,4.109,1.620,1240,14.9,"50,1","19,8",15.1
16,Católica de Cuyo,7482,1224,3.862,1.661,735,16.4,"51,6","22,2",9.8
17,Católica de La Plata,8643,702,3.224,2.221,2496,8.1,"37,3","25,7",28.9
18,Católica de Salta,25650,2783,8.913,6.173,7781,10.8,"34,7","24,1",30.3
19,Católica de Santa Fe,5936,880,2.521,1.532,1003,14.8,"42,5","25,8",16.9
20,Católica de Santiago del Estero,7156,1195,3.508,1.443,1010,16.7,"49,0","20,2",14.1
21,CEMA,749,152,462,89,46,20.3,"61,7","11,9",6.1
22,Centro Educativo Latinoamericano,3976,298,1.542,1.137,999,7.5,"38,8","28,6",25.1
23,Champagnat,2846,...,...,...,...,...,...,...,...
24,Ciencias Empresariales y Sociales,14551,1817,6.602,3.750,2382,12.5,"45,4","25,8",16.4
25,Cine,1312,148,724,322,118,11.3,"55,2","24,5",9
26,Concepción del Uruguay,3354,...,...,...,...,...,...,...,...
27,Congreso,2423,86,805,852,680,3.5,"33,2","35,2",28.1
28,Cuenca del Plata,6871,1193,3.546,1.212,920,17.4,"51,6","17,6",13.4
29,Empresarial Siglo 21,49949,2680,12.131,12.638,22500,5.4,"24,3","25,3",45
30,Este,635,91,249,128,167,14.3,"39,2","20,2",26.3
31,FASTA,8141,414,2.049,2.065,3613,5.1,"25,2","25,4",44.4
32,Favaloro,1502,187,657,312,346,12.5,"43,7","20,8",23
33,Flores,4369,384,1.442,1.107,1436,8.8,"33,0","25,3",32.9
34,Gastón Dachary,2413,105,990,580,738,4.4,"41,0","24,0",30.6
35,ISALUD,3817,69,467,609,2672,1.8,"12,2","16,0",70
36,Juan Agustín Maza,3274,485,1.686,809,294,14.8,"51,5","24,7",9
37,Madres de Plaza de Mayo,327,3,35,68,221,0.9,"10,7","20,8",67.6
38,Maimónides,12644,186,1.330,1.906,9222,1.5,"10,5","15,1",72.9
39,Marina Mercante,4207,89,993,1.383,1742,2.1,"23,6","32,9",41.4
40,Mendoza,8736,1220,4.153,2.203,1160,14,"47,5","25,2",13.3
41,Metropolitana,399,79,172,52,96,19.8,"43,1","13,0",24.1
42,Morón,16572,1967,5.817,3.982,4806,11.9,"35,1","24,0",29
43,Museo Social Argentino,3050,185,1.016,888,961,6.1,"33,3","29,1",31.5
44,Norte Santo Tomás de Aquino,6490,699,3.062,1.543,1186,10.8,"47,2","23,8",18.3
45,Palermo,13182,2554,5.962,2.756,1910,19.4,"45,2","20,9",14.5
46,Salvador,25443,7515,15.885,1.918,125,29.5,"62,4","7,5",0.5
47,San Andrés,1014,227,776,11,0,22.4,"76,5","1,1",0
48,San Isidro,114,8,41,21,44,7,"36,0","18,4",38.6
49,San Pablo - T,755,61,347,157,190,8.1,"46,0","20,8",25.2
50,Torcuato Di Tella,1173,393,725,47,8,33.5,"61,8","4,0",0.7
51,Total Institutos Universitarios,12517,2706,6.165,2.206,1440,21.6,"49,3","17,6",11.5
52,CEMIC,451,37,221,111,82,8.2,"49,0","24,6",18.2
53,Cs de la Salud de la Fundación Barceló,4825,807,2.243,1.047,728,16.7,"46,5","21,7",15.1
54,Escuela Argentina de Negocios,1247,39,732,421,55,3.1,"58,7","33,8",4.4
55,Escuela de Medicina del Hospital Italiano,397,45,197,85,70,11.3,"49,6","21,4",17.6
56,Escuela Universitaria de Teología,87,5,12,20,50,5.7,"13,8","23,0",57.5
57,ESEADE,116,5,38,29,44,4.3,"32,8","25,0",37.9
58,Gran Rosario,2752,628,1.556,379,189,22.8,"56,5","13,8",6.9
59,ISEDET,56,0,11,19,26,0,"19,6","33,9",46.4
60,Italiano de Rosario,659,65,352,76,166,9.9,"53,4","11,5",25.2
61,ITBA,1851,1067,784,0,0,57.6,"42,4","0,0",0
62,River Plate,76,8,19,19,30,10.5,"25,0","25,0",39.5
