Región y régimen,,Total Rama,,Ciencias Aplicadas,Ciencias Básicas,Ciencias de la Salud,RamaCiencias Humanas,,Ciencias Sociales,,Sin Rama,
"",EST,NI,EGRE,EST NI EGRE,EST NI EGRE,EST NI EGRE,EST,NI EGRE,EST NI EGRE,EST,NI,EGRE
Total,1.830.743,425.650,117.719,443.304 92.588 23.103,56.044 13.612 2.908,254.470 62.662 21.391,322.215,81.705 16.781,744.509 168.877 53.526,10.201,6.206,10
Total Estatal,1.437.611,315.593,80.343,382.193 77.001 18.194,52.730 12.670 2.690,198.758 46.617 14.249,265.098,65.735 10.282,530.363 108.343 34.926,8.469,5.227,2
Total Privado,393.132,110.057,37.376,61.111 15.587 4.909,3.314 942 218,55.712 16.045 7.142,57.117,15.970 6.499,214.146 60.534 18.600,1.732,979,8
Región Bonaerense,209.001,44.012,12.064,66.206 12.371 3.297,8.897 2.301 500,24.668 4.573 2.036,31.984,7.963 1.283,76.568 16.515 4.946,678,289,2
Estatal,184.849,37.448,10.513,61.830 11.103 3.074,8.797 2.273 493,20.388 3.538 1.771,27.920,6.584 969,65.607 13.888 4.204,307,62,2
Privado,24.152,6.564,1.551,4.376 1.268 223,100 28 7,4.280 1.035 265,4.064,1.379 314,10.961 2.627 742,371,227,0
Región Centro-Este,198.531,45.042,18.248,50.665 9.855 3.396,4.353 1.102 438,40.319 9.689 3.903,35.462,9.879 1.802,64.561 12.482 8.709,3.171,2.035,0
Estatal,166.403,37.758,14.956,48.074 9.298 3.069,3.972 1.043 412,32.245 7.707 3.232,29.160,8.105 879,49.781 9.570 7.364,3.171,2.035,0
Privado,32.128,7.284,3.292,2.591 557 327,381 59 26,8.074 1.982 671,6.302,1.774 923,14.780 2.912 1.345,-,-,-
Región Centro-Oeste,346.997,88.452,23.099,84.927 18.875 4.994,9.012 2.499 804,40.218 9.588 3.965,61.895,15.905 2.954,146.503 38.984 10.382,4.442,2.601,0
Estatal,246.052,54.484,14.948,71.748 14.939 4.023,8.239 2.194 777,30.902 7.685 2.921,53.492,13.301 2.132,77.229 13.764 5.095,4.442,2.601,0
Privado,100.945,33.968,8.151,13.179 3.936 971,773 305 27,9.316 1.903 1.044,8.403,2.604 822,69.274 25.220 5.287,-,-,-
Región Metropolitana,724.282,161.811,49.045,159.301 31.870 8.233,14.767 2.685 571,105.696 28.703 8.994,126.764,29.865 7.933,315.844 67.407 23.306,1.910,1.281,8
Estatal,540.485,111.978,27.942,125.021 23.701 5.283,12.719 2.135 419,74.349 18.285 4.023,97.076,22.017 4.077,230.771 45.311 14.140,549,529,0
Privado,183.797,49.833,21.103,34.280 8.169 2.950,2.048 550 152,31.347 10.418 4.971,29.688,7.848 3.856,85.073 22.096 9.166,1.361,752,8
Región Noreste,100.069,25.422,5.140,22.369 4.842 1.079,6.454 1.502 181,14.386 3.992 909,13.426,3.927 561,43.434 11.159 2.410,-,-,-
Estatal,88.678,22.628,4.391,21.028 4.561 1.041,6.454 1.502 181,13.215 3.610 834,10.582,3.160 363,37.399 9.795 1.972,-,-,-
Privado,11.391,2.794,749,1.341 281 38,- - -,1.171 382,75 2.844,767 198,6.035 1.364 438,-,-,-
Región Noroeste,179.233,37.931,7.550,42.879 8.760 1.531,8.097 2.052 256,20.353 3.335 1.052,36.181,9.080 1.648,71.723 14.704 3.063,-,-,-
Estatal,140.691,28.980,5.163,38.030 7.501 1.150,8.085 2.052 250,18.829 3.010 936,31.444,7.758 1.354,44.303 8.659 1.473,-,-,-
Privado,38.542,8.951,2.387,4.849 1.259 381,12 0 6,1.524 325 116,4.737,1.322 294,27.420 6.045 1.590,-,-,-
Región Sur,72.630,22.980,2.573,16.957 6.015 573,4.464 1.471 158,8.830 2.782 532,16.503,5.086 600,25.876 7.626 710,-,-,-
Estatal,70.453,22.317,2.430,16.462 5.898 554,4.464 1.471 158,8.830 2.782 532,15.424,4.810 508,25.273 7.356 678,-,-,-
Privado,2.177,663,143,495 117 19,- - -,- -,- 1.079,276 92,603 270 32,-,-,-
