"",,Ciencias Sociales,,,Sin Rama (2),,
Institución,,,,,,,
"",EST,NI RE,EGRE,EST,NI RE,EGRE,
Total de las instituciones,530.396,108.343 422.053,34.937,8.469,5.227 3.242,,2
Total Universidades Nacionales,515.331,104.124 411.207,33.142,8.163,4.921 3.242,,2
Arturo Jauretche,1.936,943 993,-,-,- -,,-
Avellaneda,2.023,1.306 717,23,-,- -,,-
Buenos Aires,127.034,17.845 109.189,8.125,-,- -,,-
Catamarca,4.050,926 3.124,99,-,- -,,-
Centro de la PBA,5.251,929 4.322,242,-,- -,,-
Chaco Austral,696,275 421,0,-,- -,,-
Chilecito,1.380,217 1.163,22,-,- -,,-
Comahue,9.228,2.318 6.910,228,-,- -,,-
Córdoba,32.870,4.585 28.285,2.386,4.214,2.507 1.707,,0
Cuyo,13.305,2.442 10.863,939,228,94 134,,0
Entre Ríos,5.470,1.429 4.041,252,-,- -,,-
Formosa,3.402,1.001 2.401,108,-,- -,,-
Gral. Sarmiento,1.717,446 1.271,50,-,- -,,-
José C. Paz (1),1.700,1.700 ...,-,-,- -,,-
Jujuy,4.999,1.257 3.742,72,-,- -,,-
La Matanza,23.862,3.564 20.298,1.530,-,- -,,-
La Pampa,2.727,633 2.094,147,-,- -,,-
La Plata,33.653,6.657 26.996,2.135,307,62 245,,2
La Rioja,5.898,1.233 4.665,249,-,- -,,-
Lanús,4.688,1.018 3.670,173,-,- -,,-
Litoral,15.333,3.408 11.925,655,-,- -,,-
Lomas de Zamora,26.711,5.360 21.351,1.893,-,- -,,-
Luján,12.245,3.994 8.251,710,-,- -,,-
Mar del Plata,9.291,2.165 7.126,525,-,- -,,-
Misiones,9.801,2.974 6.827,308,-,- -,,-
Moreno,2.779,1.137 1.642,0,-,- -,,-
Nordeste,23.471,5.545 17.926,1.528,-,- -,,-
Noroeste de la PBA,3.215,752 2.463,124,-,- -,,-
Oeste,534,285 249,0,-,- -,,-
Patagonia Austral,2.492,956 1.536,26,-,- -,,-
Patagonia S. J. Bosco,7.659,1.830 5.829,189,-,- -,,-
Quilmes,13.629,3.030 10.599,401,-,- -,,-
Río Cuarto,5.046,1.151 3.895,210,-,- -,,-
Río Negro,2.680,1.189 1.491,59,-,- -,,-
Rosario,23.303,3.147 20.156,6.209,3.171,2.035 1.136,,0
Salta,9.150,1.826 7.324,76,-,- -,,-
San Juan,8.489,1.468 7.021,268,-,- -,,-
San Luis,2.594,631 1.963,88,-,- -,,-
San Martín,6.664,1.933 4.731,614,-,- -,,-
Santiago del Estero,3.894,757 3.137,161,-,- -,,-
Sur,6.859,1.196 5.663,375,-,- -,,-
Tecnológica Nacional,3.528,1.168 2.360,515,-,- -,,-
Tierra del Fuego,372,372 -,-,-,- -,,-
Tres de Febrero,5.093,2.358 2.735,239,243,223 20,,0
Tucumán,22.205,3.893 18.312,1.065,-,- -,,-
Villa María,2.354,824 1.530,124,-,- -,,-
Villa Mercedes,51,51 -,-,-,- -,,-
Total Institutos Universitarios,9.654,2.761 6.893,1.561,306,306 0,,0
Aeronáutico,3.849,576 3.273,733,-,- -,,-
Instituto Univ. del Ejército,1.465,874 591,203,-,- -,,-
Gendarmería,1.254,421 833,187,-,- -,,-
IUNA,-,- -,-,-,- -,,-
Naval,427,179 248,62,-,- -,,-
Policía Federal Argentina,2.595,702 1.893,234,-,- -,,-
Seguridad Marítima,64,9 55,142,306,306 0,,0
Total Universidad Provincial,5.411,1.458 3.953,234,-,- -,,-
Autónoma de Entre Ríos,5.411,1.458 3.953,234,-,- -,,-
