,-,EST,EGRE,EST,NI RE,NI RE,EGRE,EST,NI RE,NI RE,EGRE
0,Total de las instituciones,37280,1159,71841,15.496,56.345,3345,52,16,36,0
1,Total Universidades Nacionales,36205,1143,66589,13.990,52.599,3207,52,16,36,0
2,Arturo Jauretche,-,-,-,-,-,-,-,-,-,-
3,Avellaneda,-,-,-,-,-,-,-,-,-,-
4,Buenos Aires,6568,290,25663,5.476,20.187,1673,-,-,-,-
5,Catamarca,772,33,-,-,-,-,-,-,-,-
6,Centro de la PBA,-,-,-,-,-,-,-,-,-,-
7,Chaco Austral,-,-,-,-,-,-,-,-,-,-
8,Chilecito,-,-,-,-,-,-,-,-,-,-
9,Comahue,1451,49,2243,495,1.748,51,-,-,-,-
10,Córdoba,7746,215,12164,2.669,9.495,549,-,-,-,-
11,Cuyo,1578,62,-,-,-,-,-,-,-,-
12,Entre Ríos,92,7,-,-,-,-,-,-,-,-
13,Formosa,449,0,-,-,-,-,-,-,-,-
14,Gral. Sarmiento,65,0,-,-,-,-,-,-,-,-
15,José C. Paz (1),-,-,-,-,-,-,-,-,-,-
16,Jujuy,999,7,-,-,-,-,-,-,-,-
17,La Matanza,147,2,-,-,-,-,-,-,-,-
18,La Pampa,587,10,-,-,-,-,-,-,-,-
19,La Plata,2570,94,8650,1.566,7.084,293,-,-,-,-
20,La Rioja,211,8,279,67,212,63,52,16,36,0
21,Lanús,349,6,-,-,-,-,-,-,-,-
22,Litoral,1046,18,-,-,-,-,-,-,-,-
23,Lomas de Zamora,526,18,-,-,-,-,-,-,-,-
24,Luján,-,-,-,-,-,-,-,-,-,-
25,Mar del Plata,1116,28,3173,488,2.685,105,-,-,-,-
26,Misiones,1170,44,-,-,-,-,-,-,-,-
27,Moreno,0,0,-,-,-,-,-,-,-,-
28,Nordeste,548,4,-,-,-,-,-,-,-,-
29,Noroeste de la PBA,-,-,-,-,-,-,-,-,-,-
30,Oeste,-,-,-,-,-,-,-,-,-,-
31,Patagonia Austral,105,4,182,50,132,12,-,-,-,-
32,Patagonia S. J. Bosco,272,8,-,-,-,-,-,-,-,-
33,Quilmes,-,-,-,-,-,-,-,-,-,-
34,Rosario,1128,44,6620,1.550,5.070,257,-,-,-,-
35,Río Cuarto,626,31,-,-,-,-,-,-,-,-
36,Río Negro,380,13,-,-,-,-,-,-,-,-
37,Salta,690,8,-,-,-,-,-,-,-,-
38,San Juan,1095,25,-,-,-,-,-,-,-,-
39,San Luis,10,3,1942,412,1.530,105,-,-,-,-
40,San Martín,269,22,-,-,-,-,-,-,-,-
41,Santiago del Estero,170,5,-,-,-,-,-,-,-,-
42,Sur,610,27,-,-,-,-,-,-,-,-
43,Tecnológica Nacional,282,31,-,-,-,-,-,-,-,-
44,Tierra del Fuego,-,-,-,-,-,-,-,-,-,-
45,Tres de Febrero,-,-,-,-,-,-,-,-,-,-
46,Tucumán,2370,21,5673,1.217,4.456,99,-,-,-,-
47,Villa María,208,6,-,-,-,-,-,-,-,-
48,Villa Mercedes,-,-,-,-,-,-,-,-,-,-
49,Total Institutos Universitarios,-,-,-,-,-,-,-,-,-,-
50,Aeronáutico,-,-,-,-,-,-,-,-,-,-
51,Instituto Univ. del Ejército,-,-,-,-,-,-,-,-,-,-
52,Gendarmería,-,-,-,-,-,-,-,-,-,-
53,IUNA,-,-,-,-,-,-,-,-,-,-
54,Naval,-,-,-,-,-,-,-,-,-,-
55,Policía Federal Argentina,-,-,-,-,-,-,-,-,-,-
56,Seguridad Marítima,-,-,-,-,-,-,-,-,-,-
57,Total Universidad Provincial,1075,16,5252,1.506,3.746,138,-,-,-,-
58,Autónoma de Entre Ríos,1075,16,5252,1.506,3.746,138,-,-,-,-
