,-,Rama,Rama,Rama,Rama,-,-,Ciencias Sociales,Ciencias Sociales,Ciencias Sociales,Ciencias Sociales,-,-,-,-,-,-,-,-
0,Institución,Total,Ciencias,Sociales,,-,-,Demografía,y,Geografía,,-,Derecho,,-,Economía,y,Administración,
1,-,EST,NI,RE,EGRE,-,-,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE
2,Total de las instituciones,530.396,108.343,422.053,34.937,-,-,19.282,5.189,14.093,806,137.759,25.230,112.529,11.498,237.138,47.682,189.456,12.223
3,Total Universidades Nacionales,515.331,104.124,411.207,33.142,-,-,18.491,4.938,13.553,778,136.718,25.189,111.529,11.392,231.144,45.875,185.269,11.321
4,Arturo Jauretche,1.936,943,993,-,-,-,-,-,-,-,-,-,-,-,1.081,540,541,-
5,Avellaneda,2.023,1.306,717,23,-,23,162,156,6,0,-,-,-,-,620,447,173,0
6,Buenos Aires,127.034,17.845,109.189,8.125,-,261,739,92,647,15,35.176,5.213,29.963,3.949,54.616,7.529,47.087,3.005
7,Catamarca,4.050,926,3.124,99,-,0,291,79,212,8,1.268,377,891,14,1.657,303,1.354,59
8,Centro de la PBA,5.251,929,4.322,242,-,0,595,160,435,12,840,195,645,53,2.537,336,2.201,134
9,Chaco Austral,696,275,421,0,-,-,-,-,-,-,24,0,24,0,672,275,397,0
10,Chilecito,1.380,217,1.163,22,-,0,170,0,170,4,624,63,561,9,493,132,361,9
11,Comahue,9.228,2.318,6.910,228,-,17,1.581,411,1.170,64,2.086,529,1.557,37,3.796,933,2.863,60
12,Cuyo,13.305,2.442,10.863,939,-,68,364,55,309,13,3.074,502,2.572,93,5.680,1.004,4.676,530
13,Córdoba,32.870,4.585,28.285,2.386,-,436,652,247,405,30,13.725,2.045,11.680,1.078,9.926,150,9.776,627
14,Entre Ríos,5.470,1.429,4.041,252,-,113,274,127,147,3,-,-,-,-,3.211,986,2.225,106
15,Formosa,3.402,1.001,2.401,108,-,-,716,167,549,13,-,-,-,-,2.686,834,1.852,95
16,Gral. Sarmiento,1.717,446,1.271,50,-,8,135,100,35,1,-,-,-,-,905,183,722,28
17,José C. Paz (1),1.700,1.700,...,-,-,-,-,-,-,-,887,887,...,-,279,279,...,-
18,Jujuy,4.999,1.257,3.742,72,-,18,-,-,-,-,-,-,-,-,3.219,827,2.392,38
19,La Matanza,23.862,3.564,20.298,1.530,-,162,-,-,-,-,4.130,734,3.396,162,13.103,2.035,11.068,802
20,La Pampa,2.727,633,2.094,147,-,1,209,55,154,6,1.142,287,855,56,1.231,233,998,84
21,La Plata,33.653,6.657,26.996,2.135,-,372,1.472,346,1.126,30,10.782,2.005,8.777,1.064,10.630,1.989,8.641,513
22,La Rioja,5.898,1.233,4.665,249,-,11,221,48,173,13,1.929,327,1.602,54,2.214,536,1.678,105
23,Lanús,4.688,1.018,3.670,173,-,0,1.466,258,1.208,93,-,-,-,-,833,181,652,23
24,Litoral,15.333,3.408,11.925,655,-,21,194,30,164,4,6.397,1.164,5.233,273,7.034,1.640,5.394,344
25,Lomas de Zamora,26.711,5.360,21.351,1.893,-,113,-,-,-,-,11.597,2.124,9.473,1.112,8.457,2.026,6.431,444
26,Luján,12.245,3.994,8.251,710,-,-,262,79,183,11,-,-,-,-,9.582,3.400,6.182,471
27,Mar del Plata,9.291,2.165,7.126,525,-,47,741,177,564,39,2.857,485,2.372,280,3.711,867,2.844,128
28,Misiones,9.801,2.974,6.827,308,-,32,983,397,586,24,-,-,-,-,4.701,1.224,3.477,173
29,Moreno,2.779,1.137,1.642,0,-,0,0,0,0,0,-,-,-,-,1.481,632,849,0
30,Nordeste,23.471,5.545,17.926,1.528,-,79,983,323,660,43,11.980,2.528,9.452,891,7.324,2.010,5.314,417
31,Noroeste de la PBA,3.215,752,2.463,124,-,-,-,-,-,-,749,160,589,30,2.466,592,1.874,94
32,Oeste,534,285,249,0,-,-,-,-,-,-,-,-,-,-,534,285,249,0
33,Patagonia Austral,2.492,956,1.536,26,-,0,418,169,249,13,-,-,-,-,1.269,424,845,13
34,Patagonia S. J. Bosco,7.659,1.830,5.829,189,-,4,528,114,414,39,2.383,629,1.754,71,3.846,842,3.004,61
35,Quilmes,13.629,3.030,10.599,401,-,30,1.065,231,834,81,-,-,-,-,10.196,2.120,8.076,228
36,Río Cuarto,5.046,1.151,3.895,210,-,17,164,26,138,17,1.313,306,1.007,49,2.869,656,2.213,114
37,Río Negro,2.680,1.189,1.491,59,-,0,314,134,180,3,431,232,199,27,1.218,538,680,20
38,Rosario,23.303,3.147,20.156,6.209,-,183,-,-,-,-,6.948,1.574,5.374,1.265,10.120,364,9.756,606
39,Salta,9.150,1.826,7.324,76,-,9,6,0,6,3,-,-,-,-,7.356,1.437,5.919,57
40,San Juan,8.489,1.468,7.021,268,-,19,1.019,139,880,39,1.876,310,1.566,35,3.407,613,2.794,134
41,San Luis,2.594,631,1.963,88,-,33,151,43,108,8,484,176,308,1,1.082,221,861,33
42,San Martín,6.664,1.933,4.731,614,-,82,613,250,363,39,-,-,-,-,4.637,1.211,3.426,471
43,Santiago del Estero,3.894,757,3.137,161,-,11,-,-,-,-,-,-,-,-,3.094,602,2.492,103
44,Sur,6.859,1.196,5.663,375,-,-,1.046,193,853,64,2.349,452,1.897,84,3.464,551,2.913,227
45,Tecnológica Nacional,3.528,1.168,2.360,515,-,-,419,135,284,40,-,-,-,-,3.109,1.033,2.076,475
46,Tierra del Fuego,372,372,-,-,-,-,26,26,-,-,-,-,-,-,208,208,-,-
47,Tres de Febrero,5.093,2.358,2.735,239,-,-,76,25,51,6,35,0,35,0,3.188,1.321,1.867,124
48,Tucumán,22.205,3.893,18.312,1.065,-,36,436,146,290,0,11.632,1.885,9.747,705,6.129,903,5.226,301
49,Villa María,2.354,824,1.530,124,-,6,-,-,-,-,-,-,-,-,1.240,390,850,65
50,Villa Mercedes,51,51,-,-,-,-,-,-,-,-,-,-,-,-,33,33,-,-
51,Total Institutos Universitarios,9.654,2.761,6.893,1.561,-,6,36,17,19,0,1.041,41,1.000,106,4.054,1.311,2.743,819
52,Aeronáutico,3.849,576,3.273,733,-,-,-,-,-,-,-,-,-,-,2.371,375,1.996,582
53,Instituto Univ. del Ejército,1.465,874,591,203,-,-,36,17,19,0,-,-,-,-,1.202,699,503,162
54,Gendarmería,1.254,421,833,187,-,6,-,-,-,-,-,-,-,-,119,49,70,13
55,IUNA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
56,Naval,427,179,248,62,-,-,-,-,-,-,-,-,-,-,282,179,103,12
57,Policía Federal Argentina,2.595,702,1.893,234,-,-,-,-,-,-,1.041,41,1.000,106,16,0,16,6
58,Seguridad Marítima,64,9,55,142,-,-,-,-,-,-,-,-,-,-,64,9,55,44
59,Total Universidad Provincial,5.411,1.458,3.953,234,-,46,755,234,521,28,-,-,-,-,1.940,496,1.444,83
60,Autónoma de Entre Ríos,5.411,1.458,3.953,234,-,46,755,234,521,28,-,-,-,-,1.940,496,1.444,83
