,Estudiantes,Nuevos,Reinscriptos,Egresados
Institución,(EST),Inscriptos (NI),(RI),(EGRE)
,Abs. %,Abs. %,Abs. %,Abs. %
Total de las Instituciones,393.132 100,"110.057 100,0",283.075 100,37.376 100
Total Universidades Privadas,"380.615 96,8","106.208 96,5","274.407 96,9","36.329 97,2"
Abierta Interamericana,"20.464 5,2","5.766 5,2","14.698 5,2","2.790 7,5"
Aconcagua,"7.053 1,8","1.642 1,5","5.411 1,9","673 1,8"
Adventista del Plata,"3.354 0,9","536 0,5","2.818 1,0","383 1,0"
Argentina de la Empresa,"26.767 6,8","6.768 6,1","19.999 7,1","3.092 8,3"
Argentina John F. Kennedy,"8.737 2,2","1.318 1,2","7.419 2,6","707 1,9"
Atlántida Argentina,"1.228 0,3","336 0,3","892 0,3","140 0,4"
Austral,"3.278 0,8","1014 0,9","2.264 0,8","366 1,0"
Belgrano,"12.972 3,3","2.884 2,6","10.088 3,6","611 1,6"
Blás Pascal,"9.189 2,3","3.470 3,2","5.719 2,0","1.221 3,3"
CAECE,"4.795 1,2","842 0,8","3.953 1,4","525 1,4"
Católica Argentina,"15.429 3,9","3.859 3,5","11.570 4,1","2.287 6,1"
Católica de Córdoba,"8.194 2,1","1.774 1,6","6.420 2,3","1.167 3,1"
Católica de Cuyo,"7.482 1,9","1.589 1,4","5.893 2,1","914 2,4"
Católica de La Plata,"8.643 2,2","1.791 1,6","6.852 2,4","533 1,4"
Católica de Salta,"25.650 6,5","6.058 5,5","19.592 6,9","1.542 4,1"
Católica de Santa Fe,"5.936 1,5","914 0,8","5.022 1,8","442 1,2"
Católica de Santiago del Estero,"7.156 1,8","1.678 1,5","5.478 1,9","373 1,0"
CEMA,"749 0,2","151 0,1","598 0,2","114 0,3"
Centro Educativo Latinoamericano,"3.976 1,0","811 0,7","3.165 1,1","373 1,0"
Champagnat,"2.846 0,7","328 0,3","2.518 0,9","267 0,7"
Ciencias Empresariales y Sociales,"14.551 3,7","4.396 4,0","10.155 3,6","1.076 2,9"
Cine,"1.312 0,3","416 0,4","896 0,3","100 0,3"
Concepción del Uruguay,"3.354 0,9","707 0,6","2.647 0,9","247 0,7"
Congreso,"2.423 0,6","682 0,6","1.741 0,6","179 0,5"
Cuenca del Plata,"6.871 1,7","1.610 1,5","5.261 1,9","504 1,3"
Empresarial Siglo 21,"49.949 12,7","21.791 19,8","28.158 9,9","2.720 7,3"
Este,"635 0,2","241 0,2","394 0,1","80 0,2"
FASTA,"8.141 2,1","2.584 2,3","5.557 2,0","482 1,3"
Favaloro,"1.502 0,4","465 0,4","1.037 0,4","263 0,7"
Flores,"4.369 1,1","1.172 1,1","3.197 1,1","401 1,1"
Gastón Dachary,"2.413 0,6","805 0,7","1608 0,6","94 0,3"
ISALUD,"3.817 1,0","1.469 1,3","2.348 0,8","417 1,1"
Juan Agustín Maza,"3.274 0,8","750 0,7","2.524 0,9","310 0,8"
Madres de Plaza de Mayo,"327 0,1","124 0,1","203 0,1","0 0,0"
Maimónides,"12.644 3,2","4.429 4,0","8.215 2,9","3.026 8,1"
Marina Mercante,"4.207 1,1","1.106 1,0","3.101 1,1","241 0,6"
Mendoza,"8.736 2,2","1.550 1,4","7.186 2,5","560 1,5"
Metropolitana,"399 0,1","399 0,4","0 0,0","0 0,0"
Morón,"16.572 4,2","4.675 4,2","11.897 4,2","1.619 4,3"
Museo Social Argentino,"3.050 0,8","823 0,7","2.227 0,8","447 1,2"
Norte Santo Tomás de Aquino,"6.490 1,7","1.382 1,3","5.108 1,8","571 1,5"
Palermo,"13.182 3,4","4.185 3,8","8.997 3,2","1.257 3,4"
Salvador,"25.443 6,5","5.987 5,4","19.456 6,9","2.798 7,5"
San Andrés,"1.014 0,3","248 0,2","766 0,3","198 0,5"
San Isidro,"114 0,0","114 0,1","0 0,0","0 0,0"
San Pablo -T,"755 0,2","210 0,2","545 0,19","27 0,1"
Torcuato Di Tella,"1.173 0,3","359 0,3","814 0,29","192 0,5"
Total Institutos Universitarios,"12.517 3,2","3.849 3,5","8.668 3,1","1.047 2,8"
CEMIC,"451 0,1","133 0,1","318 0,1","42 0,1"
Cs de la Salud de la Fundación Barceló,"4.825 1,2","1.580 1,4","3.245 1,1","371 1,0"
Escuela Argentina de Negocios,"1.247 0,3","456 0,4","791 0,3","115 0,3"
Escuela de Medicina del Hospital Italiano,"397 0,1","93 0,1","304 0,1","46 0,1"
Escuela Universitaria de Teología,"87 0,0","25 0,0","62 0,0","3 0,0"
ESEADE,"116 0,0","52 0,0","64 0,0","11 0,0"
Gran Rosario,"2.752 0,7","943 0,9","1.809 0,6","42 0,1"
ISEDET,"56 0,0","6 0,0","50 0,0","47 0,1"
Italiano de Rosario,"659 0,2","150 0,1","509 0,2","123 0,3"
ITBA,"1.851 0,5","335 0,3","1.516 0,5","247 0,7"
River Plate,"76 0,0","76 0,1",- -,- -
