"",,,,,,Egresados,,,,,,
Institución,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,Tasa promedio crecimiento anual
Total de las instituciones,59.758,63.499,64.215,62.636,62.388,65.581,69.452,70.857,73.442,73.483,80.343,"3,0"
Total Universidades Nacionales,57.627,62.109,62.567,60.060,60.018,62.468,66.653,68.342,70.398,70.299,76.923,"2,9"
Arturo Jauretche,-,-,-,-,,- -,-,-,-,-,-,-
Avellaneda,-,-,-,-,,- -,-,-,-,-,54,-
Buenos Aires,14.420,15.631,16.911,15.610,16.364,16.815,16.420,17.232,18.124,16.676,17.129,"1,7"
Catamarca,246,280,237,431,395,458,316,426,377,418,390,"4,7"
Centro de la PBA,786,422,503,462,417,598,519,662,823,629,655,"-1,8"
Chaco Austral,-,-,-,-,,- -,0,0,7,5,25,"89,0"
Chilecito,-,32,24,35,,29 41,26,43,60,75,103,"13,9"
Comahue,766,655,809,861,863,515,1.283,1.084,1.054,1.081,1.059,"3,3"
Córdoba,7.401,7.634,6.826,6.429,7.072,7.031,7.241,7.052,6.513,6.802,6.910,"-0,7"
Cuyo,2.294,2.595,2.330,2.436,2.320,2.327,2.223,2.310,2.348,2.231,2.361,"0,3"
Entre Ríos,941,1.260,1.073,733,744,748,1.126,997,762,794,1.237,"2,8"
Formosa,414,675,800,1.062,736,601,452,307,393,432,286,"-3,6"
Gral. Sarmiento,94,127,149,125,,80 94,280,322,274,227,210,"8,4"
José C. Paz (1),-,-,-,-,,- -,-,-,-,-,-,-
Jujuy,185,136,92,167,129,173,272,221,252,154,199,"0,7"
La Matanza,953,843,920,978,777,813,801,1.501,1.838,2.160,1.983,"7,6"
La Pampa,264,344,397,324,380,393,513,421,380,410,469,"5,9"
La Plata,4.030,4.097,4.184,3.939,4.178,4.005,4.734,5.569,5.870,6.007,6.094,"4,2"
La Rioja (3),428,445,567,397,452,377,624,665,905,805,633,"4,0"
Lanús,336,401,406,399,462,406,548,588,532,415,491,"3,9"
Litoral,1.050,1.692,1.298,1.329,1.370,1.660,1.596,1.849,1.833,1.890,2.155,"7,5"
Lomas de Zamora,2.365,2.654,3.082,3.095,2.765,2.732,2.329,2.538,2.711,2.521,2.515,"0,6"
Luján,939,994,1.024,957,851,789,860,824,937,926,888,"-0,6"
Mar del Plata,1.239,1.136,1.132,1.136,1.050,1.293,1.055,1.168,1.332,1.188,1.158,"-0,7"
Misiones,591,836,598,605,684,639,697,747,688,698,820,"3,3"
Moreno,-,-,-,-,,- -,-,-,-,-,5,-
Nordeste,2.621,3.103,3.088,2.825,2.877,2.606,3.032,2.919,2.919,2.858,3.087,"1,6"
Noroeste de la PBA,-,-,-,-,,- 7,31,58,102,167,179,"91,2"
Oeste,-,-,-,-,,- -,-,-,-,-,21,-
Patagonia Austral,165,174,165,109,,92 132,173,98,103,147,161,"-0,2"
Patagonia S. J. Bosco,417,351,453,369,412,380,517,420,422,387,394,"-0,6"
Quilmes,1.695,1.459,918,1.349,601,1.066,718,1.402,612,701,839,"-6,8"
Río Cuarto,1.018,957,828,846,886,923,889,1.052,853,969,909,"-1,1"
Río Negro,-,-,-,-,,- -,0,0,21,72,132,"150,7"
Rosario (2),3.552,3.710,3.999,3.984,3.765,5.447,6.877,4.910,6.052,6.124,10.016,"10,9"
Salta,382,430,540,345,427,267,133,651,733,605,509,"2,9"
San Juan,523,504,543,451,531,579,587,598,545,623,777,"4,0"
San Luis,413,470,435,611,641,552,630,532,601,511,583,"3,5"
San Martín,442,434,570,583,583,671,805,768,762,864,1.137,"9,9"
Santiago del Estero,601,991,498,222,534,518,802,765,733,989,1.310,"8,1"
Sur,723,954,1.005,1.019,852,997,1.000,1.123,1.113,1.075,1.101,"4,3"
Tecnológica Nacional,2.941,3.203,3.719,3.346,3.294,3.556,4.171,4.224,4.590,4.981,4.757,"4,9"
Tierra del Fuego,-,-,-,-,,- -,-,-,-,-,-,-
Tres de Febrero,50,159,183,211,144,110,268,242,251,233,490,"25,6"
Tucumán,2.236,2.242,2.182,2.181,2.134,2.007,1.966,1.895,1.791,2.252,2.452,"0,9"
Villa María,106,79,79,99,127,142,139,159,182,197,240,"8,5"
Villa Mercedes,-,-,-,-,,- -,-,-,-,-,-,-
Total Institutos Universitarios,2.131,1.220,1.478,2.021,1.518,2.120,2.002,1.781,2.337,2.538,2.619,"2,1"
Aeronáutico,337,313,352,389,512,919,752,615,672,872,977,"11,2"
Instituto Univ. del Ejército,218,278,264,240,258,482,277,302,264,221,281,"2,6"
Gendarmería,-,-,-,-,,- -,...,0,193,173,199,"1,5"
IUNA,1.341,162,205,843,330,225,433,178,194,182,156,"-19,4"
Naval,0,160,252,144,184,174,178,148,160,221,117,"-3,4"
Policía Federal Argentina,235,307,405,405,234,320,362,486,441,484,364,"4,5"
Seguridad Marítima,-,-,-,-,,- -,0,52,413,385,525,"116,1"
Total Universidad Provincial,-,170,170,555,852,993,797,734,707,646,801,"18,8"
Autónoma de Entre Ríos,-,170,170,555,852,993,797,734,707,646,801,"18,8"
