"",,Estudiantes,,Nuevos Inscriptos,,Reinscriptos,,,Egresados,
Institución,Total,Mujeres,Varones,Total Mujeres Varones,Total,Mujeres,Varones,Total,Mujeres,Varones
Total de las instituciones,1.437.611,826.768,610.843,315.593 181.559 134.034,1.122.018,645.209,476.809,80.343,49.261,31.082
Total Universidades Nacionales,1.388.587,797.826,590.761,301.841 173.691 128.150,1.086.746,624.135,462.611,76.923,47.658,29.265
Arturo Jauretche,7.824,4.854,2.970,3.982 2.530 1.452,3.842,2.324,1.518,-,-,-
Avellaneda,4.523,2.553,1.970,1.957 1.278 679,2.566,1.275,1.291,54,40,14
Buenos Aires,319.866,193.542,126.324,51.697 31.843 19.854,268.169,161.699,106.470,17.129,11.186,5.943
Catamarca,12.015,6.834,5.181,2.821 1.508 1.313,9.194,5.326,3.868,390,235,155
Centro de la PBA,13.554,6.887,6.667,2.666 1.411 1.255,10.888,5.476,5.412,655,319,336
Chaco Austral,3.161,1.780,1.381,1.098 603 495,2.063,1.177,886,25,15,10
Chilecito,3.308,2.120,1.188,595 376 219,2.713,1.744,969,103,83,20
Comahue,30.923,20.086,10.837,8.911 5.526 3.385,22.012,14.560,7.452,1.059,747,312
Córdoba,108.373,67.408,40.965,22.318 13.940 8.378,86.055,53.468,32.587,6.910,4.563,2.347
Cuyo,31.587,19.614,11.973,6.816 4.214 2.602,24.771,15.400,9.371,2.361,1.421,940
Entre Ríos,14.901,9.470,5.431,4.351 2.751 1.600,10.550,6.719,3.831,1.237,870,367
Formosa,11.418,7.277,4.141,3.505 2.136 1.369,7.913,5.141,2.772,286,192,94
Gral. Sarmiento,7.125,3.355,3.770,1.746 764 982,5.379,2.591,2.788,210,112,98
José C. Paz (1),3.090,2.002,1.088,3.090 2.002 1.088,,... ...,...,-,-,-
Jujuy,14.800,8.157,6.643,3.837 1.965 1.872,10.963,6.192,4.771,199,112,87
La Matanza,36.338,20.048,16.290,6.237 3.457 2.780,30.101,16.591,13.510,1.983,1.196,787
La Pampa,9.100,5.678,3.422,2.281 1.472 809,6.819,4.206,2.613,469,291,178
La Plata,109.803,61.144,48.659,21.374 11.661 9.713,88.429,49.483,38.946,6.094,3.915,2.179
La Rioja,18.589,11.242,7.347,4.878 2.885 1.993,13.711,8.357,5.354,633,383,250
Lanús,12.825,7.621,5.204,3.262 1.949 1.313,9.563,5.672,3.891,491,353,138
Litoral,44.268,25.259,19.009,9.937 5.806 4.131,34.331,19.453,14.878,2.155,1.347,808
Lomas de Zamora,34.434,19.773,14.661,7.512 4.131 3.381,26.922,15.642,11.280,2.515,1.421,1.094
Luján,18.339,11.867,6.472,5.519 3.579 1.940,12.820,8.288,4.532,888,642,246
Mar del Plata,23.184,14.238,8.946,4.932 2.809 2.123,18.252,11.429,6.823,1.158,726,432
Misiones,20.955,12.886,8.069,5.866 3.736 2.130,15.089,9.150,5.939,820,539,281
Moreno,3.668,2.228,1.440,1.474 923 551,2.194,1.305,889,5,3,2
Nordeste,50.403,28.136,22.267,11.540 6.420 5.120,38.863,21.716,17.147,3.087,1.863,1.224
Noroeste de la PBA,6.225,3.243,2.982,1.298 690 608,4.927,2.553,2.374,179,105,74
Oeste,1.657,1.050,607,738 457 281,919,593,326,21,12,9
Patagonia Austral,7.289,5.018,2.271,3.076 1.989 1.087,4.213,3.029,1.184,161,132,29
Patagonia S. J. Bosco,13.292,8.333,4.959,3.331 2.032 1.299,9.961,6.301,3.660,394,259,135
Quilmes,22.451,13.806,8.645,5.654 3.535 2.119,16.797,10.271,6.526,839,593,246
Río Cuarto,15.290,8.929,6.361,3.101 1.879 1.222,12.189,7.050,5.139,909,510,399
Río Negro,6.988,4.134,2.854,3.343 1.927 1.416,3.645,2.207,1.438,132,75,57
Rosario,74.234,45.247,28.987,15.143 9.096 6.047,59.091,36.151,22.940,10.016,6.326,3.690
Salta,28.015,16.172,11.843,5.956 3.267 2.689,22.059,12.905,9.154,509,310,199
San Juan,20.533,11.382,9.151,3.904 2.124 1.780,16.629,9.258,7.371,777,470,307
San Luis,13.554,8.404,5.150,3.508 2.077 1.431,10.046,6.327,3.719,583,407,176
San Martín,12.971,7.375,5.596,3.803 2.262 1.541,9.168,5.113,4.055,1.137,703,434
Santiago del Estero,16.160,10.967,5.193,3.776 2.389 1.387,12.384,8.578,3.806,1.310,1.092,218
Sur,18.279,10.402,7.877,3.513 1.974 1.539,14.766,8.428,6.338,1.101,655,446
Tecnológica Nacional,80.052,17.071,62.981,16.616 3.963 12.653,63.436,13.108,50.328,4.757,1.474,3.283
Tierra del Fuego,571,295,276,571 295 276,,- -,-,-,-,-
Tres de Febrero,12.451,6.390,6.061,5.703 2.956 2.747,6.748,3.434,3.314,490,299,191
Tucumán,63.524,39.517,24.007,11.399 7.055 4.344,52.125,32.462,19.663,2.452,1.508,944
Villa María,5.798,3.417,2.381,2.327 1.434 893,3.471,1.983,1.488,240,154,86
Villa Mercedes,879,615,264,879 615 264,,- -,-,-,-,-
Total Institutos Universitarios,28.967,15.725,13.242,7.955 4.160 3.795,21.012,11.565,9.447,2.619,1.057,1.562
Aeronáutico,5.616,2.673,2.943,889 385 504,4.727,2.288,2.439,977,508,469
Instituto Univ. del Ejército,1.876,269,1.607,985 148 837,891,121,770,281,32,249
Gendarmería,1.302,255,1.047,451 89 362,851,166,685,199,36,163
IUNA,14.725,10.129,4.596,3.865 2.788 1.077,10.860,7.341,3.519,156,130,26
Naval,804,157,647,259 64 195,545,93,452,117,21,96
Policía Federal Argentina,3.293,1.872,1.421,837 470 367,2.456,1.402,1.054,364,214,150
Seguridad Marítima,1.351,370,981,669 216 453,682,154,528,525,116,409
