,-,-,-,Total,-,-,-,-,-,Ciencias Básicas,Ciencias Básicas,-,-,-,-,Ciencias Humanas,Ciencias Humanas,-
0,Institución,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,,-
1,-,EST,NI,RE,-,EGRE,EST,EGRE,EST,NI,RE,EGRE,EST,EGRE,EST,NI,RE,EGRE
2,Total de las instituciones,1.437.611,315.593,1.122.018,-,80.343,382.160,18.183,52.730,12.670,40.060,2.690,198.758,14.249,265.098,65.735,199.363,10.282
3,Total Universidades Nacionales,1.388.587,301.841,1.086.746,-,76.923,376.795,17.335,51.592,12.320,39.272,2.648,196.801,13.959,239.905,58.825,181.080,9.837
4,Arturo Jauretche,7.824,3.982,3.842,-,-,2.044,-,207,94,113,-,3.637,0,-,-,-,-
5,Avellaneda,4.523,1.957,2.566,-,54,557,0,298,28,270,0,566,28,1.079,335,744,3
6,Buenos Aires,319.866,51.697,268.169,-,17.129,77.120,3.055,9.599,1.255,8.344,299,60.010,3.214,46.103,8.181,37.922,2.436
7,Catamarca,12.015,2.821,9.194,-,390,2.367,81,2.135,550,1.585,85,1.072,32,2.391,558,1.833,93
8,Centro de la PBA,13.554,2.666,10.888,-,655,3.300,199,833,182,651,24,2.034,130,2.136,622,1.514,60
9,Chaco Austral,3.161,1.098,2.063,-,25,1.524,6,576,168,408,19,365,0,-,-,-,-
10,Chilecito,3.308,-,595 2.713,-,103,755,8,182,32,150,1,387,19,604,170,434,53
11,Comahue,30.923,8.911,22.012,-,1.059,6.174,168,1.033,417,616,29,6.081,350,8.407,2.185,6.222,284
12,Córdoba,108.373,22.318,86.055,-,6.910,21.884,1.433,3.458,1.223,2.235,119,17.204,1.928,28.743,6.576,22.167,1.044
13,Cuyo,31.587,6.816,24.771,-,2.361,6.757,547,532,87,445,62,2.589,495,8.176,2.060,6.116,318
14,Entre Ríos,14.901,4.351,10.550,-,1.237,3.573,353,288,68,220,17,4.814,597,756,440,316,18
15,Formosa,11.418,3.505,7.913,-,286,1.269,44,1.578,499,1.079,20,2.734,89,2.435,711,1.724,25
16,Gral. Sarmiento,7.125,1.746,5.379,-,210,2.261,35,1.214,341,873,23,-,-,1.933,323,1.610,102
17,José C. Paz (1),3.090,3.090,-,...,-,236,-,-,-,-,-,384,-,770,770,...,-
18,Jujuy,14.800,3.837,10.963,-,199,4.662,73,373,92,281,9,1.366,21,3.400,928,2.472,24
19,La Matanza,36.338,6.237,30.101,-,1.983,5.845,252,194,23,171,5,2.410,57,4.027,620,3.407,139
20,La Pampa,9.100,2.281,6.819,-,469,1.709,85,1.097,279,818,49,1.069,121,2.498,816,1.682,67
21,La Plata,109.803,21.374,88.429,-,6.094,29.541,1.300,4.357,1.101,3.256,295,15.804,1.504,26.141,5.820,20.321,858
