;Universidad;Facultad;Domicilio
322;Instituto Universitario Aeronáutico;Escuela de Electrónica de Defensa;Bulnes esquina Guiraldes - Merlo - Buenos Aires 
264;"Instituto Universitario Nacional de Derechos Humanos ""Madres de Plaza de Mayo""";Departamento de Ciencias Sociales;25 Mayo 544 - Correo Central - Ciudad Autonoma de Buenos Aires 
263;"Instituto Universitario Nacional de Derechos Humanos ""Madres de Plaza de Mayo""";Departamento de Humanidades;25 Mayo 544 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
163;Instituto Universitario Nacional del Arte;Area Transdepartamental de Crítica del Arte;Bartolomé Mitre 1869 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
164;Instituto Universitario Nacional del Arte;Carreras de Folklore;Sanchez de Loria 443 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
165;Instituto Universitario Nacional del Arte;Carreras de Formación Docente;Bolívar 1674 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
166;Instituto Universitario Nacional del Arte;Departamento de Artes Audiovisuales;Rocamora 4141 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
162;Instituto Universitario Nacional del Arte;Departamento de Artes Dramáticas Antonio Cunill Cabanellas;French 3614 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
168;Instituto Universitario Nacional del Arte;Departamento de Artes Musicales y Sonoras Carlos Lopez Buchardo;Avda Cordoba 2445 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
169;Instituto Universitario Nacional del Arte;Departamento de Artes Visuales Prilidiano Pueyrredón;Bartolomé Mitre 1869 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
167;Instituto Universitario Nacional del Arte;Departamento de Artes del Movimiento Maria Ruanova;Sanchez de Loria 443 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
170;Instituto Universitario Nacional del Arte;Rectorado;Azcuénaga 1129 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
280;Instituto Universitario Naval;Unidad Académica Escuela Nacional de Nautica;Antartida Argentina 1535 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
281;Instituto Universitario Naval;Unidad Académica Escuela Naval Militar;Rio Santiago - Base Naval De Rio Santiago - Buenos Aires 
279;Instituto Universitario Naval;Unidad Académica Escuela de Ciencias del Mar;Av. Antartida Argentina 1201 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
304;Instituto Universitario de Gendarmería Nacional;Unidad Académica General Don Martín Miguel de Güemes;El Quebracho y el Yacaré S/N - Ciudad Evita - Buenos Aires 
