index,Universidad,Facultad,coords_o,coords_d,distance_km,ranking
888,Instituto Universitario de Seguridad Marítima,Departamento Académico Escuela de Oficiales,"(-34.579419, -58.532869999999996)","(-34.0940568, -59.0199532)",70.0547248356,24.5
888,Instituto Universitario de Seguridad Marítima,Departamento Académico Escuela de Suboficiales,"(-34.579419, -58.532869999999996)","(-34.0940568, -59.0199532)",70.0547248356,24.5
888,Universidad de Buenos Aires,Facultad de Ciencias Exactas y Naturales,"(-34.579419, -58.532869999999996)","(-34.54684, -58.43995)",9.26158321606,3.0
888,Universidad de Buenos Aires,Facultad de Farmacia y Bioquímica,"(-34.579419, -58.532869999999996)","(-34.597903, -58.397458400000005)",12.5911019172,7.0
888,Universidad de Buenos Aires,Facultad de Ingeniería,"(-34.579419, -58.532869999999996)","(-34.68477, -58.44631)",14.1274003192,8.5
888,Universidad Nacional Arturo Jauretche,Instituto de Ingeniería y Agronomía,"(-34.579419, -58.532869999999996)","(-34.796310600000005, -58.27863860000001)",33.4907561514,19.0
888,Universidad Nacional de Avellaneda,Departamento de Tecnología y Administración,"(-34.579419, -58.532869999999996)","(-34.6628049, -58.372224800000005)",17.3956351881,11.0
888,Universidad Nacional de General Sarmiento,Instituto de Industria,"(-34.579419, -58.532869999999996)","(-34.5208625, -58.7003265)",16.6862815492,10.0
888,Universidad Nacional de Hurlingham,Instituto de Biotecnología,"(-34.579419, -58.532869999999996)","(-34.6164566, -58.6342231)",10.1647652782,4.0
888,Universidad Nacional de Lanús,Departamento de Desarrollo Productivo y Tecnológico,"(-34.579419, -58.532869999999996)","(-34.7342286, -58.3901502)",21.5892316897,13.0
888,Universidad Nacional de La Plata,Facultad de Ciencias Exactas,"(-34.579419, -58.532869999999996)","(-34.8478691, -58.082593599999996)",50.8747275815,20.0
888,Universidad Nacional de La Plata,Facultad de Ingeniería,"(-34.579419, -58.532869999999996)","(-34.8995898, -57.9386198)",64.9845971746,22.0
