cue,anexo,nombre_estab,lat,lng,municipio,Provincia,nivel,sector de gestión,Matricula est 5to
608785,0,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº1 ""MANUEL BELGRANO""",-34.907574,-57.96381,La Plata,Buenos Aires,Nivel Secundario,Estatal,107.0
608785,0,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº1 ""MANUEL BELGRANO""",-34.907574,-57.96381,La Plata,Buenos Aires,Nivel Medio,Estatal,11.0
606415,0,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº2 ""ESPAÑA""",-34.925977,-57.946744,La Plata,Buenos Aires,Nivel Secundario,Estatal,105.0
606415,0,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº2 ""ESPAÑA""",-34.925977,-57.946744,La Plata,Buenos Aires,Nivel Medio,Estatal,35.0
606415,0,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº2 ""ESPAÑA""",-34.925977,-57.946744,La Plata,Buenos Aires,Plan Fines (Trayectos y Deudores),Estatal,1.0
608907,0,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº3 ""NACIONES UNIDAS""",-34.953944,-57.972944,La Plata,Buenos Aires,Nivel Secundario,Estatal,150.0
608907,0,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº3 ""NACIONES UNIDAS""",-34.953944,-57.972944,La Plata,Buenos Aires,Nivel Medio,Estatal,46.0
608910,0,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº4 ""19 DE NOVIEMBRE""",-34.869318,-58.048655,La Plata,Buenos Aires,Nivel Secundario,Estatal,21.0
608910,0,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº4 ""19 DE NOVIEMBRE""",-34.869318,-58.048655,La Plata,Buenos Aires,Nivel Medio,Estatal,10.0
608853,0,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº5 ""PERITO FRANCISCO MORENO""",-34.892841,-57.962711,La Plata,Buenos Aires,Nivel Secundario,Estatal,40.0
608853,0,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº5 ""PERITO FRANCISCO MORENO""",-34.892841,-57.962711,La Plata,Buenos Aires,Nivel Medio,Estatal,7.0
608875,0,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº7 ""REPUBLICA ARGENTINA""",-34.88776,-58.125743,La Plata,Buenos Aires,Nivel Secundario,Estatal,53.0
608875,0,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº7 ""REPUBLICA ARGENTINA""",-34.88776,-58.125743,La Plata,Buenos Aires,Nivel Medio,Estatal,20.0
608875,0,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº7 ""REPUBLICA ARGENTINA""",-34.88776,-58.125743,La Plata,Buenos Aires,Formación Profesional,Estatal,6.0
608884,0,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº8 ""PEDRO BENOIT""",-34.915826,-57.953888,La Plata,Buenos Aires,Nivel Secundario,Estatal,76.0
608884,0,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº8 ""PEDRO BENOIT""",-34.915826,-57.953888,La Plata,Buenos Aires,Nivel Medio,Estatal,28.0
608884,0,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº8 ""PEDRO BENOIT""",-34.915826,-57.953888,La Plata,Buenos Aires,Plan Fines (Trayectos y Deudores),Estatal,19.0
606222,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº9,-34.999515,-58.047517,La Plata,Buenos Aires,Nivel Secundario,Estatal,80.0
606222,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº9,-34.999515,-58.047517,La Plata,Buenos Aires,Nivel Medio,Estatal,22.0
607842,0,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº11 ""JUAN MANTOVANI""",-34.911834,-57.993092,La Plata,Buenos Aires,Nivel Secundario,Estatal,17.0
607842,0,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº11 ""JUAN MANTOVANI""",-34.911834,-57.993092,La Plata,Buenos Aires,Nivel Medio,Estatal,28.0
611383,0,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº12 ""MANUEL B GONNET""",-34.878049,-58.022178,La Plata,Buenos Aires,Nivel Secundario,Estatal,106.0
611383,0,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº12 ""MANUEL B GONNET""",-34.878049,-58.022178,La Plata,Buenos Aires,Nivel Medio,Estatal,31.0
608909,0,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº13 ""SOLDADOS DE MALVINAS""",-34.92832,-57.966444,La Plata,Buenos Aires,Nivel Secundario,Estatal,94.0
608890,0,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº14 ""CARLOS VERGARA""",-34.900571,-57.962428,La Plata,Buenos Aires,Nivel Secundario,Estatal,68.0
608890,0,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº14 ""CARLOS VERGARA""",-34.900571,-57.962428,La Plata,Buenos Aires,Nivel Medio,Estatal,24.0
602918,0,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº15 ""LUIS F. LELOIR""",-34.874742,-58.057613,La Plata,Buenos Aires,Nivel Secundario,Estatal,81.0
611387,0,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº16 ""HIPOLITO YRIGOYEN""",-34.969537,-57.983227,La Plata,Buenos Aires,Nivel Secundario,Estatal,82.0
611387,0,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº16 ""HIPOLITO YRIGOYEN""",-34.969537,-57.983227,La Plata,Buenos Aires,Nivel Medio,Estatal,29.0
608541,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº17,-34.920991,-57.923538,La Plata,Buenos Aires,Nivel Secundario,Estatal,62.0
608541,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº17,-34.920991,-57.923538,La Plata,Buenos Aires,Nivel Medio,Estatal,13.0
608986,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº22,-34.919933,-58.015273,La Plata,Buenos Aires,Nivel Secundario,Estatal,124.0
608892,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº26,-34.919961,-57.935765,La Plata,Buenos Aires,Nivel Secundario,Estatal,86.0
608846,0,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº27 ""GRACIELA PERNAS MARTINO""",-34.912278,-57.975258,La Plata,Buenos Aires,Nivel Secundario,Estatal,72.0
608846,0,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº27 ""GRACIELA PERNAS MARTINO""",-34.912278,-57.975258,La Plata,Buenos Aires,Nivel Medio,Estatal,37.0
606261,0,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº28 ""DANTE L. SEGUNDO PEREIRA""",-34.853349,-58.074543,La Plata,Buenos Aires,Nivel Secundario,Estatal,33.0
606261,0,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº28 ""DANTE L. SEGUNDO PEREIRA""",-34.853349,-58.074543,La Plata,Buenos Aires,Nivel Medio,Estatal,16.0
