clave provincial,cue,anexo,sede/axo/ext,region educativa,area,nombre establecimiento,dirección calle,dirección nro.,partido,característica telefónica,teléfono,código postal,email,paraje,localidad,distrito,tipo organización,ubicación,sector de gestión,dependencia,subvención,modalidad,nivel,matrícula RA2017,latitud,longitud,Matricula est 5to
0001MS0001,608785,0,SEDE,1,INTERIOR,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº1 ""MANUEL BELGRANO""",38 Y 9,696,La Plata,221,483-5014,1900,MEDIA1LAPLATA@GMAIL.COM,centro,LA PLATA,La Plata,ESCUELA SECUNDARIA,Urbano,Estatal,Oficial,Oficial,Educación Común,Nivel Secundario,800.0,-34.907574,-57.96381,107.0
0001MS0001,608785,0,SEDE,1,INTERIOR,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº1 ""MANUEL BELGRANO""",38 Y 9,696,La Plata,221,483-5014,1900,MEDIA1LAPLATA@GMAIL.COM,centro,LA PLATA,La Plata,ESCUELA SECUNDARIA,Urbano,Estatal,Oficial,Oficial,Modalidad de Jóvenes y Adultos,Nivel Medio,84.0,-34.907574,-57.96381,11.0
0001MS0002,606415,0,SEDE,1,INTERIOR,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº2 ""ESPAÑA""",PLAZA MAXIMO PAZ E/ 60 Y 61,199,La Plata,221,451-1600,1900,SILVAROIGN@YAHOO.COM.AR,,LA PLATA,La Plata,ESCUELA SECUNDARIA,Urbano,Estatal,Oficial,Oficial,Educación Común,Nivel Secundario,786.0,-34.925977,-57.946744,105.0
0001MS0002,606415,0,SEDE,1,INTERIOR,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº2 ""ESPAÑA""",PLAZA MAXIMO PAZ E/ 60 Y 61,199,La Plata,221,451-1600,1900,SILVAROIGN@YAHOO.COM.AR,,LA PLATA,La Plata,ESCUELA SECUNDARIA,Urbano,Estatal,Oficial,Oficial,Modalidad de Jóvenes y Adultos,Nivel Medio,260.0,-34.925977,-57.946744,35.0
0001MS0002,606415,0,SEDE,1,INTERIOR,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº2 ""ESPAÑA""",PLAZA MAXIMO PAZ E/ 60 Y 61,199,La Plata,221,451-1600,1900,SILVAROIGN@YAHOO.COM.AR,,LA PLATA,La Plata,ESCUELA SECUNDARIA,Urbano,Estatal,Oficial,Oficial,Modalidad de Jóvenes y Adultos,Plan Fines (Trayectos y Deudores),4.0,-34.925977,-57.946744,1.0
0001MS0003,608907,0,SEDE,1,INTERIOR,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº3 ""NACIONES UNIDAS""",140 E/ 62 Y 63,S/N,La Plata,221,450-5014,1900,EEMN3@HOTMAIL.COM,,LOS HORNOS,La Plata,ESCUELA SECUNDARIA,Urbano,Estatal,Oficial,Oficial,Educación Común,Nivel Secundario,1117.0,-34.953944,-57.972944,150.0
0001MS0003,608907,0,SEDE,1,INTERIOR,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº3 ""NACIONES UNIDAS""",140 E/ 62 Y 63,S/N,La Plata,221,450-5014,1900,EEMN3@HOTMAIL.COM,,LOS HORNOS,La Plata,ESCUELA SECUNDARIA,Urbano,Estatal,Oficial,Oficial,Modalidad de Jóvenes y Adultos,Nivel Medio,343.0,-34.953944,-57.972944,46.0
0001MS0004,608910,0,SEDE,1,INTERIOR,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº4 ""19 DE NOVIEMBRE""",14 A ESQ. 467,S/N,La Plata,221,480-0163,1896,FERNA1972@YAHOO.COM.AR,,City Bell,La Plata,ESCUELA SECUNDARIA,Urbano,Estatal,Oficial,Oficial,Educación Común,Nivel Secundario,154.0,-34.869318,-58.048655,21.0
0001MS0004,608910,0,SEDE,1,INTERIOR,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº4 ""19 DE NOVIEMBRE""",14 A ESQ. 467,S/N,La Plata,221,480-0163,1896,FERNA1972@YAHOO.COM.AR,,City Bell,La Plata,ESCUELA SECUNDARIA,Urbano,Estatal,Oficial,Oficial,Modalidad de Jóvenes y Adultos,Nivel Medio,72.0,-34.869318,-58.048655,10.0
0001MS0005,608853,0,SEDE,1,INTERIOR,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº5 ""PERITO FRANCISCO MORENO""",531 E/ 115 Y 115 BIS,S/N,La Plata,221,423-3088,1900,LAPERITOMORENO@YAHOO.COM.AR,,TOLOSA,La Plata,ESCUELA SECUNDARIA,Urbano,Estatal,Oficial,Oficial,Educación Común,Nivel Secundario,299.0,-34.892841,-57.962711,40.0
