long,lat,objectid,cui,cueanexo,cue,anexo,sector,dom_edific,dom_establ,nombre_estab,nombre_abrev,telefono,email,codpost,pagina_web,nivmod,nivelmodal,depfun,de,comunas,barrio,codigo_postal,codigo_postal_argentino,areaprogra,estado,point_x,point_y,nivel,tipest,tipoesta
-58.5127015868307,-34.600585579493,1,200794,20046500,200465,0,1,Mercedes 4002,Mercedes 4002,Centro Educativo de Nivel Secundario N° 65,CENS 65,4501-9054,deaa_cens65_de1@bue.edu.ar,C1419,http://www.buenosaires.gob.ar/educacion/estudiantes/adultos/secundaria,SecAdu,Nivel Secundario de Jóvenes y Adultos,Dir de Educación del Adulto y del Adolescente,17.0,11.0,VILLA DEVOTO,1419,C1419BGJ,12 - HOSP ZUBIZARRETA,1,95468.3835,103180.9301,Secundario de Jóvenes y Adultos,Centro Educativo de Nivel Secundario,CENS (Centro Educativo de Nivel Secundario)
-58.4095720793038,-34.6275450762093,2,202368,20146700,201467,0,2,Constitución 3156,Constitución 3156,Inst. 9 de Julio,I 9 de Julio,4931-9299,institutoprivado9dejulio@yahoo.com.ar,C1254,http://www.buenosaires.gob.ar/areas/educacion/gestion_privada/index.php?menu_id=19676,SecCom,Nivel Secundario Común,Dir Gral de Educación de Gestión Privada,6.0,3.0,SAN CRISTOBAL,1254,C1254ABB,08 - HOSP RAMOS MEJIA,1,104926.8283,100190.0717,Secundario Común,Instituto Educativo Incorporado a la Enseñanza Oficial,IEIEO (Instituto Educativo Incorporado a la Enseñanza Oficial)
-58.4701920657306,-34.5656755865268,3,202343,20055900,200559,0,1,Blanco Encalada 3479,Blanco Encalada 3471,Escuela Infantil N° 06/10° Madre Eufrasia Iaconis,EI 06/10,4545-3354,ei6_10@yahoo.com.ar,C1430,http://www.buenosaires.gob.ar/educacion/estudiantes/inicial?menu_id=9759,IniCom,Nivel Inicial Común,Dir de Educación Inicial,10.0,13.0,BELGRANO,1430,C1430BNC,07 - HOSP PIROVANO,1,99367.474,107054.7092,Inicial Común,Escuela Infantil,EI (Escuela Infantil)
-58.4003567653869,-34.5848468758467,4,200063,20290700,202907,0,1,Avda. Gral. Las Heras 2670,Avda. Gral. Las Heras 2670,Escuela Infantil N° 08/01°,EI 08/01,4804-9003,dei_ei8de1@bue.edu.ar / escuelainfantil8de1@gmail.com,C1425,http://www.buenosaires.gob.ar/educacion/estudiantes/inicial?menu_id=9759,IniCom,Nivel Inicial Común,Dir de Educación Inicial,1.0,2.0,RECOLETA,1425,C1425ASQ,04 - HOSP FERNANDEZ,1,105774.7986,104926.2436,Inicial Común,Escuela Infantil,EI (Escuela Infantil)
-58.42654700069,-34.6033788550838,5,200084,20147803,201478,3,1,Obrero Roberto Núñez 4355,Obrero Roberto Núñez 4355,Jardín de Infantes Nucleado C (EPCjc 11/02°),JIN C-03 (11),4867-2749,jinccde02@yahoo.com.ar,C1429,http://www.buenosaires.gob.ar/educacion/estudiantes/inicial?menu_id=9759,IniCom,Nivel Inicial Común,Dir de Educación Inicial,2.0,5.0,ALMAGRO,1182,C1182AAA,03 - HOSP DURAND,1,103371.1911,102871.6052,Inicial Común,Jardín de Infantes Nucleado,JIN (Jardín de Infantes Nucleado)
-58.4679537700269,-34.6208161377736,6,200588,20022003,200220,3,1,Gral. José Gervasio de Artigas 878,Gral. José Gervasio de Artigas 878,Jardín de Infantes Nucleado A (EPCjc 05/12°),JIN A-03 (05),4611-5436,jinade12@yahoo.com.ar,C1404,http://www.buenosaires.gob.ar/educacion/estudiantes/inicial?menu_id=9759,IniCom,Nivel Inicial Común,Dir de Educación Inicial,12.0,7.0,FLORES,,,01 - HOSP ALVAREZ,1,99573.1961,100937.8086,Inicial Común,Jardín de Infantes Nucleado,JIN (Jardín de Infantes Nucleado)
-58.4792055548214,-34.6161634167228,7,200602,20147003,201470,3,1,Remedios de Escalada de San Martín 2986,Remedios de Escalada de San Martín 2986,Jardín de Infantes Nucleado B (EPCjs 25/12°),JIN B-03 (25),4586-8766,jinbde12@gmail.com,C1416,http://www.buenosaires.gob.ar/educacion/estudiantes/inicial?menu_id=9759,IniCom,Nivel Inicial Común,Dir de Educación Inicial,12.0,11.0,VILLA SANTA RITA,1416,C1416CWT,01 - HOSP ALVAREZ,1,98541.2412,101453.8403,Inicial Común,Jardín de Infantes Nucleado,JIN (Jardín de Infantes Nucleado)
-58.4542924673157,-34.5922954562596,8,200662,20165802,201658,2,1,Avda. Jorge Newbery 4436,Avda. Jorge Newbery 4436,Jardín de Infantes Nucleado B (EPCjc 08/14°),JIN B-02 (08),4854-7859,jdei_jinb1_@bue.edu.ar,C1427,http://www.buenosaires.gob.ar/educacion/estudiantes/inicial?menu_id=9759,IniCom,Nivel Inicial Común,Dir de Educación Inicial,14.0,15.0,CHACARITA,1427,C1427EGX,10 - HOSP TORNU,1,100826.3005,104101.6842,Inicial Común,Jardín de Infantes Nucleado,JIN (Jardín de Infantes Nucleado)
-58.4874410874275,-34.6278086583641,9,200839,20161600,201616,0,1,Morón 4149,Morón 4149,Colegio N° 18 Dr. Alberto Larroque,Col 18,4671-3819,dem_col18_de18@bue.edu.ar,C1407,http://www.buenosaires.gob.ar/educacion/estudiantes/secundario/contacto?menu_id=18231,SecCom,Nivel Secundario Común,Dir de Educación Media,18.0,10.0,FLORESTA,1407,C1407ENQ,01 - HOSP ALVAREZ,1,97786.2578,100161.8367,Secundario Común,Colegio,COL (Colegio)
-58.4528025584817,-34.5416441888152,10,200523,20239800,202398,0,1,Avda. Miguel Sanchez 1050,Avda. Miguel Sanchez 1050,Esc. de Educación Media N° 03/10°,EEM 03/10,4702-2028,dem_eem3_de10@bue.edu.ar,C1429,http://www.buenosaires.gob.ar/educacion/estudiantes/secundario/contacto?menu_id=18231,SecCom,Nivel Secundario Común,Dir de Educación Media,10.0,13.0,NUÑEZ,,,07 - HOSP PIROVANO,1,100963.5334,109720.5509,Secundario Común,Escuela de Educación Media,EEM (Escuela de Educación Media)
-58.4784363545438,-34.5912662690564,11,200674,20240100,202401,0,1,Avda. de los Constituyentes 3100,Avda. de los Constituyentes 3100,Jardín de Infantes Integral N° 04/14,JII 04/14,4521-8026,dei_jii4_de14@bue.edu.ar,C1427,http://www.buenosaires.gob.ar/educacion/estudiantes/inicial?menu_id=9759,IniCom,Nivel Inicial Común,Dir de Educación Inicial,14.0,15.0,AGRONOMIA,1427,C1427BLO,10 - HOSP TORNU,1,98611.3556,104215.7747,Inicial Común,Jardín de Infantes Integral,JII (Jardín de Infantes Integral)
-58.5019842585195,-34.6607775494006,12,200928,20240200,202402,0,1,Avda. Lisandro de la Torre 2288,Avda. Lisandro de la Torre 2288,Jardín de Infantes Integral N° 07/20°,JII 07/20,4686-0248,jii7de20@gmail.com,C1440,http://www.buenosaires.gob.ar/educacion/estudiantes/inicial?menu_id=9759,IniCom,Nivel Inicial Común,Dir de Educación Inicial,20.0,9.0,MATADEROS,1440,C1440ECX,09 - HOSP SANTOJANNI,1,96454.0807,96504.0403,Inicial Común,Jardín de Infantes Integral,JII (Jardín de Infantes Integral)
-58.3905971334064,-34.5984063340249,13,200057,20240300,202403,0,1,Paraguay 1657,Paraguay 1657,Jardín Maternal N° 06/01 Jardín del Palacio,JM 06/01,4815-9239,dei_jm6_de1@bue.edu.ar,C1062,http://www.buenosaires.gob.ar/educacion/estudiantes/inicial?menu_id=9759,IniCom,Nivel Inicial Común,Dir de Educación Inicial,1.0,2.0,RECOLETA,1062,C1062ACA,04 - HOSP FERNANDEZ,1,106669.1393,103421.4542,Inicial Común,Jardín Maternal,JM (Jardín Maternal)
-58.4246113191213,-34.6016548116584,14,202150,20275500,202755,0,2,Humahuaca 4242,Humahuaca 4242,Jardín de Infantes La Vaca de Humahuaca,JI La Vaca de Humahuaca,4862-4226,jardinlavacadehumahuaca@hotmail.com,C1192,http://www.buenosaires.gob.ar/areas/educacion/gestion_privada/index.php?menu_id=19676,OSECom,Otros Servicios Educativos de la modalidad Común,GO Registro de Institutos Educativos Asistenciales,2.0,5.0,ALMAGRO,1192,C1192ACH,03 - HOSP DURAND,1,103548.8165,103062.7937,Otros Servicios Educativos de la modalidad Común,Instituto Educativo Asistencial no Incorporado a la Enseñanza Oficial,RIEA (Instituto Educativo Asistencial no Incorporado a la Enseñanza Oficial)
-58.497364203403,-34.6491238226729,15,200631,20240500,202405,0,1,Bragado 5350,Bragado 5350,Centro Educativo de Nivel Secundario N° 82,CENS 82,4682-0185,deaa_cens82_de13@bue.edu.ar,C1440,http://www.buenosaires.gob.ar/educacion/estudiantes/adultos/secundaria,SecAdu,Nivel Secundario de Jóvenes y Adultos,Dir de Educación del Adulto y del Adolescente,13.0,9.0,MATADEROS,1440,C1440ACJ,09 - HOSP SANTOJANNI,1,96877.1254,97796.9932,Secundario de Jóvenes y Adultos,Centro Educativo de Nivel Secundario,CENS (Centro Educativo de Nivel Secundario)
-58.5066768333949,-34.569254585532,16,200756,20240600,202406,0,1,Medeyros 3555,Medeyros 3555,Centro Educativo de Nivel Secundario N° 83,CENS 83,4572-4049,deaa_cens83_de16@bue.edu.ar,C1431,http://www.buenosaires.gob.ar/educacion/estudiantes/adultos/secundaria,SecAdu,Nivel Secundario de Jóvenes y Adultos,Dir de Educación del Adulto y del Adolescente,16.0,12.0,VILLA URQUIZA,1431,C1431EWC,07 - HOSP PIROVANO,1,96019.517,106656.8281,Secundario de Jóvenes y Adultos,Centro Educativo de Nivel Secundario,CENS (Centro Educativo de Nivel Secundario)
-58.389502672739,-34.6168578111961,17,200123,20206300,202063,0,1,Chile 1626,Chile 1626,Escuela Infantil N° 02/03° Mane Bernardo,EI 02/03,4381-7261,mane.bernardo@gmail.com,C1100,http://www.buenosaires.gob.ar/educacion/estudiantes/inicial?menu_id=9759,IniCom,Nivel Inicial Común,Dir de Educación Inicial,3.0,1.0,MONTSERRAT,1100,C1100AAD,08 - HOSP RAMOS MEJIA,1,106768.0511,101374.4965,Inicial Común,Escuela Infantil,EI (Escuela Infantil)
-58.4581715541145,-34.6175391298145,18,202152,20275900,202759,0,2,Felipe Vallese 1717,Felipe Vallese 1717,Escuela Infantil Pequeña Aldea,EI Pequeña Aldea,4632-7880,pequealdea@yahoo.com.ar,C1406,http://www.buenosaires.gob.ar/areas/educacion/gestion_privada/index.php?menu_id=19676,OSECom,Otros Servicios Educativos de la modalidad Común,GO Registro de Institutos Educativos Asistenciales,7.0,7.0,FLORES,1406,C1406FSG,01 - HOSP ALVAREZ,1,100470.3127,101301.3421,Otros Servicios Educativos de la modalidad Común,Instituto Educativo Asistencial no Incorporado a la Enseñanza Oficial,RIEA (Instituto Educativo Asistencial no Incorporado a la Enseñanza Oficial)
-58.4099333582122,-34.6210862925472,19,200334,20049100,200491,0,1,Uriburu 876,Uriburu 876,Esc. Primaria Común N° 15 Maestro Jorge Luis Chinetti,EPjc 15,4931-9843/4932-6210,dep_epc15_de6@bue.edu.ar,C1225,http://www.buenosaires.gob.ar/educacion/estudiantes/primario?menu_id=9760,PriCom,Nivel Primario Común,Dir de Educación Primaria,6.0,3.0,SAN CRISTOBAL,1225,C1225ACB,08 - HOSP RAMOS MEJIA,1,104894.074,100906.5859,Primario Común,Escuela de Jornada Completa,JC (Escuela de Jornada Completa)
-58.4720827828095,-34.6654628899305,20,200633,20195300,201953,0,1,Avda. Castañares 4689,Avda. Castañares 4689,Centro Educativo Complementario de Educación Plástica N° 13 Martín Malharro,CEC Plástica 13,4601-8010,dep_cecep13_de13@bue.edu.ar,C1439,http://www.buenosaires.gob.ar/educacion/estudiantes/primario?menu_id=9760,OSECom,Otros Servicios Educativos de la modalidad Común,Dir de Educación Primaria,13.0,8.0,VILLA LUGANO,1439,C1439AKE,06 - HOSP PIÑERO,1,99194.9967,95984.9369,Otros Servicios Educativos de la modalidad Común,Centro Educativo Complementario de Educación Plástica,CECEP (Centro Educativo Complementario de Educación Plástica)
-58.4713394217515,-34.5852096531035,21,200659,20156900,201569,0,1,Girardot 1946,Girardot 1946,Jardín de Infantes Nucleado C (EPCjc 03/14°) [Sede],JIN C-00 (03),4524-2947,jincde1405@gmail.com,C1427,http://www.buenosaires.gob.ar/educacion/estudiantes/inicial?menu_id=9759,IniCom,Nivel Inicial Común,Dir de Educación Inicial,14.0,15.0,VILLA ORTUZAR,1427,C1427AKP,10 - HOSP TORNU,1,99262.369,104887.7321,Inicial Común,Jardín de Infantes Nucleado,JIN (Jardín de Infantes Nucleado)
-58.3919019218517,-34.6174975099441,22,200139,20240000,202400,0,1,Avda. Entre Ríos 757,Avda. Entre Ríos 757,Esc. de Educación Media N° 01/03° E.Reingreso,EEM 01/03 R,4382-9141,dem_reing1_de3@bue.edu.ar,C1080,http://www.buenosaires.gob.ar/educacion/estudiantes/secundario/contacto?menu_id=18231,SecAdu,Nivel Secundario de Jóvenes y Adultos,Dir de Educación Media,3.0,3.0,BALVANERA,1080,C1080ABB,08 - HOSP RAMOS MEJIA,1,106547.9622,101303.6895,Secundario de Jóvenes y Adultos,Escuela de Reingreso,ER (Escuela de Reingreso)
-58.4767417272699,-34.5948813339901,23,200687,20015200,200152,0,1,Avda. Chorroarín 305,Avda. Chorroarín 305,Esc. de Educacion Media N° 01/14° Federico García Lorca,EEM 01/14,4521-6567,dem_eem1_de14e@bue.edu.ar,C1427,http://www.buenosaires.gob.ar/educacion/estudiantes/secundario/contacto?menu_id=18231,SecCom,Nivel Secundario Común,Dir de Educación Media,14.0,15.0,PATERNAL,1427,C1427CXA,10 - HOSP TORNU,1,98766.8761,103814.7672,Secundario Común,Escuela de Educación Media,EEM (Escuela de Educación Media)
-58.4413805915779,-34.5680369733852,24,201425,20097700,200977,0,2,Olleros 2110,Olleros 2110,Inst. Privado Colegio Master,I Priv Col Master,4772-2481,mastercollege@mastercollege.esc.edu.ar,C1426,http://www.buenosaires.gob.ar/areas/educacion/gestion_privada/index.php?menu_id=19676,IniCom - PriCom - SecCom,"Nivel Inicial, Primario y Secundario Común",Dir Gral de Educación de Gestión Privada,9.0,14.0,PALERMO,1426,C1426CRN,07 - HOSP PIROVANO,1,102011.3866,106792.5733,"Inicial, Primario y Secundario Común",Instituto Educativo Incorporado a la Enseñanza Oficial,IEIEO (Instituto Educativo Incorporado a la Enseñanza Oficial)
-58.4332743520668,-34.5904898659286,25,202612,20185000,201850,0,2,Serrano 1320,Serrano 1320,Inst. San Gregorio,I San Gregorio,4772-3755 / 4776-3972,info@saintgregoryschool.com,C1414,http://www.buenosaires.gob.ar/areas/educacion/gestion_privada/index.php?menu_id=19676,IniCom - PriCom,Nivel Inicial y Primario Común,Dir Gral de Educación de Gestión Privada,9.0,14.0,PALERMO,1414,C1414DFB,04 - HOSP FERNANDEZ,1,102754.532,104301.6225,Inicial y Primario Común,Instituto Educativo Incorporado a la Enseñanza Oficial,IEIEO (Instituto Educativo Incorporado a la Enseñanza Oficial)
-58.471471723972,-34.5506371444019,26,201545,20175600,201756,0,2,Avda. Crisólogo Larralde 2767,Avda. Crisólogo Larralde 2767,Inst. R. P. Hansen,I R P Hansen,4702-8630/4703-3051,primaria@institutohansen.com.ar,C1429,http://www.buenosaires.gob.ar/areas/educacion/gestion_privada/index.php?menu_id=19676,IniCom - PriCom,Nivel Inicial y Primario Común,Dir Gral de Educación de Gestión Privada,10.0,12.0,SAAVEDRA,1429,C1429BTH,07 - HOSP PIROVANO,1,99249.8976,108722.9515,Inicial y Primario Común,Instituto Educativo Incorporado a la Enseñanza Oficial,IEIEO (Instituto Educativo Incorporado a la Enseñanza Oficial)
-58.4729170759833,-34.6237184832826,27,201805,20039800,200398,0,2,Avda. Nazca 750,Avda. Nazca 750,Escuela Integral Maimonides,Esc Int Maimonides,4613-7900,primariamaimonides@agudatdodim.org,C1406,http://www.buenosaires.gob.ar/areas/educacion/gestion_privada/index.php?menu_id=19676,IniCom - PriCom,Nivel Inicial y Primario Común,Dir Gral de Educación de Gestión Privada,12.0,7.0,FLORES,1406,C1406AJT,01 - HOSP ALVAREZ,1,99118.0575,100615.8059,Inicial y Primario Común,Instituto Educativo Incorporado a la Enseñanza Oficial,IEIEO (Instituto Educativo Incorporado a la Enseñanza Oficial)
-58.494145370569,-34.576485268934,28,201676,20118600,201186,0,2,Cullen 5690,Franklin D. Roosevelt 5678,Inst. Tomás Devoto,I Tomás Devoto,4571-2019/4573-3897,devotoegb@fibertel.com.ar/hotmail.com,C1431,http://www.buenosaires.gob.ar/areas/educacion/gestion_privada/index.php?menu_id=19676,IniCom - PriCom - SecCom,"Nivel Inicial, Primario y Secundario Común",Dir Gral de Educación de Gestión Privada,16.0,12.0,VILLA URQUIZA,1431,C1431BZR,07 - HOSP PIROVANO,1,97169.7034,105855.1379,"Inicial, Primario y Secundario Común",Instituto Educativo Incorporado a la Enseñanza Oficial,IEIEO (Instituto Educativo Incorporado a la Enseñanza Oficial)
-58.4935434008281,-34.6009406997622,29,201700,20019800,200198,0,2,Helguera 3071,Helguera 3071,Inst. Schiller,I Schiller,4501-5929/0293,secundaria@institutoschiller.edu.ar,C1417,http://www.buenosaires.gob.ar/areas/educacion/gestion_privada/index.php?menu_id=19676,IniCom - PriCom - SecCom,"Nivel Inicial, Primario y Secundario Común",Dir Gral de Educación de Gestión Privada,17.0,11.0,VILLA DEL PARQUE,1417,C1417CRA,12 - HOSP ZUBIZARRETA,1,97225.7668,103142.2395,"Inicial, Primario y Secundario Común",Instituto Educativo Incorporado a la Enseñanza Oficial,IEIEO (Instituto Educativo Incorporado a la Enseñanza Oficial)
