cue,anexo,nombre_estab,lat,lng,municipio,Provincia,nivel,sector de gestión,Matricula est 5to,coords,zona_id
608785,0,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº1 ""MANUEL BELGRANO""",-34.907574,-57.96381,La Plata,Buenos Aires,Nivel Secundario,Estatal,107.0,"(-34.907574, -57.963809999999995)",S000682
608785,0,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº1 ""MANUEL BELGRANO""",-34.907574,-57.96381,La Plata,Buenos Aires,Nivel Medio,Estatal,11.0,"(-34.907574, -57.963809999999995)",S000682
606415,0,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº2 ""ESPAÑA""",-34.925977,-57.946744,La Plata,Buenos Aires,Nivel Secundario,Estatal,105.0,"(-34.925977, -57.946743999999995)",S000683
606415,0,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº2 ""ESPAÑA""",-34.925977,-57.946744,La Plata,Buenos Aires,Nivel Medio,Estatal,35.0,"(-34.925977, -57.946743999999995)",S000683
606415,0,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº2 ""ESPAÑA""",-34.925977,-57.946744,La Plata,Buenos Aires,Plan Fines (Trayectos y Deudores),Estatal,1.0,"(-34.925977, -57.946743999999995)",S000683
608907,0,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº3 ""NACIONES UNIDAS""",-34.953944,-57.972944,La Plata,Buenos Aires,Nivel Secundario,Estatal,150.0,"(-34.953944, -57.97294399999999)",S000684
608907,0,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº3 ""NACIONES UNIDAS""",-34.953944,-57.972944,La Plata,Buenos Aires,Nivel Medio,Estatal,46.0,"(-34.953944, -57.97294399999999)",S000684
608910,0,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº4 ""19 DE NOVIEMBRE""",-34.869318,-58.048655,La Plata,Buenos Aires,Nivel Secundario,Estatal,21.0,"(-34.869318, -58.048655000000004)",S000685
608910,0,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº4 ""19 DE NOVIEMBRE""",-34.869318,-58.048655,La Plata,Buenos Aires,Nivel Medio,Estatal,10.0,"(-34.869318, -58.048655000000004)",S000685
608853,0,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº5 ""PERITO FRANCISCO MORENO""",-34.892841,-57.962711,La Plata,Buenos Aires,Nivel Secundario,Estatal,40.0,"(-34.892841, -57.962711)",S000208
608853,0,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº5 ""PERITO FRANCISCO MORENO""",-34.892841,-57.962711,La Plata,Buenos Aires,Nivel Medio,Estatal,7.0,"(-34.892841, -57.962711)",S000208
608875,0,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº7 ""REPUBLICA ARGENTINA""",-34.88776,-58.125743,La Plata,Buenos Aires,Nivel Secundario,Estatal,53.0,"(-34.88776, -58.12574300000001)",S000209
608875,0,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº7 ""REPUBLICA ARGENTINA""",-34.88776,-58.125743,La Plata,Buenos Aires,Nivel Medio,Estatal,20.0,"(-34.88776, -58.12574300000001)",S000209
608875,0,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº7 ""REPUBLICA ARGENTINA""",-34.88776,-58.125743,La Plata,Buenos Aires,Formación Profesional,Estatal,6.0,"(-34.88776, -58.12574300000001)",S000209
608884,0,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº8 ""PEDRO BENOIT""",-34.915826,-57.953888,La Plata,Buenos Aires,Nivel Secundario,Estatal,76.0,"(-34.915826, -57.953888)",S000686
608884,0,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº8 ""PEDRO BENOIT""",-34.915826,-57.953888,La Plata,Buenos Aires,Nivel Medio,Estatal,28.0,"(-34.915826, -57.953888)",S000686
608884,0,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº8 ""PEDRO BENOIT""",-34.915826,-57.953888,La Plata,Buenos Aires,Plan Fines (Trayectos y Deudores),Estatal,19.0,"(-34.915826, -57.953888)",S000686
606222,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº9,-34.999515,-58.047517,La Plata,Buenos Aires,Nivel Secundario,Estatal,80.0,"(-34.999515, -58.047517000000006)",S000687
606222,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº9,-34.999515,-58.047517,La Plata,Buenos Aires,Nivel Medio,Estatal,22.0,"(-34.999515, -58.047517000000006)",S000687
607842,0,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº11 ""JUAN MANTOVANI""",-34.911834,-57.993092,La Plata,Buenos Aires,Nivel Secundario,Estatal,17.0,"(-34.911834000000006, -57.993092000000004)",S000210
607842,0,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº11 ""JUAN MANTOVANI""",-34.911834,-57.993092,La Plata,Buenos Aires,Nivel Medio,Estatal,28.0,"(-34.911834000000006, -57.993092000000004)",S000210
611383,0,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº12 ""MANUEL B GONNET""",-34.878049,-58.022178,La Plata,Buenos Aires,Nivel Secundario,Estatal,106.0,"(-34.878049, -58.022178000000004)",S000688
611383,0,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº12 ""MANUEL B GONNET""",-34.878049,-58.022178,La Plata,Buenos Aires,Nivel Medio,Estatal,31.0,"(-34.878049, -58.022178000000004)",S000688
608909,0,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº13 ""SOLDADOS DE MALVINAS""",-34.92832,-57.966444,La Plata,Buenos Aires,Nivel Secundario,Estatal,94.0,"(-34.92832, -57.966443999999996)",S000051
608890,0,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº14 ""CARLOS VERGARA""",-34.900571,-57.962428,La Plata,Buenos Aires,Nivel Secundario,Estatal,68.0,"(-34.900571, -57.962428)",S000094
608890,0,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº14 ""CARLOS VERGARA""",-34.900571,-57.962428,La Plata,Buenos Aires,Nivel Medio,Estatal,24.0,"(-34.900571, -57.962428)",S000094
602918,0,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº15 ""LUIS F. LELOIR""",-34.874742,-58.057613,La Plata,Buenos Aires,Nivel Secundario,Estatal,81.0,"(-34.874742, -58.057613)",S000211
611387,0,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº16 ""HIPOLITO YRIGOYEN""",-34.969537,-57.983227,La Plata,Buenos Aires,Nivel Secundario,Estatal,82.0,"(-34.969537, -57.983227)",S000689
