,Universidad,Facultad,Título,Tipo de Título,Duración,Condiciones de Ingreso,Domicilio,Teléfono,Web,Mail,Disciplina,Provincia,Ámbito
0,"Instituto Universitario del Ejército ""Mayor Francisco Romero""",Unidad Académica Escuela Superior Técnica,Técnico en Geomática,Otros Pregrados,3 Años,Exámen de Ingreso,Av Cabildo 15 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,(0011) 47793300,www.ingenieriaest.iese.edu.ar ,esting@iese.edu.ar,Demografía y Geografía,Ciudad Autonoma de Buenos Aires,Público
1,"Instituto Universitario del Ejército ""Mayor Francisco Romero""",Unidad Académica Escuela Superior Técnica,Técnico en Geomática,Otros Pregrados,3 Años,Exámen de Ingreso,Av Cabildo 15 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,(0011) 47793300,www.ingenieriaest.iese.edu.ar ,esting@iese.edu.ar,Demografía y Geografía,Ciudad Autonoma de Buenos Aires,Público
2,Universidad Abierta Interamericana,Facultad de Turismo y Hospitalidad,Guía Universitario en Turismo,Otros Pregrados,3 Años,Asistencia y Aprobación a Curso de Ingreso o Nivelación,Chacabuco 90 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,(0011) 43427788,www.uai.edu.ar ,contacto@uai.edu.ar,Demografía y Geografía,Ciudad Autonoma de Buenos Aires,Privado
3,Universidad Abierta Interamericana,Facultad de Turismo y Hospitalidad,Guía Universitario en Turismo,Otros Pregrados,3 Años,Asistencia y Aprobación a Curso de Ingreso o Nivelación,Chacabuco 90 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,(0011) 43427788,www.uai.edu.ar ,contacto@uai.edu.ar,Demografía y Geografía,Ciudad Autonoma de Buenos Aires,Privado
4,Universidad Abierta Interamericana,Facultad de Turismo y Hospitalidad,Licenciado en Hotelería,Grado,4 Años,Asistencia y Aprobación a Curso de Ingreso o Nivelación,Chacabuco 90 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,(0011) 43427788,www.uai.edu.ar ,contacto@uai.edu.ar,Demografía y Geografía,Ciudad Autonoma de Buenos Aires,Privado
5,Universidad Abierta Interamericana,Facultad de Turismo y Hospitalidad,Licenciado en Hotelería,Grado,4 Años,Asistencia y Aprobación a Curso de Ingreso o Nivelación,Chacabuco 90 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,(0011) 43427788,www.uai.edu.ar ,contacto@uai.edu.ar,Demografía y Geografía,Ciudad Autonoma de Buenos Aires,Privado
6,Universidad Abierta Interamericana,Facultad de Turismo y Hospitalidad,Licenciado en Turismo,Grado,4 Años,Asistencia y Aprobación a Curso de Ingreso o Nivelación,Chacabuco 90 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,(0011) 43427788,www.uai.edu.ar ,contacto@uai.edu.ar,Demografía y Geografía,Ciudad Autonoma de Buenos Aires,Privado
7,Universidad Abierta Interamericana,Facultad de Turismo y Hospitalidad,Licenciado en Turismo,Grado,4 Años,Asistencia y Aprobación a Curso de Ingreso o Nivelación,Chacabuco 90 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,(0011) 43427788,www.uai.edu.ar ,contacto@uai.edu.ar,Demografía y Geografía,Ciudad Autonoma de Buenos Aires,Privado
8,Universidad Abierta Interamericana,Facultad de Turismo y Hospitalidad,Técnico Universitario en Hotelería,Título Intermedio,3 Años,Asistencia y Aprobación a Curso de Ingreso o Nivelación,Chacabuco 90 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,(0011) 43427788,www.uai.edu.ar ,contacto@uai.edu.ar,Demografía y Geografía,Ciudad Autonoma de Buenos Aires,Privado
9,Universidad Abierta Interamericana,Facultad de Turismo y Hospitalidad,Técnico Universitario en Hotelería,Título Intermedio,3 Años,Asistencia y Aprobación a Curso de Ingreso o Nivelación,Chacabuco 90 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,(0011) 43427788,www.uai.edu.ar ,contacto@uai.edu.ar,Demografía y Geografía,Ciudad Autonoma de Buenos Aires,Privado
10,Universidad Abierta Interamericana,Facultad de Turismo y Hospitalidad,Técnico Universitario en Turismo,Título Intermedio,3 Años,Asistencia y Aprobación a Curso de Ingreso o Nivelación,Chacabuco 90 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,(0011) 43427788,www.uai.edu.ar ,contacto@uai.edu.ar,Demografía y Geografía,Ciudad Autonoma de Buenos Aires,Privado
11,Universidad Abierta Interamericana,Facultad de Turismo y Hospitalidad,Técnico Universitario en Turismo,Título Intermedio,3 Años,Asistencia y Aprobación a Curso de Ingreso o Nivelación,Chacabuco 90 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,(0011) 43427788,www.uai.edu.ar ,contacto@uai.edu.ar,Demografía y Geografía,Ciudad Autonoma de Buenos Aires,Privado
12,Universidad Abierta Interamericana,Facultad de Turismo y Hospitalidad - Rosario,Guía Universitario en Turismo,Otros Pregrados,3 Años,Asistencia y Aprobación a Curso de Ingreso o Nivelación,Av.Pellegrini 1816 - Rosario - Santa Fé ,(00341) 4408010,www.uai.edu.ar ,uairosario@uai.edu.ar,Demografía y Geografía,Santa Fé,Privado
13,Universidad Abierta Interamericana,Facultad de Turismo y Hospitalidad - Rosario,Guía Universitario en Turismo,Otros Pregrados,3 Años,Asistencia y Aprobación a Curso de Ingreso o Nivelación,Av.Pellegrini 1816 - Rosario - Santa Fé ,(00341) 4408010,www.uai.edu.ar ,uairosario@uai.edu.ar,Demografía y Geografía,Santa Fé,Privado
14,Universidad Abierta Interamericana,Facultad de Turismo y Hospitalidad - Rosario,Licenciado en Hotelería,Grado,4 Años,Asistencia y Aprobación a Curso de Ingreso o Nivelación,Av.Pellegrini 1816 - Rosario - Santa Fé ,(00341) 4408010,www.uai.edu.ar ,uairosario@uai.edu.ar,Demografía y Geografía,Santa Fé,Privado
15,Universidad Abierta Interamericana,Facultad de Turismo y Hospitalidad - Rosario,Licenciado en Hotelería,Grado,4 Años,Asistencia y Aprobación a Curso de Ingreso o Nivelación,Av.Pellegrini 1816 - Rosario - Santa Fé ,(00341) 4408010,www.uai.edu.ar ,uairosario@uai.edu.ar,Demografía y Geografía,Santa Fé,Privado
16,Universidad Abierta Interamericana,Facultad de Turismo y Hospitalidad - Rosario,Licenciado en Turismo,Grado,4 Años,Asistencia y Aprobación a Curso de Ingreso o Nivelación,Av.Pellegrini 1816 - Rosario - Santa Fé ,(00341) 4408010,www.uai.edu.ar ,uairosario@uai.edu.ar,Demografía y Geografía,Santa Fé,Privado
