Condiciones de Ingreso;Disciplina;Domicilio;Duración;Estrategica;Facultad;Mail;Provincia;Teléfono;Tipo de Título;Título;Universidad;Web;existe_1988;existe_2003;Ámbito
Exámen de Ingreso;Demografía y Geografía;Av Cabildo 15 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ;3 Años;True;Unidad Académica Escuela Superior Técnica;esting@iese.edu.ar;Ciudad Autonoma de Buenos Aires;(0011) 47793300;Otros Pregrados;Técnico en Geomática;"Instituto Universitario del Ejército ""Mayor Francisco Romero""";www.ingenieriaest.iese.edu.ar ;True;True;Público
Exámen de Ingreso;Demografía y Geografía;Av Cabildo 15 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ;3 Años;True;Unidad Académica Escuela Superior Técnica;esting@iese.edu.ar;Ciudad Autonoma de Buenos Aires;(0011) 47793300;Otros Pregrados;Técnico en Geomática;"Instituto Universitario del Ejército ""Mayor Francisco Romero""";www.ingenieriaest.iese.edu.ar ;True;True;Público
Asistencia y Aprobación a Curso de Ingreso o Nivelación;Demografía y Geografía;Chacabuco 90 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ;3 Años;False;Facultad de Turismo y Hospitalidad;contacto@uai.edu.ar;Ciudad Autonoma de Buenos Aires;(0011) 43427788;Otros Pregrados;Guía Universitario en Turismo;Universidad Abierta Interamericana;www.uai.edu.ar ;;;Privado
Asistencia y Aprobación a Curso de Ingreso o Nivelación;Demografía y Geografía;Chacabuco 90 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ;3 Años;False;Facultad de Turismo y Hospitalidad;contacto@uai.edu.ar;Ciudad Autonoma de Buenos Aires;(0011) 43427788;Otros Pregrados;Guía Universitario en Turismo;Universidad Abierta Interamericana;www.uai.edu.ar ;;;Privado
Asistencia y Aprobación a Curso de Ingreso o Nivelación;Demografía y Geografía;Chacabuco 90 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ;4 Años;False;Facultad de Turismo y Hospitalidad;contacto@uai.edu.ar;Ciudad Autonoma de Buenos Aires;(0011) 43427788;Grado;Licenciado en Hotelería;Universidad Abierta Interamericana;www.uai.edu.ar ;;;Privado
Asistencia y Aprobación a Curso de Ingreso o Nivelación;Demografía y Geografía;Chacabuco 90 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ;4 Años;False;Facultad de Turismo y Hospitalidad;contacto@uai.edu.ar;Ciudad Autonoma de Buenos Aires;(0011) 43427788;Grado;Licenciado en Hotelería;Universidad Abierta Interamericana;www.uai.edu.ar ;;;Privado
Asistencia y Aprobación a Curso de Ingreso o Nivelación;Demografía y Geografía;Chacabuco 90 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ;4 Años;False;Facultad de Turismo y Hospitalidad;contacto@uai.edu.ar;Ciudad Autonoma de Buenos Aires;(0011) 43427788;Grado;Licenciado en Turismo;Universidad Abierta Interamericana;www.uai.edu.ar ;;;Privado
Asistencia y Aprobación a Curso de Ingreso o Nivelación;Demografía y Geografía;Chacabuco 90 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ;4 Años;False;Facultad de Turismo y Hospitalidad;contacto@uai.edu.ar;Ciudad Autonoma de Buenos Aires;(0011) 43427788;Grado;Licenciado en Turismo;Universidad Abierta Interamericana;www.uai.edu.ar ;;;Privado
Asistencia y Aprobación a Curso de Ingreso o Nivelación;Demografía y Geografía;Chacabuco 90 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ;3 Años;False;Facultad de Turismo y Hospitalidad;contacto@uai.edu.ar;Ciudad Autonoma de Buenos Aires;(0011) 43427788;Título Intermedio;Técnico Universitario en Hotelería;Universidad Abierta Interamericana;www.uai.edu.ar ;;;Privado
Asistencia y Aprobación a Curso de Ingreso o Nivelación;Demografía y Geografía;Chacabuco 90 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ;3 Años;False;Facultad de Turismo y Hospitalidad;contacto@uai.edu.ar;Ciudad Autonoma de Buenos Aires;(0011) 43427788;Título Intermedio;Técnico Universitario en Hotelería;Universidad Abierta Interamericana;www.uai.edu.ar ;;;Privado
