Universidad,Facultad,Direccion
Facultad Latinoamericana de Ciencias Sociales,Facultad Latinoamericana de Ciencias Sociales,Dirección: Ayacucho 555 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Instituto Tecnológico de Buenos Aires,Departamento de Petróleo,Dirección: Av.Eduardo Madero 399 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Instituto Tecnológico de Buenos Aires,Departamento de Posgrado,Dirección: 25 de mayo 444 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Instituto Universitario Aeronáutico,Instituto de Inteligencia de las Fuerzas Armadas,Dirección: Cabildo 381 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Instituto Universitario Aeronáutico,Instituto Nacional de Derecho Aeronáutico y Espacial,Dirección: Viamonte 153 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Instituto Universitario CEMIC,Unidad Académica Escuela de Medicina,Dirección: Av. E. Galván 4102 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Instituto Universitario CEMIC,Unidad Académica Instituto de Investigaciones,Dirección: Av. E. Galván 4102 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Instituto Universitario de Ciencias de la Salud de la Fundación Barceló,Facultad de Medicina,Dirección: Las Heras 2191 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Instituto Universitario de la Policía Federal Argentina,Escuela de Cadetes Comisario General Juan Ángel Pirker,Dirección: Corvalan 3698 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Instituto Universitario de Salud Mental de la Asociación Psicoanalítica de Buenos Aires,Área Cultura,Dirección: Maure 1850 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Instituto Universitario de Salud Mental de la Asociación Psicoanalítica de Buenos Aires,Área Psicoanálisis,Dirección: Maure 1850 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Instituto Universitario de Salud Mental de la Asociación Psicoanalítica de Buenos Aires,Área Psicopatología,Dirección: Maure 1850 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Instituto Universitario de Seguridad Marítima,Departamento Académico Escuela de Oficiales,Dirección: Cro. Gral. Belgrano 302 - Zarate - Buenos Aires 
"Instituto Universitario del Ejército ""Mayor Francisco Romero""",Unidad Académica Escuela Superior de Guerra,Dirección: Av Luis María Campos 480 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Instituto Universitario de Seguridad Marítima,Departamento Académico Escuela de Suboficiales,Dirección: Cro. Gral. Belgrano 302 - Zarate - Buenos Aires 
Instituto Universitario Escuela Argentina de Negocios,Unidad Académica Provincia de Buenos Aires - Sede Martínez,Dirección: Av. Santa Fe 2162 - Martinez - Buenos Aires 
Instituto Universitario Escuela de Medicina del Hospital Italiano,Instituto Universitario Escuela de Medicina del Hospital Italiano - UA,Dirección: Potosi 4240 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Instituto Universitario Escuela Superior de Economía y Administración de Empresas,Sede Central,Dirección: Uriarte 2472 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Instituto Universitario Nacional del Arte,Carreras de Formación Docente,Dirección: Bolívar 1674 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Instituto Universitario Naval,Unidad Académica Escuela de Ciencias del Mar,Dirección: Av. Antartida Argentina 1201 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Instituto Universitario Naval,Unidad Académica Escuela Nacional de Nautica,Dirección: Antartida Argentina 1535 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Instituto Universitario River Plate,Departamento de Economia y Administracion del Deporte,Dirección: Figueroa Alcorta 7597 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Instituto Universitario River Plate,Departamento de Educacion y Deporte,Dirección: Figueroa Alcorta 7597 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Pontificia Universidad Católica Argentina Santa María de los Buenos Aires,Facultad de Teología,Dirección: Concordia 4422 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Pontificia Universidad Católica Argentina Santa María de los Buenos Aires,Facultad de Artes y Ciencias Musicales,Dirección: Av. Alicia Moreau de Justo 1500 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Pontificia Universidad Católica Argentina Santa María de los Buenos Aires,Facultad de Ciencias Médicas,Dirección: Av. Alicia Moreau de Justo 1600 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Pontificia Universidad Católica Argentina Santa María de los Buenos Aires,Facultad de Ciencias Sociales,Dirección: Av. Alicia Moreau de Justo 1500 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Pontificia Universidad Católica Argentina Santa María de los Buenos Aires,Facultad de Derecho,Dirección: Av. Alicia Moreau de Justo 1400 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Pontificia Universidad Católica Argentina Santa María de los Buenos Aires,Facultad de Psicología y Psicopedagogía,Dirección: Av. Alicia Moreau de Justo 1500 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
