Domicilio,Facultad,Municipio,Pais,Provincia,Universidad,index,lat,lng,Ámbito,coords_d,zona_id
Av Cabildo 15 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,Unidad Académica Escuela Superior Técnica,Ciudad de Buenos Aires,ARG,Ciudad Autonoma De Buenos Aires,"Instituto Universitario del Ejército ""Mayor Francisco Romero""",0,-34.57476,-58.43563,Público,"(-34.57476, -58.43563)",20
Av Luis María Campos 480 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,Unidad Académica Escuela Superior de Guerra,Ciudad de Buenos Aires,ARG,Ciudad Autonoma De Buenos Aires,"Instituto Universitario del Ejército ""Mayor Francisco Romero""",1938,-34.5721833,-58.4338789,Público,"(-34.5721833, -58.433878899999996)",33
Av Matienzo y Ruta 201 - El Palomar - Buenos Aires ,Unidad Académica Colegio Militar de la Nación,Morón,ARG,Buenos Aires,"Instituto Universitario del Ejército ""Mayor Francisco Romero""",2265,-34.60934,-58.59185,Público,"(-34.60934, -58.59185)",34
Av. San Martín 4453 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,Facultad de Agronomía,Ciudad de Buenos Aires,ARG,Ciudad Autonoma De Buenos Aires,Universidad de Buenos Aires,118,-34.59807,-58.48238,Público,"(-34.59807, -58.482380000000006)",35
Puán 480 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,Facultad de Filosofía y Letras,Ciudad de Buenos Aires,ARG,Ciudad Autonoma De Buenos Aires,Universidad de Buenos Aires,120,-34.62831,-58.4467,Público,"(-34.62831, -58.4467)",36
Intendente Güiraldes 2160 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,Facultad de Ciencias Exactas y Naturales,Ciudad de Buenos Aires,ARG,Ciudad Autonoma De Buenos Aires,Universidad de Buenos Aires,442,-34.54684,-58.43995,Público,"(-34.54684, -58.43995)",21
Intendente Güiraldes 2160 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,Facultad de Arquitectura Diseño y Urbanismo,Ciudad de Buenos Aires,ARG,Ciudad Autonoma De Buenos Aires,Universidad de Buenos Aires,442,-34.54684,-58.43995,Público,"(-34.54684, -58.43995)",21
Hipólito Irigoyen 3238 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,Facultad de Psicología,Ciudad de Buenos Aires,ARG,Ciudad Autonoma De Buenos Aires,Universidad de Buenos Aires,845,-34.6727,-58.50476,Público,"(-34.6727, -58.50476)",37
Chorroarín 280 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,Facultad de Ciencias Veterinarias,Ciudad de Buenos Aires,ARG,Ciudad Autonoma De Buenos Aires,Universidad de Buenos Aires,1430,-34.5962099,-58.4775,Público,"(-34.5962099, -58.4775)",38
Junín 954 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,Facultad de Farmacia y Bioquímica,Ciudad de Buenos Aires,ARG,Ciudad Autonoma De Buenos Aires,Universidad de Buenos Aires,1431,-34.597903,-58.3974584,Público,"(-34.597903, -58.397458400000005)",0
Marcelo T. de Alvear 2230 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,Facultad de Ciencias Sociales,Ciudad de Buenos Aires,ARG,Ciudad Autonoma De Buenos Aires,Universidad de Buenos Aires,1693,-34.59698,-58.3995,Público,"(-34.59698, -58.3995)",0
Av.Pte.F.Alcorta 2263 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,Facultad de Derecho,Ciudad de Buenos Aires,ARG,Ciudad Autonoma De Buenos Aires,Universidad de Buenos Aires,2102,-34.5828209,-58.394269,Público,"(-34.582820899999994, -58.394268999999994)",39
Av. Córdoba 2122 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,Facultad de Ciencias Económicas,Ciudad de Buenos Aires,ARG,Ciudad Autonoma De Buenos Aires,Universidad de Buenos Aires,2540,-34.5997737,-58.3975359,Público,"(-34.5997737, -58.397535899999994)",0
Paseo Colón 850 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,Facultad de Ingeniería,Ciudad de Buenos Aires,ARG,Ciudad Autonoma De Buenos Aires,Universidad de Buenos Aires,3986,-34.6175111,-58.3700019,Público,"(-34.6175111, -58.3700019)",40
Paraguay 2155 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,Facultad de Medicina,Ciudad de Buenos Aires,ARG,Ciudad Autonoma De Buenos Aires,Universidad de Buenos Aires,5319,-34.5984986,-58.3983601,Público,"(-34.598498600000006, -58.398360100000005)",0
MarceloT.de Alvear 2142 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,Facultad de Odontología,Ciudad de Buenos Aires,ARG,Ciudad Autonoma De Buenos Aires,Universidad de Buenos Aires,5375,-34.597186,-58.3981163,Público,"(-34.597186, -58.39811629999999)",0
Av Cabildo 65 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,Facultad del Ejército,Ciudad de Buenos Aires,ARG,Ciudad Autonoma De Buenos Aires,Universidad de la Defensa Nacional,140,-34.57426,-58.43662,Público,"(-34.574259999999995, -58.43662)",20
Maipú 262 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,Facultad de la Armada,Ciudad de Buenos Aires,ARG,Ciudad Autonoma De Buenos Aires,Universidad de la Defensa Nacional,1900,-34.6051698,-58.376576,Público,"(-34.6051698, -58.376576)",11
Maipú 262 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,Facultad de la Fuerza Aérea,Ciudad de Buenos Aires,ARG,Ciudad Autonoma De Buenos Aires,Universidad de la Defensa Nacional,1900,-34.6051698,-58.376576,Público,"(-34.6051698, -58.376576)",11
España 350 - Avellaneda - Buenos Aires ,Departamento de Ambiente y Turismo,Avellaneda,ARG,Buenos Aires,Universidad Nacional de Avellaneda,194,-34.6628049,-58.3722248,Público,"(-34.6628049, -58.372224800000005)",1
España 350 - Avellaneda - Buenos Aires ,"Departamento de Arquitectura, Diseño y Urbanismo",Avellaneda,ARG,Buenos Aires,Universidad Nacional de Avellaneda,194,-34.6628049,-58.3722248,Público,"(-34.6628049, -58.372224800000005)",1
España 350 - Avellaneda - Buenos Aires ,Departamento de Humanidades y Artes,Avellaneda,ARG,Buenos Aires,Universidad Nacional de Avellaneda,194,-34.6628049,-58.3722248,Público,"(-34.6628049, -58.372224800000005)",1
