Domicilio,Facultad,Municipio,Pais,Provincia,Universidad,index,lat,lng
Av Cabildo 15 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,Unidad Académica Escuela Superior Técnica,Ciudad de Buenos Aires,ARG,Ciudad Autonoma De Buenos Aires,"Instituto Universitario del Ejército ""Mayor Francisco Romero""",0,-34.57476,-58.43563
Chacabuco 90 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,Facultad de Turismo y Hospitalidad,Ciudad de Buenos Aires,ARG,Ciudad Autonoma De Buenos Aires,Universidad Abierta Interamericana,2,-34.60908,-58.37636
Av.Pellegrini 1816 - Rosario - Santa Fé ,Facultad de Turismo y Hospitalidad - Rosario,Rosario,ARG,Santa Fe,Universidad Abierta Interamericana,12,-33.0316896,-60.6372831
Lima 717 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,Facultad de Comunicación,Ciudad de Buenos Aires,ARG,Ciudad Autonoma De Buenos Aires,Universidad Argentina de la Empresa,22,-34.617,-58.38156
Lima 717 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,Facultad de Comunicación y Diseño,Ciudad de Buenos Aires,ARG,Ciudad Autonoma De Buenos Aires,Universidad Argentina de la Empresa,22,-34.617,-58.38156
Bartolomé Mitre 1411 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,Facultad de Ciencias Económicas y Empresariales,Ciudad de Buenos Aires,ARG,Ciudad Autonoma De Buenos Aires,Universidad Argentina John F. Kennedy,30,-34.60765,-58.3865
ARENALES 2740 - Mar Del Plata - Buenos Aires ,ANEXO MAR DEL PLATA,General Pueyrredón,ARG,Buenos Aires,Universidad Atlántida Argentina,38,-38.01137,-57.54667
DIAG. RIVADAVIA 515 - Mar De Ajo - Buenos Aires ,UNIVERSIDAD ATLANTIDA ARGENTINA SEDE CENTRAL,La Costa,ARG,Buenos Aires,Universidad Atlántida Argentina,42,-36.72667,-56.67957
25 de Mayo 497 - Gualeguaychu - Entre Ríos ,Facultad de Ciencias de la Gestión. Sede Gualeguaychú,Gualeguaychú,ARG,Entre Rios,Universidad Autónoma de Entre Ríos,48,-33.0093096,-58.5098209
Urquiza 1225 - Paraná - Entre Ríos ,Facultad de Ciencias de la Gestión. Sede Paraná,Paraná,ARG,Entre Rios,Universidad Autónoma de Entre Ríos,50,-31.8088,-59.94393
Leguizamon 24 - Concepcion Del Uruguay - Entre Ríos ,Facultad de Ciencias de la Gestión. Sede Uruguay,Uruguay,ARG,Entre Rios,Universidad Autónoma de Entre Ríos,54,-32.4845907,-58.2338652
Mitre 22 - Villaguay - Entre Ríos ,Facultad de Ciencias de la Gestión. Sede Villaguay,Villaguay,ARG,Entre Rios,Universidad Autónoma de Entre Ríos,58,-31.98548,-58.96034
Justo José de Urquiza 900 - Paraná - Entre Ríos ,"Facultad de Humanidades, Artes y Ciencias Sociales. Sede Paraná",Paraná,ARG,Entre Rios,Universidad Autónoma de Entre Ríos,60,-31.9545033,-60.12484
Jordana 50 - Concepcion Del Uruguay - Entre Ríos ,"Facultad de Humanidades, Artes y Ciencias Sociales. Sede Uruguay",Uruguay,ARG,Entre Rios,Universidad Autónoma de Entre Ríos,64,-32.4845698,-58.2286501
Av. Donato Álvarez 380 - Córdoba - Córdoba ,Vicerrectorado de Asuntos Académicos,Córdoba,ARG,Cordoba,Universidad Blas Pascal,68,-31.30833,-64.28034
Olavarría 2464 - Mar Del Plata - Buenos Aires ,Departamento de Administración y Ciencias Sociales - Sede Mar del Plata,General Pueyrredón,ARG,Buenos Aires,Universidad CAECE,74,-38.0116618,-57.5398622
Avda. José Ignacio de la Roza 1516 - San Juan - San Juan ,Facultad de Ciencias Económicas y Empresariales,San Juan,ARG,San Juan,Universidad Católica de Cuyo,76,-31.5376072,-68.5885474
Avda. José Ignacio de la Roza 1516 (o) - San Juan - San Juan ,Facultad de Ciencias Químicas y Tecnológicas,San Juan,ARG,San Juan,Universidad Católica de Cuyo,78,-31.5376072,-68.5885474
Ruta Pcial 50 6722 - Maipu - Mendoza ,Facultad Don Bosco de Enología y Ciencias de la Alimentación - Sede Rodeo del Medio,Mendoza,ARG,Mendoza,Universidad Católica de Cuyo,80,-32.876335,-68.8350653
25 e/47 y 48 S/N - La Plata - Buenos Aires ,Facultad de Ciencias Económicas y Sociales,La Plata,ARG,Buenos Aires,Universidad Católica de La Plata,82,-34.8995323,-57.9385431
11 e/ 51 y 53 972 - La Plata - Buenos Aires ,Facultad de Humanidades,La Plata,ARG,Buenos Aires,Universidad Católica de La Plata,86,-34.95993,-57.81343
Campo Castañares s/n S/N - Salta - Salta ,Escuela Universitaria de Turismo,Salta,ARG,Salta,Universidad Católica de Salta,88,-65.3940388,-24.7399601
Campo Castañares s/n - Salta - Salta ,Escuela Universitaria de Turismo - Sistema de Educación a Distancia,Salta,ARG,Salta,Universidad Católica de Salta,94,-65.3940388,-24.7399601
Eschagüe 7151 - Santa Fe - Santa Fé ,Facultad de Humanidades,Santa Fe,ARG,Santa Fe,Universidad Católica de Santa Fe,96,-31.5738299,-60.7438701
Corrientes 180 - Olivos - Buenos Aires ,Departamento Académico Buenos Aires,Vicente López,ARG,Buenos Aires,Universidad Católica de Santiago del Estero,98,-34.5071798,-58.4769836
Boulevard Hipólito Irigoyen 1502 - Rafaela - Santa Fé ,Departamento Académico Rafaela,Castellanos,ARG,Santa Fe,Universidad Católica de Santiago del Estero,100,-31.2667752,-61.4949956
Lavalle 333 - San Salvador De Jujuy - Jujuy ,Departamento Académico San Salvador,Dr Manuel Belgrano,ARG,Jujuy,Universidad Católica de Santiago del Estero,102,-24.1848793,-65.3028624
Av. Alsina Y Dalmacio Vélez Sarsfield s/n - Santiago Del Estero - Santiago Del Estero ,Facultad de Ciencias Económicas,Santiago del Estero,ARG,Santiago Del Estero,Universidad Católica de Santiago del Estero,104,-27.79951,-64.23934
