Universidad,Address,lng,lat,id
Arturo Jauretche,"Universidad Arturo Jauretche, Argentina",-58.2678955,-34.7751535,ChIJj3YLNbAuo5URMvA-rB6iCr0
Avellaneda,"Universidad Avellaneda, Argentina",-58.372014,-34.6630015,ChIJ_zT9MK3MvJURHVXklES-DNw
Buenos Aires,"Universidad Buenos Aires, Argentina",-58.3730695,-34.5998875,ChIJE1bNX8vKvJURFbYSKI1Gw0I
Catamarca,"Universidad Catamarca, Argentina",-65.7831254,-28.4587708,ChIJ7_MVtrgoJJQRq4K1MjQ2wnM
Centro de la PBA,"Universidad Centro de la PBA, Argentina",-59.1387299,-37.3287505,ChIJ3ztB4pkfkZURWOICVZ-Z0x0
Chaco Austral,"Universidad Chaco Austral, Argentina",-60.4469259,-26.8017172,ChIJh_Lco9ksQZQR17n9HSVALJg
Chilecito,"Universidad Chilecito, Argentina",-67.4708345,-29.1565669,ChIJScRMsoZjnZYRQcJnhpuJPTM
Comahue,"Universidad Comahue, Argentina",-68.0573579,-38.9401499,ChIJZ92EBN0zCpYRdyD3MET8YJ4
Córdoba,"Universidad Córdoba, Argentina",-64.1855702,-31.4354855,ChIJ64PR5_KiMpQRgbD-7YyUuHg
Cuyo,"Universidad Cuyo, Argentina",-68.5592558,-31.5408901,ChIJp5CeNk5AgZYRRRLgdSSXKhI
Entre Ríos,"Universidad Entre Ríos, Argentina",-58.2311497,-32.484105,ChIJry2EHZFLtJURQj7WbeVQJWw
Formosa,"Universidad Formosa, Argentina",-58.3119676,-26.4853634,ChIJlRlWG1KvXJQROva0MmqjjZw
Gral. Sarmiento,"Universidad Gral. Sarmiento, Argentina",-58.7007662,-34.5217483,ChIJR8S-ByW9vJURjPedj89qTD4
José C. Paz,"Universidad José C. Paz, Argentina",-58.7456392,-34.520883,ChIJp4LuZgKYvJURdgETqHA2UjU
Jujuy,"Universidad Jujuy, Argentina",-65.3246439,-24.179446,ChIJqykZeEAPG5QRKmIg4c43Vuw
La Matanza,"Universidad La Matanza, Argentina",-58.5629288,-34.6704143,ChIJg3DvwyzGvJUR5a1fQn8QZ4g
La Pampa,"Universidad La Pampa, Argentina",-64.2899141,-36.6204153,ChIJxYKi9QfNwpURFav8o7rryeQ
La Plata,"Universidad La Plata, Argentina",-57.9511629,-34.9128319,ChIJwV1dXTfmopURlDyKtR55R_s
La Rioja,"Universidad La Rioja, Argentina",-66.8687706,-29.4299009,ChIJb-tze9DbJ5QRxXlE1Q2gv8A
Lanús,"Universidad Lanús, Argentina",-58.3910807,-34.7355252,ChIJKWgPvl7NvJURCvFAWiJNY3c
Litoral,"Universidad Litoral, Argentina",-60.7052163,-31.6350243,ChIJ5WTQqimqtZURF6UBnxLmss0
Lomas de Zamora,"Universidad Lomas de Zamora, Argentina",-58.4559869,-34.7758222,ChIJSy683xjSvJURD9BsLP1kwR8
