zona_id,lat,lng
S00000,-34.5983938132,-58.3943620262
S00001,-34.6630133333,-58.3667090833
S00002,-34.7193041818,-58.255105
S00003,-34.5682020168,-58.4593161288
S00004,-34.6364470503,-58.3604282504
S00005,-34.6297171736,-58.4564597443
S00006,-34.651094,-58.6210486
S00007,-34.5991656556,-58.4072319456
S00008,-34.6774945556,-58.560943
S00009,-34.4702066667,-58.5098975556
S00010,-34.918537875,-57.94288625
S00011,-38.712810125,-62.265080375
S00012,-34.6207683554,-58.4092025237
S00013,-34.6117883799,-58.4037316817
S00014,-34.5744833018,-58.4879140128
S00015,-34.6196615407,-58.3747824413
S00016,-34.6288376338,-58.4675223247
S00017,-34.7423291429,-58.3900707143
S00018,-34.614987792,-58.4214527423
S00019,-34.5929644261,-58.4051283725
S00020,-34.9195391667,-57.9243603333
S00021,-34.7972773333,-58.3879651667
S00022,-38.0048161667,-57.5551328333
S00023,-34.6120618333,-58.9531575
S00024,-34.0940671667,-59.0238213333
S00025,-34.7556315,-58.4050425
S00026,-34.6393138333,-58.5653513333
S00027,-38.5538023333,-58.7389268333
S00028,-34.4588111667,-58.9161058333
S00029,-34.5923704868,-58.4343610613
S00030,-34.5858327405,-58.4183448649
S00031,-34.6308759818,-58.3908291302
S00032,-34.6185876824,-58.4363279003
S00033,-34.614937202,-58.430037809
S00034,-34.6193979151,-58.3821545766
S00035,-34.8058556,-58.278077
S00036,-38.0135262,-57.5651276
S00037,-34.4711512,-58.5198266
S00038,-33.3296154,-60.2150148
S00039,-34.6809712,-58.4255218
S00040,-34.347776,-58.7991028
S00041,-34.5405536,-58.7074468
S00042,-34.6566058,-58.6689104
S00043,-34.5511202,-58.5588584
S00044,-33.3381532,-60.219369
S00045,-34.5044446,-58.4841926
S00046,-34.9966974,-58.099379
S00047,-34.5614707725,-58.4638148596
S00048,-34.5910976065,-58.4185572732
S00049,-34.6620335339,-58.4491413903
S00050,-34.6102260988,-58.4282387532
S00051,-34.928511,-57.96667375
S00052,-34.9410245,-57.961587
S00053,-34.67144825,-58.3522035
S00054,-36.77901125,-59.86702875
S00055,-38.71837775,-62.2697905
S00056,-33.806034,-59.50018225
S00057,-38.03205825,-60.098778
S00058,-34.74672475,-58.39975625
S00059,-34.76631825,-58.4013185
S00060,-34.79139075,-58.4071045
S00061,-34.72997325,-58.60736875
S00062,-34.7125015,-58.57398425
S00063,-34.7511585,-58.58656125
S00064,-34.68766925,-58.7312875
S00065,-34.7493315,-58.70377925
S00066,-34.65401375,-58.789466
