zona_id,lat,lng
U000000,-34.6029498727,-58.3912419545
U000001,-34.5976701625,-58.3988650875
U000002,-34.615122425,-58.3678342
U000003,-32.483096025,-58.231482975
U000004,-24.184639675,-65.30303295
U000005,-34.565452,-58.442752975
U000006,-31.4380175,-64.1876425
U000007,-31.4186906,-64.1870376
U000008,-34.6091233333,-58.3776033333
U000009,-34.8995323,-57.9385431
U000010,-34.5978205333,-58.3860631333
U000011,-32.8894792667,-68.8342268333
U000012,-34.6069484333,-58.3944463333
U000013,-38.0259830333,-57.6201440667
U000014,-32.8914036333,-68.8613828667
U000015,-34.9107929,-57.9311498667
U000016,-32.9978725333,-60.7619359333
U000017,-34.6130886,-68.3268718667
U000018,-32.9406016333,-60.6664480333
U000019,-34.57451,-58.436125
U000020,-34.91913405,-57.95442975
U000021,-34.6097025,-58.399505
U000022,-34.64679035,-58.62011715
U000023,-27.371966,-55.89592495
U000024,-28.4602319,-65.7824874
U000025,-31.38187295,-58.022143
U000026,-45.8656956,-67.5018382
U000027,-34.91354595,-57.95373605
U000028,-27.4550403,-58.9858385
U000029,-38.70202365,-62.27009095
U000030,-26.8346073,-65.1863314
U000031,-34.59618,-58.41528
U000032,-34.61626725,-58.6354018
U000033,-34.9054906,-57.9413387
U000034,-32.96520055,-60.63020005
U000035,-26.8443952,-65.2305025
U000036,-34.6052849,-58.377483
U000037,-33.00949315,-58.52119415
U000038,-32.89472245,-68.84850935
U000039,-33.57787,-69.014875
U000040,-42.92070825,-71.3150002
U000041,-32.95915765,-60.6292016
U000042,-32.03475905,-60.30677915
U000043,-33.1479539,-59.3084996
U000044,-27.4595888,-58.8225455
U000045,-34.602325,-58.371505
U000046,-29.4102289,-66.8314082
U000047,-34.0937813,-59.02050105
U000048,-34.67019925,-58.56492925
U000049,-43.253628,-65.3124078
U000050,-27.4645909,-58.78133855
U000051,-34.64925525,-58.462993
U000052,-34.9011268,-57.93494075
U000053,-31.83345785,-60.5226616
U000054,-33.0316896,-60.6372831
U000055,-34.617,-58.38156
U000056,-38.01137,-57.54667
U000057,-36.72667,-56.67957
U000058,-33.0093096,-58.5098209
U000059,-31.8088,-59.94393
U000060,-31.98548,-58.96034
U000061,-31.9545033,-60.12484
U000062,-32.4845698,-58.2286501
U000063,-31.30833,-64.28034
U000064,-38.0116618,-57.5398622
U000065,-31.5392657,-68.5885474
U000066,-32.876335,-68.8350653
U000067,-65.3940388,-24.7399601
U000068,-31.5738299,-60.7438701
U000069,-34.5071798,-58.4769836
U000070,-31.2667752,-61.4949956
U000071,-27.79951,-64.23934
U000072,-34.59807,-58.48238
U000073,-34.62831,-58.4467
U000074,-32.8947875,-68.8415264
U000075,-38.0031139,-57.5575811
U000076,-26.82355,-65.26626
U000077,-34.4391635,-58.9258488
U000078,-31.33831,-64.21627
U000079,-32.8993692,-68.8119967
U000080,-34.61049,-58.44105
U000081,-34.6628049,-58.3722248
U000082,-29.17235,-67.49761
U000083,-31.40598,-64.20536
U000084,-32.881753,-68.876431
U000085,-33.06729,-68.46847
U000086,-26.1292902,-58.1494648
U000087,-25.13376,-58.2433
U000088,-34.5208625,-58.7003265
U000089,-34.7342286,-58.3901502
U000090,-36.6205311,-64.28991
U000091,-46.44555,-67.5103199
U000092,-49.3139284,-67.7187486
U000093,-51.6221036,-69.2551571
U000094,-51.67383,-72.0982499
U000095,-43.2524,-65.3179
U000096,-42.7852951,-65.0061527
U000097,-34.9003139,-57.9668758
U000098,-29.41208,-66.82413
U000099,-37.34123,-59.10922
U000100,-40.1570655,-71.3595971
U000101,-38.9415102,-68.0575008
U000102,-27.4632179,-58.9857119
U000103,-38.7061599,-62.26391
U000104,-34.5736024,-58.7456752
U000105,-38.5573808,-58.7388114
U000106,-27.40146,-55.9299
U000107,-34.70629,-58.27705
U000108,-32.4586709,-64.3862245
U000109,-41.13346,-71.35978
U000110,-31.53748,-68.5288999
U000111,-32.33345,-65.02658
U000112,-36.60568,-61.75566
U000113,-54.8072959,-68.3203366
U000114,-34.6049368,-58.564289
U000115,-34.7892088,-58.5254058
U000116,-40.7950204,-62.9774721
U000117,-32.8972239,-68.853692
U000118,-34.54684,-58.43995
U000119,-26.83069,-65.2209
U000120,-34.58308,-58.41166
U000121,-31.4858262,-64.2464424
U000122,-34.71012,-58.28246
U000123,-31.6071348,-60.6708799
U000124,-27.3860046,-55.8963764
U000125,-32.943978,-60.6816
U000126,-32.9175552,-68.8430566
U000127,-34.50255,-58.48491
U000128,-34.4653777,-58.5171637
U000129,-31.6463729,-60.7084544
U000130,-34.63249,-58.46276
U000131,-38.940768,-68.002598
U000132,-34.9073787,-57.9489728
U000133,-26.8006333,-65.3010601
U000134,-33.13914,-64.35107
U000135,-34.60617,-68.32347
U000136,-34.59907,-58.40603
U000137,-26.8310559,-65.204093
U000138,-31.94747,-65.18789
U000139,-34.9079173,-57.9275317
U000140,-33.9132385,-60.5896191
U000141,-34.9089043,-60.0328631
U000142,-27.48617,-55.1072
U000143,-34.65254,-58.7772034
U000144,-31.2533,-61.49084
U000145,-41.965399,-71.5358631
U000146,-35.4322359,-60.1784329
U000147,-26.80773,-65.25292
U000148,-26.8398746,-65.2099272
U000149,-31.6504,-64.41262
U000150,-36.7545624,-62.9644276
U000151,-34.1787535,-58.9618508
U000152,-31.24796,-61.46983
U000153,-26.82775,-65.21044
U000154,-34.5478312,-58.4489132
U000155,-34.58092,-58.42301
U000156,-34.61474,-58.41285
U000157,-34.62788,-58.3724
U000158,-34.59927,-58.42267
U000159,-34.5994,-58.40186
U000160,-39.05457,-67.39302
U000161,-31.17621,-58.19477
U000162,-33.005138,-58.5231421
U000163,-33.2982675,-66.3161083
U000164,-34.6121836,-58.4144971
U000165,-34.65793,-58.45649
U000166,-32.72243,-68.60138
U000167,-34.6293037,-58.3551303
U000168,-37.3278749,-59.1339978
U000169,-40.80428,-63.01009
U000170,-38.933237,-67.9943799
U000171,-32.9453593,-60.6407607
U000172,-33.291382,-66.3379054
U000173,-34.6439,-58.37487
U000174,-53.7803126,-67.701438
U000175,-26.8157427,-65.2800513
U000176,-27.43035,-65.62596
U000177,-34.51986,-61.3909
U000178,-38.882246,-62.0728498
U000179,-37.9844303,-61.3571879
U000180,-31.43708,-64.19376
U000181,-34.91392,-57.94635
U000182,-32.9519638,-60.6708194
U000183,-32.0675287,-60.635168
U000184,-32.4791567,-58.2331712
U000185,-34.7963106,-58.2786386
U000186,-28.45209,-65.78607
U000187,-31.433768,-64.194134
U000188,-33.00539,-68.8726687
U000189,-32.88418,-68.86657
U000190,-34.9823645,-67.6919724
U000191,-32.48091,-58.26133
U000192,-24.1876412,-65.2891476
U000193,-42.78313,-65.01475
U000194,-43.2541888,-65.30636
U000195,-34.8478691,-58.0825936
U000196,-34.892548,-57.956792
U000197,-30.36845,-66.31295
U000198,-31.341184,-66.5866158
U000199,-36.7684624,-59.8794474
U000200,-36.9172196,-60.3035118
U000201,-41.14317,-71.31808
U000202,-27.4668,-58.8323003
U000203,-34.5853948,-60.9495952
U000204,-34.7418695,-58.3721061
U000205,-34.18053,-58.94717
U000206,-27.3646974,-55.8932968
U000207,-26.39786,-54.66608
U000208,-40.82209,-62.97714
U000209,-33.02285,-60.87928
U000210,-24.76073,-65.4148699
U000211,-34.2573275,-59.47979
U000212,-27.764688,-64.2826822
U000213,-33.6851595,-65.4694484
U000214,-31.37591,-64.25406
U000215,-38.0494062,-57.5430918
U000216,-34.60728,-58.42681
U000217,-34.5962099,-58.4775
U000218,-33.01654,-58.4724769
U000219,-26.7898299,-60.45334
U000220,-32.9058483,-60.8132872
U000221,-26.8365804,-65.2109167
U000222,-33.14674,-59.20819
U000223,-32.37757,-58.87626
U000224,-30.75447,-57.98479
U000225,-31.82209,-60.25399
U000226,-31.85794,-59.03687
U000227,-32.48654,-58.24762
U000228,-29.03448,-59.18336
U000229,-28.4605,-65.77861
U000230,-31.4292,-64.16082
U000231,-34.97384,-67.6865371
U000232,-36.62256,-64.27108
U000233,-31.21204,-66.3157
U000234,-38.8317399,-68.0579648
U000235,-31.4496,-60.9295
U000236,-38.69548,-62.2542867
U000237,-35.7724925,-58.4863281
U000238,-23.13497,-64.31844
U000239,-25.50696,-64.9733
U000240,-31.54441,-68.21157
U000241,-31.3941316,-58.0121393
U000242,-29.1575918,-59.6501428
U000243,-27.4509625,-58.9793641
U000244,-31.42075,-62.10928
U000245,-33.333155,-60.206018
U000246,-35.9857112,-62.7270521
U000247,-32.4086,-63.2170053
U000248,-32.0760348,-60.464128
U000249,-34.59351,-58.38275
U000250,-31.744414,-60.5236192
U000251,-29.1499337,-59.6406558
U000252,-27.45142,-58.98799
U000253,-31.24376,-61.4906347
U000254,-38.0067948,-57.5635125
U000255,-34.4464719,-58.5312505
U000256,-34.4612733,-58.5185009
U000257,-31.72321,-60.53317
U000258,-34.912875,-57.9269551
U000259,-37.87943,-67.7950199
U000260,-31.6337549,-60.7048203
U000261,-27.4623693,-58.836405
U000262,-34.61257,-58.41826
U000263,-34.6511892,-58.7801321
U000264,-22.5179348,-63.7974624
U000265,-37.6926355,-63.1671356
U000266,-38.7178071,-62.2719751
U000267,-34.5872699,-58.37168
U000268,-24.18189,-65.2976599
U000269,-31.4342343,-64.2713074
U000270,-30.9835,-64.11099
U000271,-34.5721833,-58.4338789
U000272,-31.7291557,-60.5303637
U000273,-34.9248227,-57.9516199
U000274,-34.5987162,-58.3744635
U000275,-31.7378394,-60.5163907
U000276,-34.6433899,-58.54076
U000277,-34.61951,-58.43642
U000278,-36.3168548,-57.6781287
U000279,-29.143066,-59.6464623
U000280,-34.5828209,-58.394269
U000281,-53.7871909,-67.7245409
U000282,-54.7984288,-68.2798302
U000283,-31.86896,-59.0281817
U000284,-33.042087,-61.161689
U000285,-33.00623,-61.8212
U000286,-33.2325,-60.33522
U000287,-33.732635,-61.9660637
U000288,-27.3455413,-65.5907023
U000289,-33.11766,-64.34753
U000290,-26.41525,-54.61133
U000291,-32.91937,-68.86652
U000292,-42.77077,-65.04941
U000293,-25.28878,-57.7256
U000294,-30.01729,-59.53086
U000295,-26.1891377,-58.1623871
U000296,-25.94893,-60.61882
U000297,-26.78152,-60.43529
U000298,-27.38967,-55.89688
U000299,-28.55372,-56.04175
U000300,-35.0318731,-60.2809101
U000301,-34.81058,-58.51259
U000302,-29.1437709,-59.2691744
U000303,-36.8888821,-60.3346324
U000304,-34.2622292,-62.7119478
U000305,-38.7190918,-62.267314
U000306,-37.9964647,-57.5480382
U000307,-32.9441439,-60.6509176
U000308,-26.8246709,-65.203211
U000309,-34.60315,-58.36813
U000310,-34.73492,-58.53457
U000311,-34.60934,-58.59185
U000312,-34.4907493,-58.4998979
U000313,-34.5450779,-58.45097
U000314,-33.8890633,-60.5705881
U000315,-34.6237799,-58.36495
U000316,-32.8824275,-68.859046
U000317,-33.3364559,-60.2195061
U000318,-32.9591648,-60.64714
U000319,-30.7499853,-57.9899211
U000320,-30.94346,-58.78238
U000321,-33.7410699,-61.9490948
U000322,-34.45159,-58.91679
U000323,-34.6140596,-58.3816285
U000324,-32.8889146,-68.8423338
U000325,-28.46444,-65.79873
U000326,-30.4267832,-64.3530603
U000327,-31.4056051,-64.2017327
U000328,-33.14709,-68.47796
U000329,-34.9798281,-67.6943792
U000330,-33.20153,-68.4653662
U000331,-32.0289846,-60.3014077
U000332,-31.80811,-66.37444
U000333,-31.6548416,-60.7084578
U000334,-29.7089552,-57.0903178
U000335,-29.7882095,-58.0549296
U000336,-27.44943,-58.98321
U000337,-34.6730399,-58.6997501
U000338,-34.61519,-58.37454
U000339,-31.41208,-64.1844
U000340,-34.647265,-59.4309755
U000341,-34.9181969,-59.9951355
U000342,-39.09548,-67.09669
U000343,-33.02305,-60.6298278
U000344,-32.9496149,-60.6546787
U000345,-33.810398,-59.5101223
U000346,-34.46128,-58.51002
U000347,-37.2470261,-61.2598358
U000348,-39.37576,-62.64676
U000349,-36.27371,-63.15318
U000350,-37.5473384,-60.8002088
U000351,-34.694951,-58.327523
U000352,-34.6594074,-58.4691224
U000353,-31.36149,-64.23559
U000354,-34.6019031,-68.3269938
U000355,-51.6348654,-69.2184299
U000356,-32.9514498,-60.6437649
U000357,-38.7124213,-62.2618942
U000358,-33.1933507,-60.4708966
U000359,-27.3565839,-55.9378418
U000360,-31.3960828,-58.0169977
U000361,-33.750914,-61.9545517
U000362,-34.614806,-58.393997
U000363,-30.63073,-66.2647
U000364,-29.41492,-66.8472849
U000365,-38.94155,-67.9722634
U000366,-34.60536,-58.46687
U000367,-34.44856,-58.53662
U000368,-34.551954,-58.4417878
U000369,-31.43203,-64.17022
U000370,-34.6404207,-58.6014921
U000371,-31.7500823,-60.5046888
U000372,-31.6169399,-60.6760305
U000373,-34.6077278,-58.4136839
U000374,-41.1149511,-71.4100261
U000375,-32.38409,-59.66435
U000376,-34.9216576,-57.9622086
U000377,-24.7993558,-65.416152
U000378,-34.5840998,-68.53894
U000379,-26.1933598,-58.1988695
U000380,-31.6371967,-60.7069352
U000381,-34.5827267,-60.9434122
U000382,-34.6652447,-58.3531077
U000383,-38.01157,-57.58097
U000384,-27.4852798,-55.1109551
U000385,-38.97605,-67.82962
U000386,-34.4471371,-59.4424788
U000387,-36.759951,-62.5045126
U000388,-38.7102019,-62.2646498
